Idiom (Hill Mari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Hill Mari)",First Example Sentence,Second Example Sentence,Third Example Sentence
Вуйдымы пармы,"Fixed nominal metaphor; adjective/participle-like modifier + noun, used predicatively or as a vocative insult.","A foolish, scatterbrained, or reckless person who acts without thinking.",an unintelligent or careless person; someone who does not think first,C1,"daily speech, reprimands, humor, literature, workplace mistakes","colloquial, pejorative, expressive",Animal-based rural metaphor: the 'headless gadfly/horsefly' image fits traditional village speech where insects and livestock were familiar evaluative symbols.,/vujdɯmɯ parmɯ/,"Тудо планым лудде пӓшӓшкы пурен, старшийшӹ «вуйдымы пармы» манын кӹрдыжӹм каштӹш.",Ешӹштӹ вуйдымы пармы гань кычкырен кошташ ак келеш.,Вуйдымы пармы лияш ок шуй: йодышым ончыч умылаш келеш.
Ваштыр гань юреш,Fixed simile; noun + comparative particle гань + finite/weather verb.,It is raining extremely hard; a downpour is happening.,a very heavy rain is falling,A2,"weather talk, travel, village life, daily conversation","colloquial, vivid, neutral-expressive","Rooted in Volga-side rural imagery; ваштыр refers to twigs/rods or a broom-like object, making the rain feel dense and lashing.",/vaʃtɯr ganʲ jureʃ/,"Касеш ваштыр гань юреш, седӹндоно мӓ школ гыч вашке мӧнгӹ пӧртылна.","Ваштыр гань юреш гӹнят, почта кандашлык эдем корным ок шӹмӹ.","Иргодым ваштыр гань юреш, пӱнчер вӹлнӹ вӹд йогын шинча."
Шокш кӓргӓлтен,"Adverbial participial phrase; object noun + converb, modifying an action verb.","To work energetically, seriously, and without idleness.",work hard and actively,B1,"workplace, farming, study, project management, motivational speech","neutral-expressive, positive, industrious","Manual-labor metaphor from rolling up one's sleeves before fieldwork, construction, household repair, or communal work.",/ʃokʃ kærgælten/,Проектын пытартыш недельыштӹ мӓ шокш кӓргӓлтен ӹштенӓ.,"Кугу ӹшкӹмӹш деч посна, тудо садеш шокш кӓргӓлтен пӓшӓм тӹнгалын.","Документвлӓм шокш кӓргӓлтен тӹрлӹ анжыктыда гӹнь, хата шагал лиеш."
Кид-ялым валташ,Compound object + infinitive verb; body-part coordination with a causative/downward motion verb.,"To lose heart, stop trying, or give up because of failure or hardship.",give up; stop trying,B1,"encouragement, family advice, workplace setbacks, school, sports","colloquial, expressive, empathetic or admonishing","Bodily metaphor: lowered hands and feet symbolize loss of agency, a common pattern in Mari and neighboring languages.",/kid jalɯm valtaʃ/,"Ик гана янгылыш лиеш гӹньат, кид-ялым валташ ак кел.","Команда отчетым пӹтӓрен огыл, но кид-ялым валтен шӹнзӓш вес йонгылыш лиеш.","Авай эргӹжӹлан: «Тый кид-ялым ит валте, эче гана тӹнгал», мане."
Вуйым лӱктӓш,"Transitive verb phrase; accusative object + infinitive verb, often inflected for person and tense.","To regain confidence, stand up for oneself, or begin acting independently.",become confident; start acting independently,C1,"social change, personal growth, education, politics, recovery after hardship","colloquial-expressive, dignified, motivational","The raised-head image evokes dignity after poverty, silence, or dependence; it is also useful in public or collective narratives.",/vujɯm lyktæʃ/,"У конкурсеш кудалтенӓ гӹнь, йочавлӓ вуйым лӱктӓш тӹнгалӹт.",Шукы жап шып лийшӹ студент докладым каласен дӓ вуйым лӱктӓш тӹнгалын.,"Калык шотеш пӓшӓ лиймекӹ, ял вуйым лӱктӓш верч иквӓреш шогалын."
Ышмам кӓрӓш,"Transitive verb phrase; accusative noun 'mouth' + infinitive verb, also appears with converbal variants.","To gape in amazement, stare open-mouthed, or speak too loudly and carelessly.",be very surprised; speak loudly or thoughtlessly,B2,"surprise, gossip, scolding, informal narration, humorous criticism","colloquial, ironic, sometimes disapproving",A face-and-mouth metaphor tied to norms of modest speech; uncontrolled open-mouth behavior can signal surprise or lack of restraint.,/ɯʃmam kæræʃ/,"У уверым колмекӹ, залышты цилӓ ышмам кӓрен шӹнзӹт.","Циц пелештышӹ эдемлан гӹнь ышмам кӓрӓш веле келеш, аргымак ак лий.","Документ гыч санадам ужын, бухгалтер ышмам кӓрен анжале."
Шылдыр веле уке,Fixed existential clause; noun + focus particle + negative existential.,Someone is so happy or inspired that only wings are missing.,be extremely happy and inspired,B2,"good news, family celebrations, school success, theater, praise","colloquial, warm, enthusiastic, poetic",Bird-flight imagery connects joy with bodily lightness; it suits oral praise and narrative scenes of sudden happiness.,/ʃɯldɯr vele uke/,"Ӹдӹрӹн экзамен сай лийын, тудын шылдыржы веле уке.","Ушкалвлӓн грант шуктош, фермерын шылдыр веле уке лин.",Театр гыч лӓктмекӹ йочавлӓн шылдыр веле уке ыльы.
Шамакым пуаш,"Light-verb construction; accusative noun 'word' + verb 'give', with promise/speech-act semantics.",To promise firmly or formally give someone the floor to speak.,promise; give permission to speak,B1,"meetings, public speech, family commitments, business, formal assurances","neutral, formal-capable, responsible","Speech-act idiom reflecting the social value of keeping one's word in councils, household agreements, and public meetings.",/ʃamakɯm puaʃ/,Председатель шыжӹм мостым тӧрлаташ шамакым пуыш.,Мӹнь тылат книгӓм июнь марте пӧртылташ шамакым пуам.,"Шамакым пуаш веле агыл, тудым шотеш шындаш келеш."
Пи дон коти гань ӹлӓш,Comparative infinitive clause; noun + postposition дон + noun + comparative particle гань + infinitive.,"To live in constant quarrels and hostility, like a dog and cat.",quarrel constantly; live in conflict,B2,"family, neighbors, workplace tension, humor, disapproval","colloquial, disapproving, humorous",Household-animal simile from village life; dogs and cats are used as a vivid model of persistent conflict.,/pi don koti ganʲ ɘlæʃ/,"Кок сосед пи дон коти гань ӹлӓт, но пӹрыж вӓрӹште пырля пӓшӓм ӹштӓт.",Ешыштӹ пи дон коти гань ӹлӓш йочавлӓн йӧсӧ лиеш.,"Тӓ ик кабинетеш пи дон коти гань ит ӹлӓ, мутым келшӹдӓ."
Ик пӹрцӓт уке,Negative existential quantifier phrase; numeral + particle-bearing noun + negative existential.,There is not even the smallest amount of something; nothing is left.,there is none at all; not a single bit remains,A2,"food, money, harvest, supplies, joking complaints, household talk","colloquial, emphatic, neutral to humorous",Agrarian grain imagery: a single seed or grain represents the smallest useful amount in a farming household.,/ik pɘrt͡sæt uke/,"Амбареш вырлык ик пӹрцӓт уке, седӹндоно ӱдӹмашым вараш кодышт.",Кошташ ак лий: карманеш тӓнгӓ ик пӹрцӓт уке.,"Мутланымаш пӹтмӹкӹ, тудын йодышлан ответ ик пӹрцӓт уке ыльы."
