Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
يَدُهُ فِي الْمَاءِ الْبَارِدِ,جملة اسمية خبرية تتكون من مبتدأ مضاف وضمير، وخبر شبه جملة جار ومجرور.,يعيش في راحة وطمأنينة دون قلق أو مسؤولية.,يعيش مرتاحًا بلا همّ.,B2,السياسة، النقد الاجتماعي، الحديث عن الامتيازات,ساخر، نقدي,يُستعمل في الأدب السياسي الكلاسيكي لوصف أصحاب السلطة الذين لا يمسهم الضرر.,/jadu.hu fiː al.maːʔi al.baːridi/,لَا يَشْعُرُ بِمُعَانَاةِ النَّاسِ، فَيَدُهُ فِي الْمَاءِ الْبَارِدِ.,كَيْفَ يَفْهَمُ الْأَزْمَةَ وَيَدُهُ فِي الْمَاءِ الْبَارِدِ؟,مَا دَامَتْ يَدُهُ فِي الْمَاءِ الْبَارِدِ فَلَنْ يُبَادِرَ بِالْإِصْلَاحِ.
بَلَغَ السَّيْلُ الزُّبَى,جملة فعلية ماضية؛ فعل وفاعل، ومفعول به مجازي.,وصل الأمر إلى حد لا يُحتمل.,تفاقم الوضع جدًا.,C1,السياسة، الخطابة، النزاعات,فصيح، بلاغي,أصلها من الزُّبَى وهي الروابي التي لا يبلغها الماء عادةً.,/balagha as.sajlu az.zubaː/,لَمَّا بَلَغَ السَّيْلُ الزُّبَى قَرَّرُوا التَّدَخُّلَ.,قَدْ بَلَغَ السَّيْلُ الزُّبَى فَلَا بُدَّ مِنْ حَلٍّ جَذْرِيٍّ.,إِذَا بَلَغَ السَّيْلُ الزُّبَى فَتَوَقَّعِ الْعَوَاقِبَ.
يَضْرِبُ فِي الْحَدِيدِ وَهُوَ حَامٍ,جملة فعلية مضارعة مع حال.,ينتهز الفرصة في وقتها المناسب.,يستغل الفرصة بسرعة.,B1,الأعمال، التخطيط، التوجيه,حِكَمي، توجيهي,مستمد من مهنة الحدادة في المجتمعات العربية القديمة.,/jaðribu fiː al.ħadiːdi wa huwa ħaːmin/,يَضْرِبُ فِي الْحَدِيدِ وَهُوَ حَامٍ عِنْدَمَا تَسْنَحُ الْفُرْصَةُ.,كُنْ حَازِمًا وَاضْرِبْ فِي الْحَدِيدِ وَهُوَ حَامٍ.,إِنَّهُ يَضْرِبُ فِي الْحَدِيدِ وَهُوَ حَامٍ فِي كُلِّ مَشْرُوعٍ.
عَلَى رِسْلِكَ,شبه جملة إنشائية تُستعمل للأمر بالتمهّل.,تمهّل ولا تتعجل.,تأنَّ قليلًا.,A2,التوجيه اليومي، التعليم,لطيف، إرشادي,وردت في نصوص عربية قديمة بمعنى السير ببطء.,/ʕalaː rislika/,عَلَى رِسْلِكَ فِي اتِّخَاذِ الْقَرَارِ.,قَالَ لَهُ مُعَلِّمُهُ: عَلَى رِسْلِكَ.,سِرْ عَلَى رِسْلِكَ حَتَّى لَا تُخْطِئَ.
يُرِيدُ أَنْ يَجْمَعَ بَيْنَ النَّقِيضَيْنِ,جملة فعلية مضارعة مع مفعول به مركب.,يحاول تحقيق أمرين متعارضين.,يسعى إلى أمر مستحيل.,B2,الفلسفة، الجدل، النقد,تحليلي، نقدي,مستمد من الجدل المنطقي في التراث الفلسفي الإسلامي.,/juriːdu ʔan jaʒmaʕa bajna an.naqiːdˤajn/,إِنَّهُ يُرِيدُ أَنْ يَجْمَعَ بَيْنَ النَّقِيضَيْنِ فِي مَوْقِفِهِ.,لَا تَحَاوِلْ أَنْ تَجْمَعَ بَيْنَ النَّقِيضَيْنِ.,مَنْ يَجْمَعْ بَيْنَ النَّقِيضَيْنِ يُوقِعْ نَفْسَهُ فِي تَنَاقُضٍ.
لَهُ فِي كُلِّ وِعَاءٍ مِغْرَفَةٌ,جملة اسمية تصويرية ذات تركيب إضافي.,يتدخل في كل شأن.,يتدخل في كل شيء.,C2,السخرية الاجتماعية، الأدب,ساخر، تصويري,تعبير مجازي منتشر في المشرق العربي في كتب الأدب الشعبي.,/lahu fiː kulli wiʕaːʔin miɣrafa/,هُوَ لَهُ فِي كُلِّ وِعَاءٍ مِغْرَفَةٌ فِي الْمَجْلِسِ.,لَا تَكُنْ لَكَ فِي كُلِّ وِعَاءٍ مِغْرَفَةٌ.,عُرِفَ عَنْهُ أَنَّ لَهُ فِي كُلِّ وِعَاءٍ مِغْرَفَةً.
تَحْتَ الرَّمَادِ وَمِيضٌ,جملة اسمية خبرية مجازية.,يوجد أمر خفي قد يظهر قريبًا.,هناك بوادر خفية.,C1,السياسة، التحليل الاجتماعي,تحذيري، بلاغي,صورة مأخوذة من بيئة الصحراء حيث يختبئ الجمر تحت الرماد.,/taħta ar.ramaːdi wamiːdˤun/,أَرَى أَنَّ تَحْتَ الرَّمَادِ وَمِيضًا فِي هَذِهِ الْقَضِيَّةِ.,لَا تَغْفَلْ فَتَحْتَ الرَّمَادِ وَمِيضٌ.,إِنَّ تَحْتَ الرَّمَادِ وَمِيضًا يَنْذِرُ بِتَغَيُّرٍ.
يَمْشِي عَلَى بَيْضٍ,جملة فعلية مضارعة تصويرية.,يتصرف بحذر شديد.,يتحرك بحذر بالغ.,B1,العمل، العلاقات الاجتماعية,تصويري، توصيفي,تشبيه قديم يدل على الدقة والحذر في السلوك.,/jamʃiː ʕalaː bajdˤin/,يَمْشِي عَلَى بَيْضٍ فِي مُفَاوَضَاتِهِ.,فِي هَذِهِ الْمَسْأَلَةِ يَمْشِي عَلَى بَيْضٍ.,كَانَ يَمْشِي عَلَى بَيْضٍ لِئَلَّا يُثِيرَ الْخِلَافَ.
قَلْبُهُ عَلَى لِسَانِهِ,جملة اسمية تشبيهية.,يصرّح بما يشعر به دون مواربة.,صريح في كلامه.,B2,الأسرة، الصداقة، الأدب,وصفي، إيجابي أو نقدي بحسب السياق,ورد في كتب الأدب للدلالة على الصراحة المفرطة.,/qalbuhu ʕalaː lisaːnihi/,هُوَ قَلْبُهُ عَلَى لِسَانِهِ فَلَا يُخْفِي شَيْئًا.,مَنْ كَانَ قَلْبُهُ عَلَى لِسَانِهِ يَتَعَرَّضُ لِلنَّقْدِ.,أُحِبُّهُ لِأَنَّ قَلْبَهُ عَلَى لِسَانِهِ.
دَارَتِ الدَّوَائِرُ عَلَيْهِ,جملة فعلية ماضية مبنية للمعلوم ذات طابع قدري.,انقلبت الأحوال ضده.,تغيرت الظروف ضده.,C1,التاريخ، السرد القصصي، السياسة,أدبي، درامي,تعبير كلاسيكي في كتب التاريخ لوصف تقلب الزمان.,/daːrati ad.dawaːʔiru ʕalajhi/,لَمَّا دَارَتِ الدَّوَائِرُ عَلَيْهِ فَقَدَ سُلْطَتَهُ.,قَدْ تَدُورُ الدَّوَائِرُ عَلَى مَنْ يَظْلِمُ.,إِذَا دَارَتِ الدَّوَائِرُ عَلَيْهِ لَا يَجِدُ نَاصِرًا.
