Idiom (Tigrinya),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tigrinya)",First Example Sentence,Second Example Sentence,Third Example Sentence
ኩሉ ጽንዓት ዘይኮነ ድሕሪ ግብሪ,Fixed clause; postpositional phrase,Don't assume the outcome before the action is done.,Wait until something is completed before judging it.,B2,"Daily speech, cautionary advice","Colloquial, advisory",Rooted in agrarian society; tasks were judged only after harvesting.,ˈkulu ˈtsʼɨnʕat zəjˈkone dɨħri ˈgɨbri,ንዚ ስራሕ ይኸውን ድሕሪ ክትተዓምር እንተኾነ ኩሉ ጽንዓት ዘይኮነ ድሕሪ ግብሪ እዩ።,ከምዝበለ ክብል ትፈትው ኣይትፈልጥ፣ ኩሉ ጽንዓት ዘይኮነ ድሕሪ ግብሪ እዩ።,ብኹሉ እተተኻኸለ ኣለዎ ክትብል ኣብ መጀመርታ ኣይትብል፣ ኩሉ ጽንዓት ዘይኮነ ድሕሪ ግብሪ።
ኩላት ሓሳብ ኣብ ኣእምሮ የተሓነጸ,Fixed phrase with metaphorical noun phrase,Someone who overthinks or is overwhelmed by thoughts.,Thinking too much or burdened mentally.,C1,"Daily life, psychological states","Colloquial, poetic",Common in highland communities where mental burden is likened to physical clutter.,ˈkulat ħaˈsab ʔab ʔaʕɨmˈro jɛtɛħanɨsˈsɛ,ሓሳቡ ኣብ ራእዮ የተናዓወተ፣ ኩላት ሓሳብ ኣብ ኣእምሮ የተሓነጸ እዩ።,ከመይ ዝሓስብ እዩ እቲ ሰብ፣ ኩላት ሓሳብ እዩ ኣብ ኣእምሮ ዝኾነ።,እቲ ውሕደ ክሳብ ተምሃሮ ኣብ ኣእምሮ ኩላት ሓሳብ ኣብዚ ኣለዎ።
ጭልፊ በረሓ ኣይተወለደን,Negative passive clause,Hardships are part of life; nothing is born in ease.,Nothing worthwhile comes without struggle.,C1,"Life lessons, motivational speech","Literary, philosophical",Reflects Tigrinya resilience in harsh environments like deserts.,ˈtʃʼɨlfi bɛˈrɛħa ʔajtɛwɛlɛˈdɛn,ኩሉ ዝሰርሕ ይጠቀም፣ ጭልፊ በረሓ ኣይተወለደን።,ኣብ ቀደም ብዙሕ ጸገም ኣለዎ፣ ጭልፊ በረሓ ኣይተወለደን እዩ።,ዝበለ ክስደት ክልተ ዓወት ኣሎ፣ ጭልፊ በረሓ ኣይተወለደን።
ዓዲ ዘይሓፍስ ደረት ኣይትገብር,Negative imperative clause,Don't try to act big without a foundation.,Don't aim too high without preparation.,B2,"Family, planning, advice","Proverbial, cautionary",Popular among rural builders who rely on strong bases for homes.,ʕadi zəjħafɨs dɛrɛt ʔajtɨgɛbɨr,ሓጺርካ ተዘርአካ ንዓዲ ዘይሓፍስ ደረት ኣይትገብር እዩ።,ዝተሓለፈ ብድሕሪ ደረት እዩ ኣይኮነን፣ ዓዲ ዘይሓፍስ ደረት ኣይትገብር።,ትኽክል ምዃኑ ኣለዎ ንዝሓወየ፣ ዓዲ ዘይሓፍስ ደረት ኣይትገብር እዩ።
ኣይሰምዑን ኣይርኣዩን ሓደ ዓዲ,Conjoined negative passive clauses,A place or situation completely disconnected from awareness or visibility.,An unknown or forgotten place.,C1,"Politics, sarcasm, storytelling","Ironic, literary",Refers to isolated or ignored villages during historical marginalization.,ʔajɨsɛmʔun ʔajɨrʔajun ħadɛ ʕadi,እቲ ኣድሓና እዩ ኣይሰምዑን ኣይርኣዩን ሓደ ዓዲ።,ሕጂ ዝገበረ ውሕደ ተመልሶ ሓደ ኣይሰምዑን ኣይርኣዩን ሓደ ዓዲ ኣድልዎ።,እቲ ምስ ንኹሉ ተዘላለፈ ምስኡ ነዚ ኣይሰምዑን ኣይርኣዩን ሓደ ዓዲ ኣብዚ ኣለ።
ሓላፍነት ኣይትጨውወን እንደበለ ኣገዳሲ,Imperative with embedded conditional,Don’t take leadership lightly just because you're lucky.,Take responsibility seriously.,B2,"Workplace, leadership, politics","Formal, critical",Derived from traditional leadership expectations in clan structures.,ħalafɨnɛt ʔajtɨʧʼawʔwɛn ʔɨndɛbɛlɛ ʔagɛdasɨ,ኣብ ቦታ ሓላፍነት ኣይትጨውወን እንደበለ ኣገዳሲ።,እንተቐበለካ ዘይተወሰነ ሓላፍነት ኣይትጨውወን እንደበለ ኣገዳሲ።,ሓደ ተምሃሮ ኣነ ደኣ ሓላፍነት ኣይትጨውወን እንደበለ ኣገዳሲ በለኒ።
ገና ሓደ ናይ ቀደም ዓለም,Temporal clause + metaphorical noun phrase,Something ancient and outdated.,Very old or irrelevant.,B1,"Jokes, sarcasm, literature","Sarcastic, humorous",Used to mock outdated technology or habits.,gɛna ħadɛ naj qɛdɛm ʕalɛm,እዚ ስልኪ ገና ሓደ ናይ ቀደም ዓለም እዩ።,ብዙሓት ዓይነት ኣሳብ ገና ሓደ ናይ ቀደም ዓለም እዩ።,ካብ እታ መንገዲ ገና ሓደ ናይ ቀደም ዓለም ይመስል።
እንታይ ደኣ ግዜ ደረፈና!,Exclamatory interrogative + emphatic verb,An expression of frustration when time has been wasted.,What a waste of time!,B2,"Daily speech, frustration","Colloquial, emotional",Reflects value placed on productivity in Tigrinya culture.,ʔɨntaj dɛʔa gɨzɛ dɛrɛfna,ብኹሉ ዝተሓደሰ እንታይ ደኣ ግዜ ደረፈና እዩ።,ምስ ደገማ ይበል ኣይተተኸለናን፣ እንታይ ደኣ ግዜ ደረፈና።,ዘይተጠቀምና እንታይ ደኣ ግዜ ደረፈና!
ግምት ዘይብሉ በቲ ሓሳብ,Noun clause with attributive phrase,An unpredictable or bizarre idea.,A strange or unrealistic thought.,C2,"Debate, humor, literature","Philosophical, literary",Used among scholars or to mock abstract reasoning.,gɨmt zəjbɨlu bɨti ħasab,እቲ ነገር ግምት ዘይብሉ በቲ ሓሳብ እዩ ተመሲሱ።,ገና ከምዚ ግምት ዘይብሉ ሓሳብ ኣይረኣእኩን።,ኣብ ስደተኛ ሕሳብ ግምት ዘይብሉ በቲ ሓሳብ ኣለዎ።
ገንዘብ ዘይብሉ ድምብ ኣይከድን,Proverbial conditional clause,Don’t spend what you don’t have.,Act within your means.,A2,"Finance, family, advice","Colloquial, cautionary",Frequently used in budgeting and community planning.,gɛnzɛb zəjbɨlu dɨmb ʔajɨkɨdɨn,ናብ ደቂ ሓጎስ እዩ ገንዘብ ዘይብሉ ድምብ ኣይከድን ክምትብል።,ኣብ ምምሕዳር ገንዘብ ዘይብሉ ድምብ ኣይከድን ይበል።,ተመሓየሹ ሓሳብ ክትብሉ ምንታይ ገንዘብ ዘይብሉ ድምብ ኣይከድን!
