Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ts’àh k’atr’ah àłts’įį,Nominal phrase with possessed noun + adjectival intensifier; fixed metaphorical construction,To carry deep emotional weight or silent worry,To feel very worried or burdened,B2,"Family discussion, grief, personal struggle, reflective storytelling","Poetic, reflective, solemn",Linked to subsistence life where carrying heavy loads symbolized responsibility and endurance,/tsʼàh kʼatrʼah àɬtsʼįː/,"Shìh ts’àh k’atr’ah àłts’įį, shijyaa tr’iinjik gwiłàa.",Nakhwìi ts’àh k’atr’ah àłts’įį gòonihthan gwidįį.,Srigwich’in ts’àh k’atr’ah àłts’įį ch’oo gwiłįį.
Vadzaih k’it shanìh,Noun + postpositional phrase; metaphorical spatial construction,To act recklessly without thinking,To behave carelessly,B1,"Humor, teasing, youth behavior","Colloquial, humorous",Refers to caribou running wildly during migration,/vad͡zaih kʼit ʃanìh/,Vadzaih k’it shanìh shìh gwidįį ts’àh.,Nakhwìi vadzaih k’it shanìh gwiłàa.,Shijyaa vadzaih k’it shanìh ch’oo gwidįį.
Łuk dagoo tr’ah,Verb phrase with motion verb; idiomatic fixed predicate,To change one’s mind suddenly,To reconsider quickly,B2,"Negotiation, planning, politics","Neutral, conversational",Derived from river currents shifting direction,/ɬuk daɡoː trʼah/,Shìh łuk dagoo tr’ah gòonihthan gwidįį.,Nakhwìi łuk dagoo tr’ah ts’àh gwiłàa.,Srigwich’in łuk dagoo tr’ah ch’oo gwidįį.
Gwidįį ts’àh khanìh,Adverbial intensifier + possessed noun phrase; emphatic metaphor,To be extremely grateful,To feel deep gratitude,A2,"Ceremonies, speeches, gratitude expressions","Formal, respectful",Associated with communal sharing traditions,/ɡwidįː tsʼàh xanìh/,Shìh gwidįį ts’àh khanìh mahsi’ choo.,Nakhwìi gwidįį ts’àh khanìh gwiłàa.,Srigwich’in gwidįį ts’àh khanìh gwidįį.
K’atr’ah gwitr’it,Verb phrase with reflexive nuance; fixed idiomatic predicate,To overthink or dwell excessively,To think too much about something,C1,"Advice, counseling, reflective speech","Advisory, reflective",Evokes imagery of circling thoughts like birds over tundra,/kʼatrʼah ɡwitrʼit/,Shìh k’atr’ah gwitr’it ts’àh gwidįį.,Nakhwìi k’atr’ah gwitr’it gwiłàa.,Shijyaa k’atr’ah gwitr’it ch’oo gwidįį.
Shanìh tr’ih,Intransitive verb phrase; metaphorical motion construction,To give up or lose momentum,To stop trying,A2,"Encouragement, daily conversation",Neutral,Refers to sled dogs slowing in deep snow,/ʃanìh trʼih/,Shìh shanìh tr’ih gwiłàa.,Nakhwìi shanìh tr’ih ts’àh gwidįį.,Shijyaa shanìh tr’ih ch’oo gwiłįį.
Ts’àh tr’įįh gwik’it,Possessed noun + directional verb; fixed figurative clause,To hold onto anger,To remain angry,B2,"Conflict, family disputes","Serious, emotional",Connected to imagery of gripping tools tightly during labor,/tsʼàh trʼĩːh ɡwikʼit/,Shìh ts’àh tr’įįh gwik’it gwidįį.,Nakhwìi ts’àh tr’įįh gwik’it gwiłàa.,Srigwich’in ts’àh tr’įįh gwik’it ch’oo gwidįį.
Gòonihthan łuk tr’iinjik,Adverbial phrase + motion verb; figurative transformation construction,To speak indirectly or evasively,To avoid answering directly,C1,"Politics, negotiation, formal discourse","Ironic, critical",Evokes bending river paths rather than straight crossings,/ɡòːnihthan ɬuk trʼiːnd͡ʒik/,Nakhwìi gòonihthan łuk tr’iinjik gwidįį.,Shìh gòonihthan łuk tr’iinjik ch’oo gwiłàa.,Srigwich’in gòonihthan łuk tr’iinjik gwidįį.
Dèetr’ìn khanìh àłts’įį,Locative phrase + intensifier; poetic metaphorical clause,To feel spiritually grounded,To feel connected and centered,B2,"Ceremony, storytelling, literature","Poetic, spiritual",References homeland and ancestral lands,/dèːtrʼìn xanìh àɬtsʼįː/,Shìh dèetr’ìn khanìh àłts’įį gwidįį.,Nakhwìi dèetr’ìn khanìh àłts’įį gwiłàa.,Srigwich’in dèetr’ìn khanìh àłts’įį ch’oo gwidįį.
K’it tr’ah gwich’in,Directional particle + verb phrase; fixed idiomatic expression,To return to one’s roots or traditions,To reconnect with tradition,B1,"Cultural events, youth education, heritage programs","Positive, affirming",Reflects seasonal return to traditional camps,/kʼit trʼah ɡwitʃʼin/,Shìh k’it tr’ah gwich’in gwidįį.,Nakhwìi k’it tr’ah gwich’in gwiłàa.,Shijyaa k’it tr’ah gwich’in ch’oo gwidįį.
