Idiom (Makassarese),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
battu ri langi’,frasa verba tetap,datang tiba-tiba tanpa diduga,datang secara mendadak,B1,percakapan sehari-hari,kolokial,diasosiasikan dengan kepercayaan lama tentang nasib dari langit,ˈbattu ri ˈlaŋiʔ,Ia battu ri langi’ ri acara eta.,Kabarna battu ri langi’ na semua orang kaget.,Tamu eta battu ri langi’ tanpa undangan.
tallu bulo sipakainga,klausa metaforis tetap,saling mengingatkan dalam kebersamaan,saling menasihati,B2,"keluarga, budaya",semi-formal,nilai budaya gotong royong Makassar,ˈtallu ˈbulo sipakaˈiŋa,Anjo keluarga tallu bulo sipakainga.,Temanna sipakainga baji-baji.,"Di kampong, tallu bulo sipakainga biasa terjadi."
angngallei bulo,frasa verba,mengambil keuntungan diam-diam,memanfaatkan situasi,B2,"politik, kerja",ironis,berasal dari praktik mengambil bambu tanpa izin,aŋˈŋallei ˈbulo,Ia angngallei bulo ri proyek eta.,Jangang angngallei bulo dari temanmu.,Banyak orang angngallei bulo saat ada kesempatan.
mate ri siri’na,klausa tetap,sangat malu hingga kehilangan harga diri,sangat malu,C1,"budaya, kehormatan",formal,konsep siri’ dalam budaya Makassar,ˈmate ri siˈriʔna,Ia mate ri siri’na karena kejadian eta.,Keluargana mate ri siri’na.,Jangang bikin orang mate ri siri’na.
mappakasiri’,verba derivatif,membuat malu seseorang,mempermalukan,B1,sosial,netral,berasal dari konsep siri’,mappa kaˈsiriʔ,Ia mappakasiri’ temanna.,Perkataanna mappakasiri’.,Jangang mappakasiri’ orang lain.
lipa’ sabbe,nomina metaforis,simbol kemewahan atau status tinggi,orang kaya,B2,"sosial, budaya",poetik,kain sutra khas Makassar,ˈlipaʔ ˈsabbe,Ia seperti lipa’ sabbe di kampong.,Kehidupanna lipa’ sabbe.,Banyak orang ingin jadi lipa’ sabbe.
baji’ gau’,frasa adjektival,perilaku baik,berperilaku baik,A2,pendidikan,netral,nilai moral dasar Makassar,ˈbadʒiʔ ˈgauʔ,Anak eta baji’ gau’.,Ia dikenal baji’ gau’.,Semua orang suka yang baji’ gau’.
tena na gau’,klausa negatif,tidak ada tindakan nyata,tidak melakukan apa-apa,B1,kritik sosial,ironis,digunakan dalam kritik masyarakat,ˈtena na ˈgauʔ,Ia cuma bicara tapi tena na gau’.,Programna tena na gau’.,Jangang jadi orang tena na gau’.
sikamma tau,frasa nominal,seperti orang kebanyakan,biasa saja,A2,sehari-hari,netral,konsep kesetaraan sosial,siˈkamma tau,Ia hidup sikamma tau.,"Jangang sombong, jadi sikamma tau saja.",Semua orang harus sikamma tau.
gaukang ri lino,frasa metaforis,perjalanan hidup di dunia,hidup di dunia,B2,filosofi,poetik,pandangan hidup tradisional,ˈgaukang ri ˈlino,Gaukang ri lino penuh cobaan.,Ia belajar dari gaukang ri lino.,Setiap orang punya gaukang ri lino.
