Idiom (Eibela),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Luma na sogo-beli.,Fixed declarative clause; noun + 1SG pronoun + stative verb compound.,To carry hidden resentment or silent anger.,Na gesele nafa nabe.,B2,"Family disputes, politics, interpersonal tension.","Colloquial, ironic.",Derived from traditional cooking stones (sogo) that retain heat long after fire fades.,ˈluma na ˈsoɡo beli,"Tumo luma na sogo-beli, amai nabe foledo.","Na luma na sogo-beli, tumo meli gesele.","Amai luma na sogo-beli fo, mubi tale."
Amai tumo fele-dabo.,Subject + object + causative verb construction.,To mislead someone intentionally.,Amai tumo kadele nabe.,B1,"Daily speech, humor, gossip.",Informal.,Rooted in hunting metaphors where animals are lured away from paths.,ˈamai ˈtumo fele ˈdabo,"Na amai tumo fele-dabo, tumo nabe meli.","Tumo amai fele-dabo fo, soro bile.","Amai tumo fele-dabo labe, na kadele."
Soro na luma-feda.,Noun + 1SG pronoun + reflexive verb form.,To lose one's temper suddenly.,Na nabe gesele tumo.,B2,"Arguments, workplace tension.",Colloquial.,Refers to rivers (soro) that overflow unpredictably during heavy rain.,ˈsoro na ˈluma feda,"Na soro na luma-feda fo, tumo sile.",Amai soro na luma-feda meli.,Tumo soro na luma-feda fo labe.
Mubi lale-fole.,Compound verb phrase in perfective aspect.,To pretend not to notice.,Mubi nabe gesele.,B1,"Humor, sarcasm, daily speech.",Ironic.,Associated with ceremonial masks hiding facial expression.,ˈmubi ˈlale fole,"Na mubi lale-fole, amai sile.",Tumo mubi lale-fole fo tumo nabe.,Amai mubi lale-fole labe.
Tale na mubi-safa.,Declarative clause with possessive noun phrase.,To speak recklessly without thinking.,Na fo nabe sile.,C1,"Politics, formal debate, criticism.","Semi-formal, critical.",Linked to traditional shell trumpets (mubi) blown loudly in public gatherings.,ˈtale na ˈmubi safa,"Na tale na mubi-safa fo, tumo bile.",Amai tale na mubi-safa fo labe.,Tumo tale na mubi-safa meli.
Gese luma-bode.,Imperative-derived nominal compound.,To calm down after anger.,Gese nabe sile.,A2,"Family, daily advice.",Neutral.,Refers to cooling embers after communal cooking.,ˈɡese ˈluma bode,Na gese luma-bode fo tumo.,Amai gese luma-bode meli.,Tumo gese luma-bode labe.
Feda mubi-lale.,Verb-noun compound in stative construction.,To hide one's true feelings.,Feda nabe sile.,B2,"Literature, interpersonal speech.",Poetic.,Inspired by ritual face painting concealing emotion.,ˈfeda ˈmubi lale,Na feda mubi-lale fo amai.,Tumo feda mubi-lale meli.,Amai feda mubi-lale labe.
Sile tumo-dafe.,Verb + object incorporated compound.,To support someone loyally.,Sile tumo meli.,B1,"Workplace, friendship.",Neutral.,Based on carrying heavy garden loads together.,ˈsile ˈtumo dafe,Na sile tumo-dafe fo amai.,Tumo sile tumo-dafe meli.,Amai sile tumo-dafe labe.
Bile soro-fada.,Intransitive clause with metaphorical subject.,To face consequences bravely.,Bile meli tumo.,C1,"Leadership, storytelling.","Formal, literary.",Evokes crossing deep rivers during tribal migrations.,ˈbile ˈsoro fada,Na bile soro-fada fo amai.,Tumo bile soro-fada meli.,Amai bile soro-fada labe.
Nabe luma-tale.,Negative polarity noun-verb compound.,To remain emotionally distant.,Nabe sile tumo.,B2,"Relationships, reflective writing.","Poetic, reflective.",Derived from imagery of smoke drifting away from hearth fire.,ˈnabe ˈluma tale,Na nabe luma-tale fo amai.,Tumo nabe luma-tale meli.,Amai nabe luma-tale labe.
