Idiom (Mapudungun),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mapudungun)",First Example Sentence,Second Example Sentence,Third Example Sentence
Nor rüpü mew amuley,Fixed clause with directional noun phrase (rüpü) + motion verb amuley,Someone who lives or acts with integrity and moral clarity,Kiñe che nor rakiduam mew mongen,B1,"Daily speech, family advice, leadership discourse","Respectful, moral, proverbial",Associated with Mapuche ethical worldview emphasizing balance and correct path in life,[noɾ ˈɾupu mew amuˈlej],Chachay nütramkan: Nor rüpü mew amuley tüfa chi pichikeche.,Kiñe longko müley nor rüpü mew amuley tañi lof mew.,Pu che kimniey: nor rüpü mew amuley feychi wentru.
Küme rakiduam mew amuley,Adverbial phrase with evaluative adjective + motion verb,Acting thoughtfully or wisely,Küme rakiduam nien ka küme amun,A2,"Advice, education, mentoring","Neutral, instructive",Reflects Mapuche emphasis on thoughtful deliberation before action,[ˈkume ɾakiˈðwam mew amuˈlej],Kimeltuchefe piam: küme rakiduam mew amuley tami küdaw.,Pu wenüy kimniey küme rakiduam mew amuley.,Iñche ayün che küme rakiduam mew amuley.
Feychi zugun müley longko rakiduam mew,Declarative clause with existential verb müley,The decision depends on leadership judgment,Longko müten kimniey chem amuln,B2,"Politics, community meetings","Formal, communal",Traditional Mapuche governance structure where the longko guides decisions,[fejtʃi suˈɣun ˈmulej ˈloŋko ɾakiˈðwam mew],Trawün mew pu che piam: feychi zugun müley longko rakiduam mew.,"Kom che allkütuy, feychi zugun müley longko rakiduam mew.",Lof mew kimniey: feychi zugun müley longko rakiduam mew.
Mapu mew müley tañi newen,Locative construction with existential verb,Strength comes from connection to land and heritage,Mapu mew nien newen,B1,"Cultural speech, ceremonies","Poetic, cultural",Deeply tied to Mapuche cosmology and territorial identity,[ˈmapu mew ˈmulej taɲi ˈnewen],Pu kimche nütramkan: mapu mew müley tañi newen.,Feychi wentru kimniey mapu mew müley tañi newen.,Ngillatun mew pu che piam mapu mew müley tañi newen.
Küme zugun amuley pu che mew,Clause with motion verb metaphorically applied to speech,Good words spread among people,Pu che allkütuy küme zugun,A2,"Community, teaching",Proverbial,Reflects oral tradition and value of respectful speech,[ˈkume suˈɣun amuˈlej pu tʃe mew],Kimeltuchefe piam küme zugun amuley pu che mew.,Pu pichikeche allkütuy: küme zugun amuley pu che mew.,Feychi kimün müley küme zugun amuley pu che mew.
Kiñe rüpü müley pu kimün mew,Existential clause with metaphorical noun rüpü,Knowledge offers many paths,Kimün niey küme amuln,B2,"Education, philosophical discourse",Reflective,Traditional Mapuche teaching metaphors relating learning to journeys,[ˈkiɲe ˈɾupu ˈmulej pu kiˈmun mew],Profesor piam: kiñe rüpü müley pu kimün mew.,Pu estudiante kimniey kiñe rüpü müley pu kimün mew.,Tüfachi zugun müley: kiñe rüpü müley pu kimün mew.
Nor che müley nor rüpü mew,Parallel clause with adjective repetition,An honest person lives on the right path,Nor che küme mongen mew amuley,B1,"Moral teaching, family guidance",Proverbial,Traditional Mapuche sayings about personal integrity,[noɾ tʃe ˈmulej noɾ ˈɾupu mew],Chachay piam: nor che müley nor rüpü mew.,Pu che kimniey nor che müley nor rüpü mew.,Feychi wentru feley: nor che müley nor rüpü mew.
Küme mogen müley küme rakiduam mew,Parallel existential clause,A good life comes from good thinking,Küme rakiduam niey küme mogen,B1,"Philosophy, life advice",Reflective,Common teaching among elders linking thought and well-being,[ˈkume moˈɣen ˈmulej ˈkume ɾakiˈðwam mew],Kimche piam küme mogen müley küme rakiduam mew.,Pu che kimniey küme mogen müley küme rakiduam mew.,Trawün mew piam küme mogen müley küme rakiduam mew.
Zugu amuley mapu mew,Clause with metaphorical movement of speech,News travels quickly through the community,Pu che rume püram zugu,A2,"Daily life, humor",Colloquial,Reflects tight social networks in Mapuche communities,[suˈɣu amuˈlej ˈmapu mew],Pu wenüy piam zugu amuley mapu mew.,Lof mew kimniey zugu amuley mapu mew.,Feychi zugu amuley mapu mew tüfachi antü.
Rakiduam müley pu che mew,Existential clause with collective noun phrase,People are thinking or discussing something seriously,Pu che rakiduamün kiñe zugu mew,B2,"Community meetings, politics","Neutral, reflective",Reflects collective decision-making traditions in Mapuche society,[ɾakiˈðwam ˈmulej pu tʃe mew],Trawün mew rakiduam müley pu che mew.,Pu che allkütuy ka rakiduam müley pu che mew.,Feychi zugu mew rakiduam müley pu che mew.
