Idiom (Limbu),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Limbu)",First Example Sentence,Second Example Sentence,Third Example Sentence
ᤔᤢᤴᤎᤢᤶᤖᤧ ᤏᤡᤱᤘᤠ ᤂᤧᤵᤛᤢᤔᤠ,Fixed genitive noun phrase plus infinitive verb; ritual-cultural nominal head with listener-oriented verb complement.,"To pause and consider ancestral wisdom, elders’ counsel, or inherited moral knowledge before acting.",ᤀᤠᤍᤠᤱᤒᤠᤜᤠ᤹ᤖᤧ ᤐᤠ᤺ᤴ ᤂᤧᤵᤛᤢᤔᤠ ᤏᤢ ᤔᤡᤔ᤻ ᤆᤥ᤺ᤰᤔᤠ,C1,family counsel; ritual speech; community meetings; ethical reflection; education,"respectful, literary, ceremonial",Evokes Mundhum as ancestral oral knowledge and moral memory in Yakthung/Limbu cultural life.,/mun.dʱum.re niŋ.wa kʰep.su.ma/,"ᤕᤠᤶᤒᤠ ᤕᤢᤰ ᤆᤥ᤺ᤰᤔᤠ ᤀᤠᤃᤧ, ᤔᤢᤴᤎᤢᤶᤖᤧ ᤏᤡᤱᤘᤠ ᤂᤧᤵᤛᤢᤔᤠ ᤐᤥ᤺ᤱᤗᤥ॥",ᤀᤠᤍᤠᤱᤒᤠᤛᤣ ᤔᤢᤴᤎᤢᤶᤖᤧ ᤏᤡᤱᤘᤠ ᤂᤧᤵᤛᤢᤔᤠ ᤔᤧᤋᤋᤢ᤹॥,"ᤗᤠᤈᤣ᤹ᤀᤥ ᤛᤠᤘᤠ᤺ᤴ ᤆᤥ᤺ᤰᤛᤠᤱ, ᤔᤢᤴᤎᤢᤶᤖᤧ ᤏᤡᤱᤘᤠ ᤂᤧᤵᤛᤢᤔᤠ ᤏᤢᤖᤡᤰ ᤘᤠ᤹॥"
ᤔᤡᤰᤁᤡᤛᤥ ᤔᤡᤔ᤻ ᤘᤠ᤹,Locative body-part phrase plus existential predicate; compact metaphorical clause.,"To understand what is unsaid; to read emotion, intention, or hidden meaning from expression and context.",ᤐᤠ᤺ᤴ ᤔᤧᤆᤥ᤺ᤰᤏᤧᤴᤛᤠᤱ ᤏᤡᤱᤘᤠ ᤂᤥᤛᤢᤔᤠ,B2,family; negotiation; friendship; literature; quiet disagreement,"colloquial, reflective, mildly poetic","Connected to indirect, respectful communication where elders or peers may imply meaning rather than state it bluntly.",/mik.ki.so mim waʔ/,"ᤂᤧᤏᤧ᤹ ᤐᤠ᤺ᤴ ᤔᤧᤆᤥ᤺ᤰᤏᤧᤴᤛᤠᤱ, ᤔᤡᤰᤁᤡᤛᤥ ᤔᤡᤔ᤻ ᤘᤠ᤹॥","ᤀᤠᤶᤔᤠᤖᤧ ᤔᤡᤰᤁᤡᤛᤥ ᤔᤡᤔ᤻ ᤘᤠ᤹, ᤀᤠᤏᤡ ᤐᤠ᤺ᤴ ᤏᤡᤛᤢᤶᤗᤥ॥",ᤆᤢᤶᤗᤢᤱᤀᤥ ᤔᤡᤰᤁᤡᤛᤥ ᤔᤡᤔ᤻ ᤘᤠ᤹ᤒᤠ ᤕᤠᤵᤔᤡ ᤁᤧᤕᤢᤱᤒᤠ॥
"ᤕᤠᤱ ᤕᤠᤶᤒᤠ, ᤏᤡᤱᤘᤠ ᤏᤢᤒᤠ",Balanced parallel nominal-adjectival phrase; antithetical evaluative proverb.,"Material success matters less than good judgment, generosity, and moral character.",ᤕᤠᤱᤏᤢᤛᤠᤱ ᤏᤢᤒᤠ ᤏᤡᤱᤘᤠ ᤕᤠᤶᤒᤠ ᤐᤥ᤺ᤱ,B1,business; family advice; marriage talk; ethics; youth guidance,"proverbial, moralizing, gentle warning","Reflects agrarian and community-centered values where prestige is judged by conduct, not only wealth.",/jaŋ jam.ba niŋ.wa nu.ba/,"ᤀᤠᤶᤐᤥᤕᤠ ᤕᤠᤱ ᤕᤠᤶᤒᤠ, ᤏᤡᤱᤘᤠ ᤏᤢᤒᤠ ᤁᤧᤐᤥ᤺ᤱ ᤔᤧᤋᤋᤢ᤹॥","ᤕᤠᤱ ᤕᤠᤶᤒᤠ, ᤏᤡᤱᤘᤠ ᤏᤢᤒᤠ ᤔᤧᤏᤢ᤹ᤏᤧᤴ ᤕᤠᤵᤔᤡ ᤛᤠᤘᤠ᤺ᤴ ᤔᤧᤆᤥ᤺ᤰᤏᤧᤴ॥","ᤁᤴ ᤆᤢᤶᤗᤢᤱᤀᤥ ᤕᤠᤱ ᤕᤠᤶᤒᤠ, ᤏᤡᤱᤘᤠ ᤏᤢᤒᤠ ᤐᤠ᤺ᤴ ᤐᤡᤖᤢᤶᤗᤥ॥"
ᤆᤢᤒᤣᤕ ᤆᤢᤒᤣᤕ ᤂᤧᤵᤛᤢᤔᤠ,Reduplicated adverbial expression plus infinitive verb; iterative aspectual meaning.,"To learn, understand, or resolve a matter patiently through repeated listening.",ᤕᤠᤗᤡᤰ ᤂᤧᤵᤛᤢᤔᤠ ᤏᤢ ᤏᤢᤖᤡᤰ ᤔᤡᤔ᤻ ᤆᤥ᤺ᤰᤔᤠ,A2,classroom; conflict mediation; child guidance; listening practice,"colloquial, patient, encouraging","Echoes oral-learning habits where songs, ritual knowledge, and community histories are absorbed through repetition.",/t͡ɕu.bej t͡ɕu.bej kʰep.su.ma/,"ᤆᤢᤒᤣᤕ ᤆᤢᤒᤣᤕ ᤂᤧᤵᤛᤢᤔᤠ, ᤕᤠᤰᤌᤢᤱ ᤐᤠ᤺ᤴ ᤏᤢᤖᤡᤰ ᤐᤥ᤺ᤱᤗᤥ॥","ᤀᤠᤔᤧᤴ ᤆᤢᤒᤣᤕ ᤆᤢᤒᤣᤕ ᤂᤧᤵᤛᤢᤔᤠ ᤔᤧᤋᤋᤢ᤹, ᤂᤧᤏᤧ᤹ ᤔᤧᤜᤡᤶᤏᤧᤴ॥",ᤛᤠᤶᤗᤥ ᤆᤢᤒᤣᤕ ᤆᤢᤒᤣᤕ ᤂᤧᤵᤛᤢᤔᤠᤀᤥ ᤏᤡᤱᤘᤠ ᤔᤧᤘᤠ᤹॥
ᤂᤠᤶ ᤏᤢ ᤆᤢᤘᤠ ᤐᤥ᤺ᤱᤔᤠ,Coordinated natural-element noun phrase plus inchoative verb; metaphor of rooted becoming.,"To become deeply rooted in a place, family, or community through shared life and responsibility.",ᤗᤠᤈᤣ᤹ᤀᤥ ᤏᤢᤖᤡᤰ ᤘᤠ᤹ᤔᤠ ᤏᤢ ᤛᤠᤘᤠ᤺ᤴ ᤆᤥ᤺ᤰᤔᤠ,B2,migration; land; belonging; family settlement; rural identity,"poetic, warm, reflective","Draws on hill agrarian imagery of soil and water as the basis of household, harvest, and belonging.",/kʰam nu t͡ɕu.wa poːŋ.ma/,ᤀᤠᤏᤡ ᤁᤴ ᤗᤠᤈᤣ᤹ᤀᤥ ᤂᤠᤶ ᤏᤢ ᤆᤢᤘᤠ ᤐᤥ᤺ᤱᤔᤠ ᤆᤥ᤺ᤰᤗᤥ॥,ᤂᤧᤴ ᤜᤡᤶᤖᤧ ᤂᤠᤶ ᤏᤢ ᤆᤢᤘᤠ ᤐᤥ᤺ᤱᤔᤠ ᤂᤥᤛᤢᤱᤓᤠᤱ ᤏᤢᤒᤠ ᤘᤠ᤹॥,"ᤕᤠᤱ ᤔᤧᤕᤧᤰᤏᤧᤴᤛᤠᤱ, ᤂᤠᤶ ᤏᤢ ᤆᤢᤘᤠ ᤐᤥ᤺ᤱᤔᤠ ᤏᤡᤱᤘᤠ ᤆᤥ᤺ᤰᤗᤥ॥"
ᤗᤠᤈᤣ᤹ ᤁᤢᤛᤠᤱ ᤘᤠ᤹,Possessive-like noun phrase plus existential predicate; personification of a community.,"A community has collective memory, reputation, and moral judgment; public conduct is never fully private.",ᤁᤧᤖᤧᤰ ᤕᤠᤵᤔᤡᤜᤠ᤹ᤖᤧ ᤐᤠ᤺ᤴ ᤂᤧᤵᤛᤢ᤹ ᤏᤢ ᤔᤡᤔ᤻ ᤆᤥ᤺ᤰᤋᤢ᤹,C1,politics; village meetings; social accountability; public disputes; satire,"proverbial, cautionary, ironic",Rooted in village assembly culture and collective reputation in Limbuwan-area social life.,/la.d͡zeʔ ku.saŋ waʔ/,"ᤗᤠᤈᤣ᤹ ᤁᤢᤛᤠᤱ ᤘᤠ᤹, ᤔᤧᤏᤢ᤹ᤏᤧᤴ ᤕᤢᤰ ᤆᤥ᤺ᤰᤔᤠ ᤔᤧᤕᤢᤰᤋᤢᤒᤠ॥","ᤁᤴ ᤐᤠ᤺ᤴ ᤂᤧᤵᤛᤠᤱ, ᤗᤠᤈᤣ᤹ ᤁᤢᤛᤠᤱ ᤘᤠ᤹ ᤔᤧᤋᤋᤢ᤹॥","ᤔᤡᤶᤍᤡᤱ ᤔᤧᤛᤢᤳᤗᤠᤏᤧᤴ, ᤗᤠᤈᤣ᤹ ᤁᤢᤛᤠᤱ ᤘᤠ᤹ᤗᤥ॥"
ᤁᤢᤔᤢᤰ ᤐᤡᤖᤢᤔᤠ,Body-part noun plus benefactive/transitive verb; conventionalized action metaphor.,"To help someone practically, especially by sharing work, time, or social support.",ᤕᤠᤵᤔᤡᤖᤧ ᤁᤧᤕᤢᤰ ᤆᤥ᤺ᤰᤔᤠᤀᤥ ᤛᤠᤘᤠ᤺ᤴ ᤐᤡᤖᤢᤔᤠ,A1,daily speech; work; family; farming; volunteering,"neutral, friendly, practical","Reflects reciprocal labor traditions, household cooperation, and communal support during planting, harvest, or ceremonies.",/ku.muk pi.ru.ma/,ᤀᤠᤏᤡ ᤆᤠ᤺ᤔᤠ᤹ᤀᤥ ᤁᤢᤔᤢᤰ ᤐᤡᤖᤢᤔᤠ ᤐᤥ᤺ᤱᤗᤥ॥,ᤂᤧᤏᤧ᤹ ᤁᤢᤔᤢᤰ ᤐᤡᤖᤢᤔᤠᤖᤧ ᤆᤢᤶᤒᤣᤕᤜᤠ᤹ ᤏᤥᤃᤧᤴ ᤆᤥ᤺ᤰᤋᤢ᤹॥,ᤆᤠᤛᤥᤰᤀᤥ ᤁᤧᤖᤧᤰᤁᤧ ᤁᤢᤔᤢᤰ ᤐᤡᤖᤢᤔᤠ ᤏᤢᤖᤡᤰ ᤐᤥ᤺ᤱ॥
ᤐᤠ᤺ᤴ ᤛᤠᤘᤠ᤺ᤴᤏᤢ ᤆᤥ᤺ᤰᤔᤠ,Object noun plus comitative/instrumental modifier and light verb; politeness-sensitive verbal idiom.,"To speak thoughtfully, respectfully, and with social care rather than carelessly or harshly.",ᤏᤢᤖᤡᤰ ᤐᤠ᤺ᤴ ᤆᤥ᤺ᤰᤔᤠ ᤏᤢ ᤕᤠᤵᤔᤡ ᤔᤡᤔ᤻ ᤆᤥ᤺ᤰᤔᤠ,B1,workplace; dispute resolution; teaching; public speaking; elder-child speech,"polite, formal-neutral, advisory",Tied to respect for elders and the value of measured speech in household and community settings.,/paːn sa.waːn.nu t͡ɕoːk.ma/,ᤆᤢᤶᤗᤢᤱᤀᤥ ᤐᤠ᤺ᤴ ᤛᤠᤘᤠ᤺ᤴᤏᤢ ᤆᤥ᤺ᤰᤔᤠ ᤏᤢᤖᤡᤰ ᤘᤠ᤹॥,"ᤂᤧ᤹ᤕᤠᤱ ᤕᤠᤶᤒᤠ ᤐᤥ᤺ᤱᤛᤠᤱ, ᤐᤠ᤺ᤴ ᤛᤠᤘᤠ᤺ᤴᤏᤢ ᤆᤥ᤺ᤰᤔᤠ ᤐᤥ᤺ᤱ॥",ᤀᤠᤍᤠᤱᤒᤠᤖᤧ ᤐᤠ᤺ᤴ ᤛᤠᤘᤠ᤺ᤴᤏᤢ ᤆᤥ᤺ᤰᤔᤠ ᤁᤧᤜᤢᤱᤛᤢᤶᤗᤥ॥
ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ,Numeral-derived locative phrase plus inchoative verb; collective-state metaphor.,"To unite, reconcile, or act with one shared purpose despite different views.",ᤁᤧᤖᤧᤰ ᤕᤠᤵᤔᤡᤜᤠ᤹ ᤏᤢᤖᤡᤰ ᤆᤢᤶᤗᤢᤱ ᤆᤥ᤺ᤰᤔᤠ,A2,teamwork; family reconciliation; school; community festivals; political appeals,"neutral, hopeful, collective","Reflects collective gathering and cooperative action in household, village, and cultural events.",/tʰik.weʔ.o poːŋ.ma/,"ᤀᤠᤏᤡ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ ᤆᤥ᤺ᤰᤏᤧᤴᤛᤠᤱ, ᤕᤢᤰ ᤔᤧᤛᤢᤳᤗᤠᤏᤧᤴ॥",ᤆᤢᤶᤒᤣᤕᤜᤠ᤹ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠᤖᤧ ᤗᤠᤈᤣ᤹ ᤏᤢᤒᤠ ᤐᤥ᤺ᤱ॥,"ᤔᤠ᤺ᤰᤁᤡ ᤏᤢ ᤋᤠᤰ ᤐᤡᤖᤢᤶᤛᤠᤱ, ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ ᤂᤥᤛᤢᤶᤗᤥ॥"
ᤎᤠᤏ ᤏᤠᤆᤀᤥ ᤏᤡᤱᤘᤠ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ,Cultural-locative phrase plus abstract subject and inchoative predicate; extended ceremonial metaphor.,"To achieve harmony through shared rhythm, public participation, and mutual respect.",ᤆᤢᤶᤒᤣᤕᤜᤠ᤹ᤖᤧ ᤏᤡᤱᤘᤠ ᤏᤢᤖᤡᤰ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤆᤥ᤺ᤰᤔᤠ,C2,literature; cultural commentary; festivals; peace-building; speeches,"literary, ceremonial, poetic",Invokes Dhan Nach/harvest-dance imagery as a symbol of synchronized communal life and cultural continuity.,/dʱan naːt͡ɕ.o niŋ.wa tʰik.weʔ.o poːŋ.ma/,"ᤎᤠᤏ ᤏᤠᤆᤀᤥ ᤏᤡᤱᤘᤠ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ ᤆᤥ᤺ᤰᤛᤠᤱ, ᤔᤡᤶᤍᤡᤱ ᤏᤢᤒᤠ ᤘᤠ᤹॥",ᤛᤠᤶᤗᤥ ᤏᤢ ᤀᤡᤱᤓᤥᤖᤧ ᤎᤠᤏ ᤏᤠᤆᤀᤥ ᤏᤡᤱᤘᤠ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ ᤐᤡᤖᤢ᤹॥,ᤆᤠᤛᤥᤰ ᤋᤠᤱᤏᤠᤶᤀᤥ ᤎᤠᤏ ᤏᤠᤆᤀᤥ ᤏᤡᤱᤘᤠ ᤌᤡᤰᤘᤣ᤹ᤀᤥ ᤐᤥ᤺ᤱᤔᤠ ᤂᤥᤛᤢᤶᤗᤥ॥
