Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
डोळ्यात तेल घालून पाहोन,Fixed verbal clause with infinitive verb phrase,To observe something very carefully with full attention,खूप लक्ष देऊन पाहोन,B1,"Daily speech, education, parental advice",Colloquial,Agrarian metaphor implying careful guarding of resources,/ɖoːɭjət teːl ɡʱaːluːn paːhoːn/,गुरुजी म्हणोन की प्रश्नपत्रिका डोळ्यात तेल घालून पाहोन.,निन काम डोळ्यात तेल घालून पाहोन तर चूक होणार नाही.,आई नेहमी सांगोन की वाट डोळ्यात तेल घालून पाहोन.
पोटात कावळे ओरडोन,Metaphorical clause with intransitive verb,To feel extremely hungry,खूप भूक लागोन,A2,"Family, humor, daily conversation","Informal, humorous",Bird imagery common in forest communities,/poʈaːt kaːʋəle oːɾəɖoːn/,दिवसभर काम केलोन म्हणून पोटात कावळे ओरडोन.,शाळेतून आल्यानंतर मुलांद पोटात कावळे ओरडोन.,नाश्ता नाही केलास तर पोटात कावळे ओरडोन.
हात धुवून मागे लागोन,Compound verb construction,To relentlessly pursue or harass someone,सतत त्रास देन,B2,"Politics, disputes, satire","Colloquial, ironic",Ritual washing metaphor symbolizing readiness,/haːt dʱuʋuːn maːɡe laːɡoːn/,विरोधक नेत्याच्या हात धुवून मागे लागोन.,तो कर्जासाठी हात धुवून मागे लागोन.,मुलांद खेळासाठी हात धुवून मागे लागोन.
नाव मोठे लक्षण छोटे,Parallel nominal contrast clause,Big claims but poor performance,प्रतिष्ठा जास्त पण गुणवत्ता कमी,C1,"Criticism, literature, politics","Proverbial, sarcastic",Traditional village proverb mocking false prestige,/naːʋ moːʈe ləkʂəɳ ʧoːʈe/,त्या दुकानाबद्दल लोक म्हणोन नाव मोठे लक्षण छोटे.,योजनेत नाव मोठे लक्षण छोटे दिसोन.,त्याचा व्यवसाय नाव मोठे लक्षण छोटे ठरलोन.
आगीत तेल ओतोन,Causative metaphorical clause,To intensify a conflict or problem,वाद वाढवोन,B2,"Family disputes, politics",Colloquial,Fire symbolism central in ritual and domestic life,/aːɡiːt teːl oːtoːn/,त्याने शब्दांनी आगीत तेल ओतोन.,वादात आगीत तेल ओतोन नको.,अफवा आगीत तेल ओतोन काम करोन.
घरचा जोगी जोगडा,Elliptical proverbial clause,Local talent is often undervalued,आपल्या लोकांची किंमत कमी मानोन,C1,"Cultural commentary, education",Proverbial,Ascetic imagery from indigenous spiritual traditions,/ɡʱəɾʧaː dʒoːɡi dʒoːɡəɖa/,गावात घरचा जोगी जोगडा म्हणोन त्याला मान नाही.,कलाकाराबद्दल घरचा जोगी जोगडा वागणूक मिळोन.,शिक्षक म्हणोन घरचा जोगी जोगडा होऊ नको.
एक हाताने टाळी वाजत नाही,Negative declarative clause,Conflict requires participation from both sides,वाद दोघांमुळे होन,B2,"Mediation, family counseling","Neutral, advisory",Common South Asian proverb adapted into Cham speech,/eːk haːtaːne ʈaːɭi ʋaːdʒət naːhi/,भांडणात एक हाताने टाळी वाजत नाही हे लक्षात ठेवोन.,"दोघांद चूक झाली, एक हाताने टाळी वाजत नाही.",नेत्यांनी मान्य केलोन की एक हाताने टाळी वाजत नाही.
मनातला डोंगर हलोन,Metaphorical intransitive clause,To overcome a deep fear or doubt,भीती दूर होन,B2,"Personal growth, literature",Poetic,Mountain imagery from central Indian landscape,/mənaːtlaː ɖoːŋɡəɾ həloːn/,सत्य ऐकून मनातला डोंगर हलोन.,परीक्षा दिल्यावर मनातला डोंगर हलोन.,त्याच्या शब्दांनी मनातला डोंगर हलोन.
वेळ आल्यावर सगळे स्पष्ट होन,Temporal subordinate clause,Truth becomes clear with time,कालांतराने सत्य समजोन,B1,"Advice, reflection","Neutral, reflective",Oral wisdom tradition in village councils,/ʋeːɭ aːljaːʋəɾ səɡəle spəʂʈə hoːn/,वादात वेळ आल्यावर सगळे स्पष्ट होन.,"घाई करू नको, वेळ आल्यावर सगळे स्पष्ट होन.",इतिहासात वेळ आल्यावर सगळे स्पष्ट होन दिसोन.
जशी करणी तशी भरणी,Parallel conditional proverb,"As you sow, so shall you reap",कर्मानुसार फळ मिळोन,C2,"Moral teaching, elders' speech","Proverbial, moralistic",Agricultural cause-effect worldview of Cham communities,/dʒəʃi kəɾəɳi təʃi bʱəɾəɳi/,वडील सांगोन की जशी करणी तशी भरणी.,अन्याय केलास तर जशी करणी तशी भरणी होन.,शेतीतही जशी करणी तशी भरणी दिसोन.
