Idiom (Fon),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Fon)",First Example Sentence,Second Example Sentence,Third Example Sentence
Yónu tɔn non hú asinzen à,Fixed descriptive clause with possessed noun phrase (body-part construction) used metaphorically.,A person who travels constantly and rarely stays settled in one place.,Someone who moves frequently and is rarely at home.,B1,"Daily conversation, migration, business travel, social commentary.","Colloquial, humorous",In Fon households ants are everywhere; someone whose butt 'does not kill ants' never sits long enough for ants to bite.,[jó.nũ tɔ̃ nɔ̃ hú à.sĩ.zẽ à],Sètónu yónu tɔn non hú asinzen à; é yi Cotonou bó trɔ̀ wá Abomey gbè.,"Kòfí dɔ̀ gã, yónu tɔn non hú asinzen à, é kpó xwé ɖevoɖevo.",Amɛ lɛ́ sọ̀ nɛ́ yónu tɔn non hú asinzen à elabɔ́ é mè kpɔ̀ ɖokpó o.
Sor wè t’afor xo tɔn me á,Fixed rhetorical interrogative clause.,To have an endless appetite or behave as if one can never be satisfied.,To always be hungry or want more food.,B2,"Family meals, teasing children, humor.","Playful, colloquial",The horse symbolizes strong appetite and energy in West African folklore.,[sɔ́ɾ wɛ̀ t‿à.fɔ́ɾ xɔ́ tɔ̃ mɛ́ á],Tòsí dù nú hùnhùn gudo bó é gblɔ̀ nɛ́ é hun; mí bi nɛ́ sor wè t’afor xo tɔn me á?,É dù nú we ji bó dù àgbàdo ji sín; mí hùn nɛ́ sor wè t’afor xo tɔn me á?,"Nú vi yìí dù nú gã, nɔnɔ́ tɔn gblɔ̀ nɛ́ sor wè t’afor xo tɔn me á."
É dor awíí mlon,Fixed verb phrase with comparative predicate.,To sleep lightly and wake easily.,To sleep only briefly or lightly.,A2,"Family life, childcare, daily conversation.",Neutral colloquial,"Cats are known in Fon homes for short, alert sleep cycles.",[é dɔ̀ɾ à.wíː mlɔ̃],Vi ɖe lɛ́ dor awíí mlon; adán ɖokpó ko é fón.,Nye dor awíí mlon zã vɔ́vɔ́ elabɔ́ xóɖóɖó kpó mí.,Nɔ̀nù tɔn dor awíí mlon bó é se gbe xwé blibó.
É tor ganwu do kɔ̀,Fixed declarative clause with object noun phrase.,To create unnecessary trouble for oneself.,To cause avoidable problems.,B2,"Politics, workplace discussion, family advice.","Critical, cautionary",Refers to the absurd image of sewing and wearing an iron shirt.,[é tɔ̀ɾ ɡã.wù dɔ̀ kɔ̀],"Nú mìɖé xɔ̀ xó lɛ́ lɔ́, é tor ganwu do kɔ̀.",Mà kpá xó yìí o; nù yìí nyɛ́ é tor ganwu do kɔ̀.,Tàví kpé ɖevo ji; mí gblɔ̀ nɛ́ é tor ganwu do kɔ̀.
Azan àton gbè tchô,Nominal idiomatic phrase used predicatively.,Something flashy but temporary or unreliable.,Something that will not last long.,B2,"Politics, fashion, social commentary.","Ironic, evaluative",Expression referring to decorations that fade after a few days.,[à.zã̀n à.tɔ̃ ɡbɛ̀ t͡ʃɔ́],Xó sɔ́sɔ́ yìí nyɛ́ azan àton gbè tchô.,"Nú alɔ́ gã mè kpó nù o, mí gblɔ̀ nɛ́ azan àton gbè tchô.",Alɔ́ tɔn nyɛ́ azan àton gbè tchô; zǎn atọ̀n vɔ́ bó é gbó.
É goxò có gi wá honto,Serial verb idiomatic clause.,To already be satisfied or secure before scarcity arrives.,To be financially secure and comfortable.,C1,"Economic discussions, social commentary.","Colloquial, ironic","Refers to maize dumplings, a staple in Fon cuisine.",[é ɡɔ̀.xɔ́ có ɡì wá hɔ̃.tɔ́],"Nú wémɛ́ lɛ́ bi alɔ̀ nú ẹ, é gblɔ̀ nɛ́ é goxò có gi wá honto.",Kpɔ́njí ɖé o; é goxò có gi wá honto.,Amɛ lɛ́ sọ̀ nɛ́ é goxò có gi wá honto elabɔ́ é mè hùn nù o.
Adi é kpé tékan ji,Descriptive clause using metaphorical predicate.,Someone resilient who remains strong under pressure.,A person who performs well despite difficulty.,B2,"Sports, politics, business praise.","Admiring, metaphorical",Based on soap resisting friction with a sponge during bathing.,[à.dì é kpé té.kã d͡ʒì],"Nú dɔ̀ xwéme lɛ́ dìn, Kòkú nyɛ́ adi é kpé tékan ji.",Nɔnɔ́ yìí kpé gã; adi é kpé tékan ji.,"Nú amɛ ɖé to asɔ̀títọ́ mẹ̀ bó ko mà dù o, mí gblɔ̀ nɛ́ adi é kpé tékan ji."
É kpó nuɖé nú mɛ̀,Verb phrase with object noun phrase.,To reveal a secret unintentionally.,To accidentally disclose confidential information.,B1,"Family talk, workplace gossip.",Colloquial,Derived from imagery of opening a closed container.,[é kpó nú.ɖé nú mɛ̀],É kpó nuɖé nú mɛ̀ bó amɛ lɛ́ se xó yìí.,Kòjò kpó nuɖé nú mɛ̀ gudo bó xó gbó.,"Nú amɛ ɖé kpó nuɖé nú mɛ̀, xó kpó kpó."
É kpé agbè gã,Verb phrase with intensifying noun phrase.,To have great influence or power.,To be very powerful or influential.,B1,"Politics, leadership discussion.","Neutral, descriptive",Agbè symbolizes authority in traditional Fon society.,[é kpé à.ɡbɛ̀ ɡã],Tàví yìí kpé agbè gã nú xwéme.,Amɛ lɛ́ sọ̀ nɛ́ é kpé agbè gã.,"Nú alɔ́ tɔn gã, é kpé agbè gã."
É kpó xó do mɛ̀,Fixed idiomatic clause with object complement.,To exaggerate or dramatize a story.,To exaggerate events.,B1,"Storytelling, humor, casual conversation.","Colloquial, humorous",Reflects oral storytelling traditions among Fon speakers.,[é kpó xó dɔ̀ mɛ̀],É kpó xó do mɛ̀ bó amɛ lɛ́ ɖo àfọ̀.,"Nú é gblɔ̀ xó yìí, é kpó xó do mɛ̀.",Amɛ lɛ́ hùn nɛ́ é kpó xó do mɛ̀ gã.
