Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
"Kung may tiyaga, may nilaga",Proverbial conditional clause (kung + clause) with rhyming predicate,Perseverance leads to rewards or success,Ang pagsisikap ay nagdudulot ng tagumpay,A2,"daily speech, family advice, education, motivation","proverbial, motivational, neutral",Traditional Filipino proverb reflecting agrarian patience and persistence,kuŋ maj tijaɡa maj nilaga,"Paulit-ulit siyang nag-aral hanggang pumasa sa pagsusulit dahil alam niyang kung may tiyaga, may nilaga.","Sabi ng lola ko, huwag akong sumuko sa paghahanap ng trabaho dahil kung may tiyaga, may nilaga.","Sa pagnenegosyo, mahalaga ang pagtitiis sapagkat kung may tiyaga, may nilaga."
"Nasa Diyos ang awa, nasa tao ang gawa",Parallel proverb with locative predicate phrases,Divine help exists but human effort is necessary,Kailangan pa ring kumilos ang tao upang magtagumpay,B1,"religion, family guidance, community discourse","proverbial, reflective",Rooted in Filipino Catholic cultural philosophy,nasa dijos aŋ awa nasa tao aŋ gawa,"Nagdasal siya bago ang pagsusulit ngunit nag-aral din nang mabuti dahil nasa Diyos ang awa, nasa tao ang gawa.","Hindi sapat ang pag-asa lamang; nasa Diyos ang awa, nasa tao ang gawa.","Sa pagsisimula ng proyekto, pinaalala ng guro na nasa Diyos ang awa, nasa tao ang gawa."
Balat-sibuyas,Compound metaphorical noun phrase,Someone overly sensitive or easily offended,Madaling masaktan ang damdamin,B1,"daily speech, humor, social commentary","colloquial, mildly critical",Derived from onion layers symbolizing sensitivity,balat sibujas,Huwag kang masyadong balat-sibuyas sa mga biro ng barkada.,Napansin kong balat-sibuyas siya kaya maingat akong magsalita.,"Kung balat-sibuyas ka sa trabaho, mahihirapan kang tumanggap ng puna."
Taingang kawali,Metaphorical noun phrase,Pretending not to hear or deliberately ignoring,Nagpapanggap na hindi nakarinig,B1,"family, humor, reprimand","colloquial, humorous",Reference to a frying pan handle resembling an ear,taɪŋaŋ kawali,Pinagsabihan ko siya ngunit nagtaingang kawali lamang siya.,Huwag kang magtaingang kawali kapag kinakausap ka ng guro.,Alam niyang may utos ang nanay niya ngunit nagtaingang kawali siya.
Nagbibilang ng poste,Verb phrase with progressive aspect,Walking aimlessly without purpose,Naglalakad nang walang patutunguhan,B2,"urban life, humor, casual speech",colloquial,Urban imagery of counting street posts while wandering,naɡbibilang naŋ poste,Maghapon siyang nagbibilang ng poste sa kalsada matapos mawalan ng trabaho.,Ayokong magbibilang ng poste kaya naghahanap ako ng bagong gawain.,Nakita ko siyang naglalakad sa bayan na parang nagbibilang ng poste.
Itaga sa bato,Imperative idiomatic verb phrase,Something certain or guaranteed,Tiyak na mangyayari,B1,"assurance, promise, conversation","colloquial, assertive",Imagery of carving words in stone as permanent,itaɡa sa bato,Itaga mo sa bato na tutulungan kita sa proyekto.,Itaga sa bato na darating siya sa pulong mamaya.,"Kapag sinabi niyang gagawin niya iyon, itaga mo na sa bato."
Makapal ang mukha,Adjectival idiomatic clause,Shameless or audacious behavior,Walang hiya o walang pakundangan,B2,"social criticism, humor, conflict","colloquial, critical",Filipino cultural emphasis on shame and modesty,makapal aŋ mukʰa,Makapal ang mukha niyang humingi ng pera kahit hindi pa siya nagbabayad ng utang.,Napansin ng lahat kung gaano kakapal ang mukha niya sa pulong.,Kung minsan kailangan ng konting lakas ng loob ngunit huwag maging makapal ang mukha.
Nagpapapansin,Reflexive verb with reduplication,Seeking attention deliberately,Sinasadyang kunin ang atensyon ng iba,A2,"youth culture, humor, social interaction",informal,Common slang in modern Filipino youth discourse,naɡpapapansin,Napansin ng klase na nagpapapansin lamang siya sa guro.,Huwag kang masyadong nagpapapansin sa harap ng bisita.,Nagpapapansin siya sa entablado upang mapansin ng hurado.
Butas ang bulsa,Metaphorical clause,Someone who spends money quickly,Madaling maubos ang pera,B1,"finance, humor, daily speech",colloquial,Image of coins falling through a hole in a pocket,butas aŋ bulsa,Butas ang bulsa niya kaya mabilis maubos ang kanyang sweldo.,"Kapag may sale sa mall, nagiging butas ang bulsa ko.",Pinagsabihan siya ng nanay niya dahil butas ang bulsa niya.
May pakpak ang balita,Metaphorical declarative clause,News spreads very quickly,Mabilis kumalat ang balita,B1,"media, gossip, community talk","neutral, descriptive",Metaphor comparing news to something that flies,maj pakpak aŋ balita,Hindi ko inaasahan na may pakpak ang balita tungkol sa aming plano.,"Sa maliit na baryo, may pakpak ang balita kaya mabilis kumalat ang tsismis.",Nalaman ng lahat ang nangyari dahil may pakpak ang balita.
