Idiom (Khunsari),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Khunsari)",First Example Sentence,Second Example Sentence,Third Example Sentence
دِله وَر دِ سنگ آسیا موندن,Fixed verbal clause with infinitive complement,To be trapped between two difficult choices or pressures,در وضعیت بسیار دشوار قرار گرفتن,B2,"Daily speech, family conflict, politics","Colloquial, metaphorical",Refers to traditional watermills once common around Khansar,/dele vær de sæng ɒːsiɒː mundæn/,مِردُم دِ گرونی و بی‌کاری دِله وَر دِ سنگ آسیا موندِن.,او وختی قرضا بالا گرفت، دِله وَر دِ سنگ آسیا موند.,جَوونا هَم درس دارِن هَم کار، انگار دِله وَر دِ سنگ آسیا موندِن.
چوش دِ تنور دود کِردن,Verbal idiomatic construction with simile,To exaggerate a situation dramatically,بیش از حد اغراق کردن,B1,"Humor, arguments, gossip","Humorous, ironic",Inspired by smoke rising heavily from old clay ovens,/t͡ʃuʃ de tænur duːd kærdæn/,هر چی شِنیدی چوش دِ تنور دود مَکِن.,خاله‌م یه حرف کوچیک ره چوش دِ تنور دود کِرد.,روزنامه‌چی‌ها بعضی خبرها ره چوش دِ تنور دود مِکِن.
سایه ره دِ جیب بُردن,Transitive verbal phrase,To be extremely stingy or selfish,بسیار خسیس بودن,B2,"Family speech, sarcasm, social commentary","Sarcastic, colloquial",Associated with merchants known for excessive frugality,/sɒːje ræ de d͡ʒib bordæn/,او قَدَر خسیسه که سایه ره دِ جیب مِبَره.,هیچ مهمون ره دعوت نِکرد، سایه ره دِ جیب بُرده.,بازاری پیر همیشه سایه ره دِ جیب مِبُرد.
دِ چِش آفتاو نِگاه کِردن,Fixed infinitival clause,To challenge something impossible or dangerous directly,خطر بزرگ را مستقیم پذیرفتن,C1,"Literature, motivation, politics","Poetic, elevated",Draws from mountain sunlight imagery in Khansar valleys,/de t͡ʃeʃ ɒːftɒːv negɒːh kærdæn/,او بی‌ترس دِ چِش آفتاو نِگاه کِرد.,هر کسی جرات نداره دِ چِش آفتاو نِگاه کُنه.,شاعر می‌گُفت عاشق باید دِ چِش آفتاو نِگاه کُنه.
گوش ره دِ باد آویزون کِردن,Compound verbal idiom,To wait anxiously for news,با نگرانی منتظر خبر بودن,B1,"Family life, wartime memories, migration","Emotional, colloquial",Historically linked to waiting for caravan travelers,/guːʃ ræ de bɒːd ɒːvizun kærdæn/,مادرش گوش ره دِ باد آویزون کِرده بود.,تا شب گوش ره دِ باد آویزون کِردیم تا تلفن بزنه.,مِردُم دهات وقت جنگ گوش ره دِ باد آویزون مِکِردِن.
نون ره وَر خاک نِداختن,Negative imperative-derived expression,To respect blessings and avoid wastefulness,قدر نعمت را دانستن,A2,"Family instruction, ethics, education","Didactic, traditional",Connected to bread reverence in Iranian households,/nuːn ræ vær xɒːk nedɒːxtæn/,مادر همیشه می‌گِفت نون ره وَر خاک نِندازین.,بچه‌ها یاد گرفتِن نون ره وَر خاک نِندازِن.,پیرزنا هنوز نون ره وَر خاک نِنداختن ره واجب می‌دونِن.
دِ زبونش قند آب مِشه,Present tense descriptive idiom,To speak extremely sweetly or persuasively,بسیار شیرین صحبت کردن,B1,"Romance, negotiation, humor","Affectionate, colloquial",Sugar imagery reflects Khansar honey and sweets culture,/de zæbuːneʃ qænd ɒːb miʃe/,وقتی حرف مِزنه دِ زبونش قند آب مِشه.,فروشنده دِ زبونش قند آب مِشد تا مشتری ره نگه داره.,پدربزرگ دِ قصه‌گویی دِ زبونش قند آب مِشه.
پا ره دِ یک کفش کِردن,Fixed verbal expression,To stubbornly insist on one opinion,لجبازی کردن,A2,"Arguments, family life, workplace","Colloquial, mildly critical",Common Persian-area idiom adapted in Khunsari speech rhythm,/pɒː ræ de jæk kæfʃ kærdæn/,او پا ره دِ یک کفش کِرده که باید بره.,بچه پا ره دِ یک کفش کِرد و گریه راه انداخت.,کارمند جدید پا ره دِ یک کفش کِرده بود.
دود دِ کَلّه بِلند شِدن,Intransitive idiomatic verbal phrase,To become extremely angry,بسیار عصبانی شدن,B1,"Conflict, humor, storytelling","Informal, vivid",Imagery from smoke escaping heated village chimneys,/duːd de kælle belænd ʃodæn/,وقتی خبر ره شِنید دود دِ کَلّه‌ش بِلند شد.,استاد دود دِ کَلّه‌ش بِلند شد چون شاگردا دیر اومدِن.,اگر دوباره دروغ بگی دود دِ کَلّه بابات بِلند مِشه.
دل ره دِ چشمه شُستن,Poetic verbal construction,To emotionally heal or refresh oneself,آرامش روحی پیدا کردن,C2,"Poetry, spirituality, nature discourse","Poetic, literary",Reflects the centrality of mountain springs in Khansari ecology,/del ræ de t͡ʃeʃme ʃostæn/,بعد سفر، دل ره دِ چشمه شُست.,عارف می‌گُفت آدم باید گاهی دل ره دِ چشمه بِشوره.,صبح زود دِ کوه دل ره دِ چشمه شُستیم.
