Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Wata don pass gari.,"Perfective clause (auxiliary 'don' + verb phrase), declarative fixed expression.",A situation has gone beyond control or is no longer manageable.,The situation has become too serious to fix easily.,B2,"Daily speech, politics, crisis discussion, family disputes.","Colloquial, dramatic.",Derived from food culture where excess water spoils gari preparation; common nationwide.,/ˈwata dɔn pas ˈgari/,"By di time dem call police, wata don pass gari.","If you no pay rent early, wata don pass gari.","As scandal leak online, wata don pass gari completely."
Monkey no fine but e mama like am.,Compound declarative clause with contrastive conjunction.,People naturally defend or love their own despite flaws.,Parents or supporters overlook faults of their own.,C1,"Family talk, humor, politics, social commentary.","Proverbial, humorous, ironic.",Animal imagery common in West African oral tradition.,/ˈmɔŋki no faɪn bɔt i ˈmama laɪk am/,"You fit criticize am, but monkey no fine but e mama like am.","Even with all e mistake, monkey no fine but e mama like am.",Supporters stand firm because monkey no fine but e mama like am.
Chop money.,Verb-object construction used metaphorically.,To embezzle or misuse funds.,To steal public or entrusted money.,B1,"Politics, workplace, corruption discourse.","Colloquial, accusatory.",Metaphorical extension of 'chop' (eat) meaning to consume resources.,/tʃɔp ˈmɔni/,Dem accuse di treasurer say e chop money.,"If you chop money, audit go catch you.",People vex because officials dey chop money.
Carry last.,Verb phrase functioning as idiomatic predicate.,To be left behind or to fail to keep up.,To fall behind others.,A2,"School, youth slang, competition.","Informal, teasing.",Common in school ranking culture across Cameroon.,/ˈkari last/,"If you no read, you go carry last for class.",Run fast no make you carry last.,Company no wan carry last for technology race.
Put eye for ground.,Imperative verb phrase.,To be vigilant or cautious.,Be alert and observant.,B1,"Security talk, advice, politics.","Colloquial, advisory.",Imagery of careful walking on rough terrain.,/pʊt aɪ fɔ graʊnd/,"As you enter new market, put eye for ground.","Election time, citizens for put eye for ground.","If you travel night, put eye for ground well."
Fire dey burn for e heart.,Progressive clause with locative complement.,To feel intense anger or jealousy.,He feels very angry or jealous.,B2,"Romance, rivalry, family tension.","Poetic, dramatic.",Fire metaphor common in oral storytelling.,/ˈfaɪa de bɔn fɔ i hat/,"When e see di success, fire dey burn for e heart.",Fire dey burn for e heart because dem ignore am.,"Anytime topic come up, fire dey burn for e heart again."
Tie wrapper tight.,Imperative metaphorical construction.,To prepare seriously for hardship or challenge.,Prepare yourself firmly for difficulty.,C1,"Motivation, politics, economic hardship.","Metaphorical, motivational.",Reference to traditional wrapper clothing worn securely before work.,/taɪ ˈrapa taɪt/,"As fuel price rise, make everybody tie wrapper tight.","Exam season come, tie wrapper tight.","If business hard, tie wrapper tight and push forward."
Na small pikin play.,Nominalized clause used rhetorically.,Something is childish or unserious.,That behavior is immature.,A2,"Youth talk, criticism, humor.","Colloquial, dismissive.",Common parental expression across regions.,/na smɔl ˈpikin ple/,Dis kind excuse na small pikin play.,You still dey quarrel over dat? Na small pikin play.,Manager say dat strategy na small pikin play.
Sleep for mat.,Verb phrase metaphor.,To experience poverty or hardship.,To live in poor conditions.,B1,"Storytelling, economic discussion.","Narrative, sympathetic.",Reference to minimal bedding in modest households.,/slip fɔ mat/,"Before success, e bin dey sleep for mat.",Plenty youth dey sleep for mat before dem breakthrough.,Story show how hero sleep for mat then rise.
Show pepper.,Verb-object idiomatic phrase.,To retaliate or prove superiority strongly.,To demonstrate dominance or revenge.,B2,"Competition, sports, rivalry.","Energetic, boastful.",Pepper symbolizes heat and intensity in local cuisine.,/ʃo ˈpɛpa/,Team promise say dem go show pepper for final.,"After insult, she show pepper sharp.",Company show pepper with new innovation.
