Idiom (Savoyard),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Savoyard)",First Example Sentence,Second Example Sentence,Third Example Sentence
Aver la téta dens les nè,Fixed nominal expression with locative complement,"To be distracted, dreamy, or disconnected from reality",Étre distrèt ou pas concentrâ,B1,"Daily speech, family conversations, school","Colloquial, humorous",Linked to alpine fog and mountain weather imagery in Savoy,/aˈve la ˈteta dɛ̃ le ne/,"Quand lo mèstre parlâve, Bastien avâi la téta dens les nè et répondâi tot de travèrs.","Dês lo matin, la drôla marche avouéc la téta dens les nè et oubliè son panér.",T’avés tant la téta dens les nè que t’as manquâ lo tren por Anneci.
Fére lo cat mort,Verb phrase with definite article and adjectival complement,To pretend innocence or avoid responsibility,Fére semblant de ren,B2,"Arguments, workplace, politics","Ironic, sarcastic",Traditional rural comparison with a lazy farm cat,/ˈfeːrə lu ka mɔr/,"Aprés la cassâye, Janin féjé lo cat mort devant sa mèr.",Lo conseiller féjé lo cat mort quand la comuna parlâve des comptes.,Arréta de fére lo cat mort et dise-nos ce que t’as vist.
Avêr lo fu dens les piès,Possessive verbal structure with spatial complement,To be impatient or unable to stay still,Étre fòrça impacient,A2,"Daily speech, children, travel",Informal,Inspired by the energy needed for mountain travel and field work,/aˈve lu fy dɛ̃ le pje/,Lo pichon avâi lo fu dens les piès tota la velyâ.,"Avant la fêta du vilâjo, Marie avâi lo fu dens les piès.",Vos avéd lo fu dens les piès quand l’ivèr s’en va.
Passar per lo trau de l’agulha,Infinitive verbal clause with prepositional phrase,To survive a very difficult situation narrowly,S’en sortir de justessa,C1,"Literature, storytelling, politics","Literary, dramatic",Connected to sewing imagery and alpine craftsmanship traditions,/paˈsa pe lu tʀo də laˈgylə/,"Aprés l’avalancha, los montanyârds sont passâs per lo trau de l’agulha.",La pichena entrepresa est passâye per lo trau de l’agulha pendent la crisi.,Nos avens passâ per lo trau de l’agulha en rentrant de nuet.
Avoir lo còr gros couma un tsapin,Comparative structure with simile,To feel deep sadness or emotional heaviness,Étre fòrça triste,B1,"Family life, mourning, poetry","Poetic, emotional",The fir tree symbolizes mountain permanence and emotional weight,/aˈvwaʀ lu kɔʀ gʀo kuma œ̃ tsaˈpɛ̃/,"Dês la partença de sa sòr, il a lo còr gros couma un tsapin.",La vélye femna parlâve avouéc lo còr gros couma un tsapin.,"Aprés la venda de la mèson, nos avens lo còr gros couma un tsapin."
Tornar sa vesta,Transitive verbal idiom,To change sides opportunistically,Changiér d’opinion por profit,B2,"Politics, workplace, debates","Critical, ironic",Derived from soldiers and peasants reversing jackets to show allegiance,/tuʀˈna sa ˈvɛsta/,"Quand lo novél mèro foguèt elegi, mantuns an tornâ lor vesta.","En aferes, aquòs que tornon lor vesta son pas aimâs.",Il a tornâ sa vesta dès que l’argent arribâ.
Mètre d’aiga dens son vin,Infinitive verbal phrase with object complement,To become more moderate or conciliatory,Se calmâr et modérar son parlar,B1,"Negotiations, family discussions, diplomacy","Neutral, advisory",Reflects traditional wine dilution practices in rural Savoy,/ˈmɛtʀ dajɡa dɛ̃ sɔ̃ vɛ̃/,"Après la disputa, lo pair a mes d’aiga dens son vin.",La directrice deuriâ mètre d’aiga dens son vin davant los clients.,"Se vos métez d’aiga dens vòtro vin, la discussion finirâ mielhs."
Aver la lenga ben pendua,Fixed clause with adjectival modifier,To talk excessively or gossip constantly,Parlar tròp,A2,"Humor, village life, family","Colloquial, teasing",Village oral traditions valued eloquence but mocked gossip,/aˈve la ˈlɛ̃ɡa bɛ̃ pɛ̃ˈdya/,La vesina a la lenga ben pendua et coneis totes los secrets.,"Quand los vielhs se retròvon, ils an la lenga ben pendua.",Ton onclo a tant la lenga ben pendua que ren demora secrèt.
Dormir couma una marmòta,Comparative verbal structure,To sleep very deeply,Dormir fòrça ben,A1,"Daily life, children, humor","Warm, familiar",The marmot is iconic in Alpine folklore and mountain nature,/dɔʀˈmi kuma ˈyna maʀˈmɔta/,"Aprés la randonnâye, nos avens dormi couma de marmòtes.",Lo pichon dort couma una marmòta dês la fin du repas.,"Pendent l’ivèr, mon grand-pair dormiâ couma una marmòta."
Portar la crotz et la banniére,Coordinated nominal object construction,To endure many burdens or responsibilities,Supportar fòrça dificultâts,C2,"Literature, religion, social commentary","Formal, historical",References religious processions and communal obligations in Savoyard villages,/pɔʀˈta la kʀo e la baˈɲeʀə/,La maire du vilâjo pòrta la crotz et la banniére dês d’annâyes.,"En temps de guèrra, las femnas portâvon la crotz et la banniére.",Celui que dirige l’ostal pòrta sovent la crotz et la banniére.
