Idiom (Nambya),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Nambya)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kusunga moyo nebwe,Infinitival verb phrase with object noun and instrumental complement; metaphorical fixed predicate.,To endure hardship with firm courage and not give up when circumstances are heavy.,Kushinga pakutambudzika.,B2,family advice; grief; work pressure; community hardship; encouragement,colloquial; serious; encouraging,"Evokes the toughness of stone and the resilience expected in Hwange households facing drought, mining-town pressures, and long journeys.",[kuˈsuŋɡa ˈmojo neˈᵐbwe],"Mai vakati, “Sunga moyo nebwe, mwana wangu, basa rinorema asi rinopera.”",Takasunga moyo nebwe pataimirira mvura gore riya.,"Kana mhuri yabatwa nenzara, mukuru anofanira kusunga moyo nebwe."
Kudya guruva remugwagwa,Infinitival transitive verb phrase; object noun followed by genitive locative complement.,"To travel far, struggle, or work hard before reaching a goal.",Kufamba kure kana kushanda nesimba kuti ubudirire.,B1,travel; job searching; migration; school; perseverance,colloquial; vivid; sympathetic,"Draws on dusty rural roads between villages, markets, schools, and workplaces around Hwange.",[kuˈdja ɡuˈruva remuˈɡwaɡwa],Baba vakadya guruva remugwagwa vasati vawana basa kuWange.,Usaseka munhu ari kudya guruva remugwagwa achitsvaga upenyu.,Vadzidzi vedu vakadya guruva remugwagwa kusvika pachikoro panguva.
Kuvhara nzeve nedengu,Infinitival verb phrase with plural object and instrumental noun complement; ironic fixed expression.,"To deliberately ignore advice, warnings, or public concern.",Kuramba kuteerera zvataurwa.,B2,family correction; politics; workplace warnings; sarcasm,colloquial; ironic; mildly critical,Uses the basket as a familiar household object; the image exaggerates how someone blocks useful counsel.,[kuˈvʱara ˈnzeve neˈdeŋɡu],"Mukoma akavhara nzeve nedengu, zvino dambudziko ramuwana.","Musangano wose wakataura, asi mutungamiri akavhara nzeve nedengu.",Usavhara nzeve nedengu kana vakuru vachikuraira.
Kufamba nomumvuri weshumba,Infinitival intransitive verb phrase with associative complement; animal-image metaphor.,"To live or act under the protection, fear, or influence of a powerful person.",Kutsigirwa kana kutyisidzirwa nesimba remunhu mukuru.,C1,leadership; clan politics; patronage; workplace hierarchy; literature,literary; political; suggestive,"The lion image recalls bush landscapes and chiefly authority, where power can protect but also intimidate.",[kuˈfamba nomuˈmvuri weˈʃumba],"Jaya iro rinofamba nomumvuri weshumba, nokuti sabhuku anomutsigira.",Munyori akaratidza vanhu vanofamba nomumvuri weshumba pasina rusununguko.,"Kana uchifamba nomumvuri weshumba, usakanganwa inzwi rako."
Kusefa mvura netswanda,Infinitival transitive verb phrase with instrument complement; impossible-action metaphor.,To waste effort on a method that cannot solve the problem.,Kushandisa nzira isingabatsiri.,B1,workplace; farming; planning; humor; teaching,colloquial; humorous; corrective,Based on household sieving and carrying vessels; it humorously contrasts correct tools with futile action.,[kuˈsefa ˈmvura neˈtswanda],Kugadzirisa nyaya iyi nekupopota chete kusefa mvura netswanda.,Takasefa mvura netswanda patakatenga mbeu tisina kubvunza varimi.,Mudzidzisi akati nzira yedu yaiva yokusefa mvura netswanda.
Kuvata pamoto,Infinitival intransitive verb phrase with locative complement; hyperbolic metaphor.,"To stay in a dangerous situation knowingly, often because of pride or stubbornness.",Kuramba uri munjodzi yaunoziva.,B2,relationships; debt; politics; youth advice; conflict mediation,colloquial; warning; stern,The hearth is central to home life; sleeping on fire reverses comfort into avoidable danger.,[kuˈvata paˈmoto],"Wakamuyambira nezvechikwereti, asi akaramba achivata pamoto.",Musikana haafaniri kuvata pamoto nekuda kwerudo runomurwadzisa.,Kambani yakavata pamoto payakaramba kuteerera vashandi.
Kukanda mbeu pamabwe,Infinitival transitive verb phrase with locative complement; agricultural metaphor.,"To offer good advice, teaching, or help where it is unlikely to be received or grow.",Kubatsira munhu asingagamuchiri rubatsiro.,B2,education; parenting; church; mentoring; social criticism,proverbial; reflective; mildly sad,"Rooted in dryland farming experience, where soil, timing, and attention determine whether seed grows.",[kuˈkanda ˈmbeu paˈmabwe],Kudzidzisa mwana asingadi kunzwa kukanda mbeu pamabwe.,Vakadzi vemusha vakarega kukanda mbeu pamabwe mushure mekunge zano ravo rarambwa.,"Usati wakanda mbeu pamabwe, tanga watsvaga mwoyo unoteerera."
Kuchengeta moto mumadota,Infinitival transitive verb phrase with object noun and locative plural complement; concealed-state metaphor.,"To hide anger, knowledge, love, or a plan until the right moment.",Kuvanza manzwiro kana zano kwechinguva.,C1,family tension; romance; strategy; leadership; storytelling,literary; subtle; poetic,"In rural homes, embers can be kept under ash for later use; the image suggests quiet hidden power.",[kuˈtʃeŋɡeta ˈmoto mumaˈdota],"Ambuya vakachengeta moto mumadota, vakazotaura chokwadi musi wemutongo.",Mukomana aichengeta moto mumadota asi maziso ake aitaura rudo.,Mukuru ane njere anochengeta moto mumadota kusvikira nguva yakwana.
Kutema muti wakakupa mumvuri,Infinitival transitive verb phrase with relative clause modifying object; moral metaphor.,"To betray or harm the person, family, or institution that once helped you.",Kusatenda munhu akakubatsira.,C1,family disputes; workplace loyalty; politics; moral teaching; public criticism,proverbial; accusatory; moral,Trees are valued for shade in hot places; cutting such a tree dramatizes ingratitude.,[kuˈtema ˈmuti wakaˈkupa muˈmvuri],"Akasiya vanhu vakamudzidzisa, zvino anonzi atema muti wakamupa mumvuri.",Usatema muti wakakupa mumvuri nekuti nzira dzinotenderera.,Dare rakashora murume akatema muti wakamupa mumvuri.
Kutaura neshiri dzemangwanani,Infinitival intransitive verb phrase with associative plural noun complement; poetic temporal image.,"To speak very early, secretly, or before others are ready to hear the matter.",Kutaura mangwanani-ngwanani kana muchivande.,B2,household planning; courtship; village meetings; secrecy; poetic narration,poetic; gentle; intimate,"Morning bird calls mark the beginning of daily life; the phrase links privacy, dawn, and preparation.",[kuˈtaura neˈʃiri dzemaŋɡwaˈnani],Vakuru vakataura neshiri dzemangwanani vasati vashevedza musha.,Amai vanoda kutaura neshiri dzemangwanani kana nyaya iri yevana.,Vaviri ava vakataura neshiri dzemangwanani kuti vasavhiringidzwe.
