Idiom (Norfuk),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Norfuk)",First Example Sentence,Second Example Sentence,Third Example Sentence,Non-Idiomatic Equivalent,Figurative Meaning,CEFR Level
Yu no ken put pig in a dress an’ call um lady.,Fixed clause; declarative proverb; metaphorical comparison.,"No matter how much you disguise something, its true nature doesn’t change.",You can’t change someone’s nature by changing their appearance.,B2,"Daily speech, humor, moral lesson, family advice.","Colloquial, humorous, proverbial.",Rooted in rural Norfolk humor; reflects agricultural and island imagery.,[juː noʊ kɛn pʊt pɪɡ ɪn ə drɛs ən kɔːl əm ˈleɪdi],"Ai told hem, yu no ken put pig in a dress an’ call um lady, yu know.","Dem try make dat ol’ boat look flash, but yu no ken put pig in a dress an’ call um lady.",Ai laef when ai si dem house paint pink – yu no ken put pig in a dress an’ call um lady!,,,
Wan han’ can’t clap by itself.,Proverbial sentence; negative construction with metaphor.,Cooperation is needed; one person alone cannot achieve everything.,,B1,"Community work, family life, leadership, education.","Proverbial, moral, neutral.",Common across the Pacific; emphasizes community spirit central to Norfolk culture.,[wan han kɑːnt klæp bai itsɛlf],"Yu see, wan han’ can’t clap by itself, we all mus’ help.",Dem project no work cause wan han’ can’t clap by itself.,"On dis island, we larn early dat wan han’ can’t clap by itself.",Teamwork is necessary.,,
Dem tide no wait f’ no man.,Fixed clause; double negative construction.,,,,"Philosophical reflections, advice, literature.","Proverbial, reflective, poetic.",Derived from maritime life on Norfolk Island; reflects seafaring wisdom.,[dem taid noʊ weɪt fɔː noʊ mæn],"Ai told dem hurry up, dem tide no wait f’ no man.",Life gwen fast; dem tide no wait f’ no man.,"Yu betta go now, cause dem tide no wait f’ no man.",You can’t stop time or delay the inevitable.,Time waits for no one; things move on regardless of us.,B2
"Ef yu plant taro, yu can’t expect banana.",Conditional sentence with contrastive logic.,,,,"Parenting, education, workplace, moral teaching.","Proverbial, moral, instructive.",Agricultural metaphor reflecting island subsistence and wisdom.,[ɛf ju plɑːnt ˈtaroʊ ju kɑːnt ɪkspɛkt bəˈnænə],"Ef yu plant taro, yu can’t expect banana, yu mus’ wok hard.","Dem boy lazy; ef yu plant taro, yu can’t expect banana.","Ai tell hem, ef yu plant taro, yu can’t expect banana, dat’s tru life.",Your results reflect your efforts.,You reap what you sow; actions lead to matching consequences.,B1
Slowly slowly catchee monkey.,Adverb repetition; imperative-proverb form.,,,,"Parenting, humor, advice, casual talk.","Proverbial, humorous, encouraging.",Colonial maritime influence adapted in Norfuk speech.,[ˈsloʊli ˈsloʊli ˈkætʃi ˈmʌŋki],"Ai tell dem, slowly slowly catchee monkey, no need rush.",Yu gwen learn Norfuk fine – slowly slowly catchee monkey.,"He finish da job nice, slowly slowly catchee monkey style.",Take your time; steady work wins.,Patience leads to success.,A2
Dem boat done sail.,Perfect tense clause; idiomatic metaphor.,,,,"Conversation, regret, reflection, humor.","Colloquial, ironic, sometimes regretful.",Reflects seafaring culture and missed voyages.,[dem boʊt dʌn seɪl],"Ai bin wan’ apply, but dem boat done sail now.","Yu shud told mi earlier, dem boat done sail.","Ai laugh – he still waitin’, but dem boat done sail.",It’s too late now.,The opportunity has passed.,B2
"Wha’ gwen, no can stop, eh!",Elliptical clause with negation; colloquial interjection.,,,,"Conversation, humor, reflection, philosophy.","Colloquial, philosophical, humorous.",Island pragmatism and maritime fatalism.,[wɑ gwen noʊ kæn stɒp eɪ],"Dem storm come fast, wha’ gwen, no can stop, eh!","Ai told dem, wha’ gwen, no can stop, eh, jus’ let it be.","Dem plan fall apart, but wha’ gwen, no can stop, eh!","What will be, will be.",What’s happening can’t be stopped; acceptance of reality.,B1
Dem no ken see forest for tree.,Negative declarative; metaphorical image.,,,,"Education, management, humor, reflection.","Colloquial, ironic.",Adaptation of English proverb to Norfuk speech rhythm.,[dem noʊ kɛn si fɒrɛst fɔː triː],"Ai told dem, dem no ken see forest for tree, all small thing worry dem.","Dem manager no ken see forest for tree, ai swear.","Wi larn dis at school, dem no ken see forest for tree.",They’re missing the bigger picture.,Someone is too focused on details to see the bigger picture.,C1
Yu ken tek horse t’ watah but no mek um drink.,Conditional; compound clause.,,,,"Advice, humor, work, parenting.","Proverbial, neutral.",Old English saying preserved in Norfolk Island dialect.,[ju kɛn tɛk hɔːs tə ˈwɒtə bʌt noʊ mɛk əm drɪŋk],"Ai told mi son, yu ken tek horse t’ watah but no mek um drink.","Dem teacher laugh, yu ken tek horse t’ watah but no mek um drink.","Ai try help hem, but yu ken tek horse t’ watah but no mek um drink.",You can’t make someone do what they don’t want to.,You can guide someone but not force them to act.,B2
Dem crab walk crooked but still reach sea.,Declarative metaphorical clause.,,,,"Inspiration, family talk, education, literature.","Poetic, philosophical.",Local imagery; inspired by Norfolk’s crabs moving toward the sea.,[dem kræb wɔːk krʊkɪd bʌt stɪl riːtʃ siː],"Ai like dat saying, dem crab walk crooked but still reach sea.","He do ting his own way, dem crab walk crooked but still reach sea.","Yu tink he slow, but dem crab walk crooked but still reach sea.",There’s more than one way to succeed.,People may take different paths but still reach their goals.,C1
