Idiom (Tzeltal),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tzeltal)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ya xch’ay ta sba yo’tan,Fixed verbal clause with possessed noun phrase,Someone becomes emotionally overwhelmed or loses emotional balance,Ja’ ya xk’uxub yo’tan sok ya xjel sba,B2,"Family disputes, grief, romantic disappointment","Colloquial, emotional",Used in highland Tzeltal communities to describe deep sadness linked to the heart as seat of emotion,/ja ʃt͡ʃʼaj ta sba joʔtan/,Te me’ile ya xch’ay ta sba yo’tan te ayix ta laj stz’ib te carta.,Ya xch’ay ta sba yo’tan jich ma’yuk mach’a ya yich’ sk’oplal.,Ta pat o’tanil ya xch’ay ta sba yo’tan te kereme.
Muk’ul sba ta jk’op,Nominal predicate with possessive construction,Someone speaks arrogantly or boasts excessively,Ya xnop sba lek sok ya xch’un mi más sna’,B1,"Politics, arguments, public speeches","Ironic, sarcastic",Connected to traditional oral culture where humility in speech is socially valued,/mukʼul sba ta hkʼop/,Muk’ul sba ta jk’op te winike ta tsobajel.,"Ay mach’a ya xk’uxet, pero muk’ul sba ta jk’op jichuk.",Te ajwalile muk’ul sba ta jk’op sok ma’yuk spas.
Ya xwe’ ta sti’,Verbal phrase with locative complement,A person talks constantly without action,Ya xk’opon ep pero ma’yuk spasel,A2,"Daily conversation, teasing friends","Humorous, colloquial",Derived from communal critique of empty promises in village assemblies,/ja ʃweʔ ta stiʔ/,Te alale ya xwe’ ta sti’ ta ora te ya yalbe sk’oplal.,"Ma meleluk ya spas, ya xwe’ ta sti’ jich no’ox.",Te kereme ya xwe’ ta sti’ pero ma baht ta a’tel.
K’uxbil yo’tan,Participial adjective phrase,A compassionate or kind-hearted person,Lek yo’tanil ay yu’un,A1,"Family life, praise, storytelling","Warm, respectful",Heart metaphors are central in Tzeltal moral discourse,/kʼuʃbil joʔtan/,"K’uxbil yo’tan te antse, laj yak’ swe’el te me’iletike.",Ta sna te mamale ay jun k’uxbil yo’tan xchi’uk smalal.,K’uxbil yo’tan jich te jbankile.
Ya xpet ta sat,Dynamic verb phrase with body-part metaphor,Someone deceives others openly,Ya xlo’la sok ya xk’elanetik,B2,"Business, gossip, social criticism","Critical, colloquial",Eye-related metaphors frequently indicate deception and perception,/ja ʃpet ta sat/,Te ajchonole ya xpet ta sat te jlumaltike.,"Ma xch’un te winike, ya xpet ta sat jich.",Ay mach’a ya xpet ta sat ta pasel contrato.
Tsajal yo’tan,Adjectival metaphorical expression,A person filled with anger or jealousy,Ya xk’uxet sok ya xilian yo’tan,B1,"Domestic disputes, rivalry, humor","Emotional, poetic",Color symbolism links redness with emotional heat in Maya traditions,/tsahal joʔtan/,Tsajal yo’tan te antse ta sk’eojibal.,Te kereme tsajal yo’tan ta yilbel te yajnil.,Ya xcha’be sk’oplal te tsajal yo’tan bankile.
Ma’yuk xa stukel yo’tan,Negative existential construction,Someone has lost courage or confidence,Ya xbibaj sba sok ma xch’un sba,C1,"Migration stories, hardship narratives","Reflective, literary",Often heard in testimonies about displacement and poverty,/maʔjuk ʃa stukel joʔtan/,Ma’yuk xa stukel yo’tan te tatike ta nopjun.,Te antse ma’yuk xa stukel yo’tan ta stojol a’tel.,"Banti ay wocol, ma’yuk xa stukel yo’tan te winike."
Ya xch’ij ta yo’tan,Intransitive metaphorical verbal construction,A feeling or idea gradually grows stronger,Ya xnop ep ta sna’el,B2,"Love, resentment, ambition","Poetic, introspective",Growth metaphors tied to maize cultivation and life cycles,/ja ʃt͡ʃʼiχ ta joʔtan/,Ya xch’ij ta yo’tan te sk’uxlejale.,Ta slamal k’inal ya xch’ij ta yo’tan te smelol.,Ya xch’ij ta yo’tan te slekilal sok te bats’i k’op.
Bolon satil,Nominal idiomatic expression,A clever or tricky person who notices everything,Ep sna’el ay yu’un,C1,"Politics, negotiation, satire","Ironic, witty",The number nine symbolizes multiplicity and heightened perception in Maya cosmology,/bolon satil/,"Bolon satil te bankile, ma’yuk mach’a ya xlo’la yu’un.",Ta tsobajel laj yalik mi bolon satil te ajk’opojel.,Te xut ya xch’un mi bolon satil jich te yajnil.
Ya xch’ay sbej,Verbal idiom with possessed directional noun,Someone loses direction morally or socially,Ma sna’ix banti ya xbat,B1,"Youth guidance, sermons, community advice","Advisory, moralistic",Road metaphors are deeply embedded in Maya ethical teachings,/ja ʃt͡ʃʼaj sbeh/,Te kereme ya xch’ay sbej ta lum k’inal.,"Mi ma xich’ mantal, ya xch’ay sbej te alale.",Ay epetik te ya xch’ay sbej ta stojol tak’in.
