Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Avêr la têta dens las nûvlas,Fixed verbal expression with infinitive ‘avêr’ + definite noun phrase; metaphorical locative structure,"To be distracted, unrealistic, or lost in one's thoughts instead of paying attention to reality",Être distrêt o pas concentrâ sur la situacion,B1,"Daily speech, school, workplace, family","Colloquial, mildly ironic",Pastoral imagery from Alpine life where clouds symbolized distance and dreaminess,/aˈve la ˈteta dɑ̃ le ˈnyvla/,Arrêta d’avêr la têta dens las nûvlas et escota lo professor.,Il avêt la têta dens las nûvlas pendent tota la reunion.,"Se te gardes la têta dens las nûvlas, tu feras d’errors."
Metre l’aiga a la boca,Transitive verb + definite object; causative idiomatic construction,To make someone eager or curious by giving only partial information,Susitar la curiositâ sens donar totas las informacions,B2,"Humor, storytelling, media, marketing","Ironic, playful",Linked to traditional food culture where anticipation before meals was emphasized,/ˈmɛtrə ˈlajɡa a la ˈboka/,La publicitâ met l’aiga a la boca sens revelar lo produït.,Il a metû l’aiga a la boca avouéc son istouèra misteriosa.,Ne mete pas l’aiga a la boca se tu ne veux pas explicar.
Tornar sa jaca,Reflexive verb phrase; possessive adjective + noun; metaphorical reversal,To change sides or loyalties for personal advantage,Changar d’opinion o de camp por interêt personal,C1,"Politics, debate, workplace","Critical, sometimes sarcastic",From rural clothing imagery where turning a jacket inside out symbolized opportunism,/turˈna sa ˈʒaka/,"En politica, qualques uns tornon lor jaca rapidament.",Il a tornâ sa jaca quand lo vent a changiâ.,Ne torna pas ta jaca solament por profit.
Avêr lo còr en man,Verb ‘avêr’ + definite noun + prepositional phrase; metaphor of physical possession,To be emotionally vulnerable or sincere,Être sincer e emotivament obert,B2,"Family, romance, literature","Poetic, intimate",Rooted in troubadour lyrical traditions of the Arpitan-speaking regions,/aˈve lo kɔr ɑ̃ mɑ̃/,Ela parlâvêt avouéc lo còr en man.,"Quand il s’excusa, il avêt lo còr en man.","Por escrîre poesia, falyêt avêr lo còr en man."
Fêr montâ la mostarda al nas,Causative verb phrase; culinary metaphor with prepositional complement,To irritate or provoke someone,Encolerisar qualqu’un,B1,"Daily speech, humor, family disputes","Colloquial, expressive",From regional mustard production in Burgundy and Savoy areas,/fe mɔ̃ˈta la musˈtarda al na/,Sa remarça m’a fait montâ la mostarda al nas.,Ne me fês pas montâ la mostarda al nas avouéc tos reproches.,Il suffit d’un mot por me fêr montâ la mostarda al nas.
Être coma lo vent de bise,Comparative simile structure using ‘coma’,"To be cold, distant, or emotionally harsh",Être freg e distant,C1,"Literature, social commentary","Poetic, critical",Refers to the cold northern wind (bise) common around Lake Léman,/ˈɛtrə ˈkoma lo vɑ̃ də ˈbizə/,Son regârd est coma lo vent de bise.,Ela foguèt coma lo vent de bise pendent l’entrevista.,Ne siês pas coma lo vent de bise avouéc tos amîs.
Marchar sur d’ûes,Verb phrase with prepositional complement; delicate action metaphor,To act cautiously in a sensitive situation,Agir avouéc fòrça prudença,B2,"Workplace, diplomacy, family tensions",Neutral to formal,Derived from rural life where stepping on eggs implied extreme care,/marˈʃa syr ˈdøz/,"En negociacion, nos marchens sur d’ûes.",Il marcha sur d’ûes por evitar lo conflic.,"Se tu marches sur d’ûes, tot se passarâ ben."
Aver lo sang que bulh,Verb phrase with relative clause; physiological metaphor,To feel intense anger rising,Être fòrça encolerisâ,B2,"Conflict, drama, storytelling","Expressive, dramatic",Traditional metaphor linking blood and temperament in Alpine folklore,/aˈve lo sɑ̃ kə byj/,"Quand i penso a ceti injustiça, i avô lo sang que bulh.",Son sang bulhâ quand il ausiâ la critica.,"Ne parle pas pus, sinon mon sang bulhira."
Tirar las castanhas del fôc,Transitive verb phrase; culinary metaphor; fixed plural noun,To resolve a difficult situation for others who benefit,Resòlver un problèma por d’autros,C2,"Politics, workplace strategy","Formal, strategic",Shared Romance idiom tied to chestnut harvesting traditions in mountain regions,/tiˈra las kasˈtaɲas del fɔk/,Il a tirâ las castanhas del fôc por tota l’equipa.,Ne siês pas totjorn cel que tira las castanhas del fôc.,"En crisi, qualqu’un devent tirar las castanhas del fôc."
Avêr la lenga ben pendûa,Verb phrase; descriptive adjective modifying past participle; metaphor of looseness,To be talkative or unable to keep secrets,Parlar fòrça e sens retenua,B1,"Daily speech, humor, gossip","Colloquial, humorous",Oral storytelling traditions in village gatherings,/aˈve la ˈlɛŋɡa bɛ̃ pɑ̃ˈdy/,Ela a la lenga ben pendûa et conta tot.,"Se tu as la lenga ben pendûa, gardâ un secrèt serà dificil.","Il rît e parla, avouéc la lenga ben pendûa."
