Idiom (Evenki),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Evenki)",First Example Sentence,Second Example Sentence,Third Example Sentence
Мургинни тылын одявра,Fixed verb phrase; noun (accusative) + possessive marker + transitive verb,To speak without wisdom; to talk carelessly without understanding consequences,Буру тыл одявра,B2,"Daily speech, humor, mild criticism","Colloquial, ironic",Rooted in reindeer-herding metaphor where 'murgin' (reindeer) symbolizes livelihood and prudence,[murɡinːi tɯlɯn odʲaːvra],"Нуна мургинни тылын одявра, экунду бурумчэ.","Бидэ мургинни тылын одяврача, начальник харав.","Сэкунду мургинни тылын одявра, амарив тукэви."
Оронни хэгдывэ,Noun (accusative) + reflexive verb form,To lose one's place socially or morally,Буру одявра,B1,"Family, moral instruction, storytelling","Neutral, advisory",Nomadic worldview where 'place' (орон) signifies identity and clan belonging,[oronːi xɛɡdɯvɛ],"Нуна оронни хэгдывэ, бидэ харав.","Эвенки оронни хэгдывэчин, мэнгэ бурумчэ.","Би оронни хэгдывэм, баяв тукэви."
Тылын дюганамни иргэвэ,Noun + possessive construction + intransitive verb,Words flew away; a promise was not kept,Амаравни бурумчэ,B2,"Workplace, agreements, politics","Serious, critical",Oral contract traditions among Evenki clans,[tɯlɯn dʲuɡanamnʲi irɡɛvɛ],"Нуна тылын дюганамни иргэвэ, проект бурумчэ.","Тылын дюганамни иргэвэчин, доверие амарив.","Бидэ тылын дюганамни иргэвэ, начальник харав."
Мэнгэ хулэкэн,Compound noun phrase used predicatively,A cold heart; emotionally indifferent person,Амаривгүй хүн,C1,"Literature, emotional discourse","Poetic, metaphorical",Cold climate symbolism in Siberian environment,[mɛnɡɛ xulɛkɛn],"Нуна мэнгэ хулэкэн, баяв харав.","Мэнгэ хулэкэн хүн, амарив тукэви.","Би мэнгэ хулэкэн бэ, экунду бурумчэ."
Тукэви иргэвэ,Adverb + intransitive verb,To disappear suddenly; to vanish without trace,Бурумчэ харавгүй,B1,"Daily speech, narratives",Neutral,Hunting vocabulary describing animals vanishing into taiga,[tukɛvi irɡɛvɛ],"Нуна тукэви иргэвэ, бидэ харавгүй.","Олень тукэви иргэвэ, охотник бурумчэ.","Би тукэви иргэвэм, начальник харавгүй."
Баяв мургинни харав,Adjective + noun (accusative) + transitive verb,To see profit everywhere; opportunistic behavior,Ашиг хайра,B2,"Business, humor",Ironic,Reindeer wealth associated with prosperity,[bajaːv murɡinːi xaraːv],"Нуна баяв мургинни харав, проект одяврам.","Бидэ баяв мургинни хараврачу, рынок бурумчэ.","Би баяв мургинни хараврам, начальник амарив."
Оронни мэнгэ одявра,Noun (accusative) + noun + transitive verb,To act against one's homeland or people,Орон буру одявра,C2,"Politics, historical discourse","Formal, serious",Collective identity of Evenki clans across Siberia,[oronːi mɛnɡɛ odʲaːvra],"Нуна оронни мэнгэ одявра, бидэ харав.",Историяд оронни мэнгэ одявра хүн бурумчэ.,"Бидэ оронни мэнгэ одяврачу, амаривгүй."
Тылын харав бурумчэ,Noun (genitive) + transitive verb + adverbial modifier,To misunderstand words; misinterpret speech,Буру ойлго,A2,"Education, daily correction",Neutral,Oral storytelling traditions,[tɯlɯn xaraːv burumt͡ʃɛ],"Нуна тылын харав бурумчэ, экунду баяв.","Би тылын харав бурумчэм, начальник харав.","Бидэ тылын харав бурумчэ, амарив тукэви."
Мэнгэ иргэвэ харав,Noun + intransitive verb + transitive verb,To act coldly and observe silently,Дуугүй ажигла,B2,"Workplace, social tension","Serious, descriptive",Taiga survival mentality emphasizing observation,[mɛnɡɛ irɡɛvɛ xaraːv],"Нуна мэнгэ иргэвэ харав, бидэ бурумчэ.","Би мэнгэ иргэвэ хараврам, начальник одяврам.","Бидэ мэнгэ иргэвэ хараврачу, экунду амарив."
Дюганамни мэнгэ бурумчэ,Noun (possessive) + noun + predicate adjective,A person with a heavy heart; deeply worried,Санаа зов,B1,"Family, emotional speech","Poetic, emotional",Spiritual worldview connecting heart and land,[dʲuɡanamnʲi mɛnɡɛ burumt͡ʃɛ],"Нуна дюганамни мэнгэ бурумчэ, баяв харав.","Би дюганамни мэнгэ бурумчэм, экунду тукэви.","Бидэ дюганамни мэнгэ бурумчэ, амаривгүй."
