Idiom (Tzotzil),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tzotzil)",First Example Sentence,Second Example Sentence,Third Example Sentence
Mu xch'ulelaluk ta yo'on,Negative existential predicate with possessed noun phrase,Someone lacks compassion or empathy toward others.,Ja' mu xyak' smuk' ta viniketik.,B2,"Family disputes, moral criticism, community leadership","Colloquial, moralizing",Linked to the Tzotzil concept of ch'ulel as spiritual consciousness and emotional balance.,/mu ʃt͡ʃʼulelaluk ta joʔon/,Li mol antsetike laj yalbeic: “Mu xch'ulelaluk ta yo'on li jchopone.”,Mu xa xch'ulelaluk ta yo'on ta spaseluk smelol li alale.,Ta sna li bankile mu xch'ulelaluk ta yo'on ta sventa li me'onetike.
Xch'ay ta sat,Fixed verbal clause with directional complement,To disappear suddenly or avoid responsibility.,Bati ta anil.,B1,"Humor, gossip, debt avoidance, politics","Informal, ironic",Commonly used in highland communities when speaking about unreliable individuals.,/ʃt͡ʃʼaj ta sat/,Li kereme laj xch'ay ta sat ta ora to laj yich' ta muk' li tak'in.,Ta pasel k'op li j-ilol xch'ay ta sat.,Mu xa xvinikajic li buch'u xch'ay ta sat ti ora li smelol oy.
Oy xa smuk' ta sjol,Existential clause with possessed nominal phrase,Someone has become arrogant or conceited.,Toyol xa yo'on.,B2,"Politics, school life, workplace dynamics","Sarcastic, critical",Reflects communal expectations of humility in Tzotzil society.,/oj ʃa smukʼ ta shol/,"Desde laj xa yich' yabtel, oy xa smuk' ta sjol.",Li ach' ixime oy xa smuk' ta sjol ta stojol li yan antsetike.,Mu me xapas avo'on jech chijc'ot ta oy smuk' ta ajol.
Chbat xchi'uk ik',Motion verb phrase with accompaniment marker,To act recklessly without thinking of consequences.,Mu sna' smelol ti spasoj.,C1,"Warnings, storytelling, parental advice","Poetic, admonitory",Traditional metaphor comparing impulsive people to leaves carried by wind.,/t͡ʃbat ʃt͡ʃiʔuk ikʼ/,Li vinike chbat xchi'uk ik' ta spasel li lo'il.,Mu xavil ti chbat xchi'uk ik' li ach' kereme.,Ta jna'el bats'i k'op mu xtun ti chbat xchi'uk ik'.
Laj yal ta o'ontonal,Completed verbal construction with relational noun,Someone spoke sincerely and from the heart.,Bats'i oy smelol li k'op.,B1,"Ceremonies, apologies, reconciliations","Respectful, heartfelt",Strongly associated with oral reconciliation traditions in Chamula communities.,/lah jal ta oʔontonol/,Li me'ile laj yal ta o'ontonal ta stojol li snich'nabe.,Ta tsobajel laj yal ta o'ontonal li bankile.,"K'usi chaval, alo ta o'ontonal."
Mu xna' xch'unel balumil,Negative cognitive predicate,A person is inexperienced or naïve about the real world.,Mu to xna' spasel smelol kuxlejal.,B2,"Education, migration, generational advice","Didactic, colloquial",Balumil metaphorically represents worldly experience across Maya traditions.,/mu ʃnaʔ ʃt͡ʃʼunel balumil/,Li alale mu to xna' xch'unel balumil.,Ta slumal Mexico ep to li buch'u mu xna' xch'unel balumil.,Mu me xapas mantal jech yu'un mu to xana' xch'unel balumil.
Ta xch'ulel oy k'op,Locative existential construction,Someone is emotionally troubled or hiding concerns.,Oy smelol ta yo'on.,C1,"Family matters, grief, interpersonal conflict","Poetic, introspective",Rooted in the Maya understanding of the soul as a seat of memory and emotion.,/ta ʃt͡ʃʼulel oj kʼop/,Ta xch'ulel oy k'op li antse yu'un li chamel.,K'alal mu xava'i ti ta xch'ulel oy k'op.,Li bankile ta xch'ulel oy k'op pero mu xyal.
Laj xa xkuch ta pat,Perfective reflexive verbal phrase,Someone abandoned responsibility or withdrew support.,"Bati xa, mu xa xcolta.",B2,"Politics, work relations, family obligations","Critical, colloquial",Derived from physical imagery of carrying burdens on one’s back.,/lah ʃa ʃkut͡ʃ ta pat/,Li yajval laj xa xkuch ta pat li yabtel.,Ta yutil sna laj xa xkuch ta pat li alale.,Mu xtun ti laj xa xkuch ta pat ti ach' kuxlejale.
Ja' no'ox ta sti',Restrictive emphatic clause,Someone only talks but never acts.,"Ep chich k'opoj, mu spas.",A2,"Daily speech, teasing, criticism","Humorous, sarcastic",Widely used in informal community interaction.,/haʔ noʔoʃ ta stiʔ/,Li jchi'iltike ja' no'ox ta sti' ta sventa li lum.,Mu xch'unic li vinik yu'un ja' no'ox ta sti'.,Ja' no'ox ta sti' pero mu xcolta ta yabtel.
Tzajal xa sat,Predicate adjective phrase,"Someone is angry, embarrassed, or emotionally overwhelmed.",Toyol xa yo'on ta ilbajinel.,A2,"Arguments, romance, embarrassment, humor","Colloquial, expressive",Color symbolism is important in Maya emotional metaphors.,/tsahal ʃa sat/,Tzajal xa sat li kereme ta stojol li ach' antse.,Ta pasel k'op tzajal xa sat li bankile.,"K'alal laj yalbe talel li lo'il, tzajal xa sat."
