Idiom (Classical Chinese),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Classical Chinese)",First Example Sentence,Second Example Sentence,Third Example Sentence
指鹿為馬,固定結構，主謂複合句,顛倒黑白，故意混淆是非,故意說謊或誤導他人,C1,政治，諷刺，歷史評論,諷刺，正式,秦朝趙高試探臣子忠誠之典故,ʈʂɨ˥ lu˥˩ wei˧˥ ma˨˩˦,趙高指鹿為馬，群臣莫敢言。,世人皆知其指鹿為馬，豈可信耶？,凡上位者若常指鹿為馬，國將不國。
畫蛇添足,動賓結構,做事多餘，反而壞事,不必要的增加反而造成問題,B2,日常生活，勸誡，職場,口語，幽默,戰國時楚人飲酒競賽之故事,xwa˥ ʂɤ˧ tʰjɛn˥ tsu˧˥,君若已善之，勿畫蛇添足。,畫蛇添足者，適足以敗其功。,人事繁多，毋徒畫蛇添足。
杯弓蛇影,名詞短語,疑神疑鬼，自相驚擾,無中生有地恐懼,B1,心理，家庭，文學,文學，寓意,東漢人飲酒見弓影如蛇，驚而成病,pei˥ kuŋ˥ ʂɤ˧ jiŋ˨˩˦,彼見杯中影，竟作杯弓蛇影。,世人多杯弓蛇影，患於心者也。,杯弓蛇影，非真毒也，乃心魔耳。
唇亡齒寒,複句，因果結構,利害相關，一方亡則另一方亦危,彼此依存，一方失去則兩敗俱傷,C1,政治，聯盟，商業,正式，警惕,《左傳》陳國滅虢之語,ʈʂʰuən˧ waŋ˧ ʈʂʰɨ˨˩˦ xan˧,鄰國破滅，吾國亦將唇亡齒寒矣。,唇亡齒寒，古今皆然。,其盟若散，恐將唇亡齒寒也。
殺雞儆猴,使役結構,藉懲罰一人以警示他人,透過一人受罰使他人畏懼,C1,法律，軍事，教育,嚴肅，策略,古代管理馬戲之法,ʂa˥ tɕi˥ kɤŋ˨˩˦ xo˧,吏殺雞儆猴，民遂不敢犯。,此人可殺雞儆猴，以立威信。,若不懲戒，難以殺雞儆猴。
一箭雙鵰,數詞+名詞+名詞結構，表示結果雙重,一舉兩得，同時達成兩個目標,同時完成兩件事,B2,戰爭，策略，幽默,口語，機智,出自唐代李靖狩獵故事,it˥ tɕiɛn˥ ʂwaŋ˥ tiɛu˥,將軍以一箭雙鵰，士卒大喜。,用此計，正可一箭雙鵰也。,行此一策，可謂一箭雙鵰矣。
盲人摸象,名詞短語，比喻結構,以偏概全，不知全貌,只見部分，錯解全體,B1,哲學，教育，諷刺,寓言，諷刺,佛教經典《涅槃經》之譬喻,mɑŋ˧ ʐɨn˧ mɔ˥ ɕjɑŋ˧,子若盲人摸象，焉知大道？,議論未詳，猶盲人摸象耳。,徒言其形，實乃盲人摸象也。
掩耳盜鈴,動詞+賓語結構，比喻句,自欺欺人，掩蓋不了事實,試圖自我欺騙而無濟於事,B2,諷刺，倫理，家庭,諷刺，家庭教育,《呂氏春秋》記賊掩耳而盜鈴,jɛm˧ ə˨˩˦ tɑu˧ liŋ˧,汝今掩耳盜鈴，誰不識之？,掩耳盜鈴，唯自欺耳。,雖掩耳而盜鈴，其聲猶聞焉。
兔死狗烹,名詞並列，動賓結構,事成之後棄舊人,完成任務即被拋棄,C2,政治，歷史，職場,悲涼，歷史評論,《史記》范蠡退隱之語,tʰu˥ sɨ˨˩˦ kəu˨˩˦ pʰəŋ˥,功成則兔死狗烹，賢者深憂。,若不自退，恐兔死狗烹之禍。,古人深知兔死狗烹，故急流勇退。
借刀殺人,使役句型，動詞重複,利用他人手段以害人,借他人之力達成目的,C1,策略，陰謀，歷史,權謀，陰險,《三十六計》之第一計,tɕiɛ˥ tɑu˥ ʂa˥ ʐɨn˧,彼懷毒計，借刀殺人。,借刀殺人，表面和善而實狠毒。,其謀甚險，乃借刀殺人之道也。
