Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Singaporean Mandarin)",First Example Sentence,Second Example Sentence,Third Example Sentence
画蛇添足,固定四字成语；动宾结构，比喻性补充动作,做了多余的事情反而破坏原本已经完成或良好的结果,多此一举，反而把事情弄糟,C1,工作讨论、教育、评论、幽默讽刺,中性偏书面，也可带讽刺意味,源自中国战国时期寓言故事《战国策》，描述画蛇比赛中有人多画了蛇脚,/xwa˥ ʂɤ˧ tʰjɛn˥ tsu˧/,报告已经写得很清楚了，再加那么多解释反而有点画蛇添足。,他本来已经赢了比赛，却因为炫耀技巧而画蛇添足，最后反而失误。,有时候设计太复杂就是画蛇添足，简单反而更好。
对牛弹琴,固定四字成语；动宾结构,向不懂或不愿理解的人解释复杂的事情,对不理解的人讲复杂道理,B2,教育、日常对话、幽默、评论,略带讽刺,出自中国古代典故，比喻对象不具备理解能力,/tweɪ˥ njoʊ˧ tʰan˧ tɕʰin˧/,你跟他解释那么多技术细节，其实有点对牛弹琴。,在会议上讲太专业的内容，有些人听起来就像对牛弹琴。,她笑着说自己刚才的解释简直是对牛弹琴。
一箭双雕,固定四字成语；数量+名词结构,一个行动同时达到两个目标,一举两得,B2,商业、策略、日常讨论,中性,源自古代射箭故事，比喻一箭射中两只雕,/i˥ tɕjɛn˥ ʂwaŋ˥ tjau˥/,如果我们在会议上同时讨论预算和时间表，那就是一箭双雕。,这次培训既提升技能又增强团队合作，真是一箭双雕。,他把市场调研和客户拜访安排在同一天，可说是一箭双雕。
骑虎难下,固定四字成语；主谓结构,事情已经开始却很难停止或退出,进退两难，无法轻易结束,C1,政治、商业、决策讨论,严肃、中性,古代比喻骑在老虎背上无法轻易下来,/tɕʰi˧ xu˨ nan˧ ɕja˥/,这个项目已经投入这么多资金，现在真是骑虎难下。,他当初答应得太快，现在骑虎难下。,公司已经公开宣布计划，想取消也变成骑虎难下。
见风转舵,动宾结构；比喻性动词短语,根据形势变化迅速改变立场,看情况改变态度,C1,政治评论、职场讨论,略带批评意味,源于航海术语，根据风向调整船舵,/tɕjɛn˥ fʊŋ˥ ʈʂwan˨ twɔ˥/,有些人一看到老板的态度改变就马上见风转舵。,在复杂的政治环境里，很多人都会见风转舵。,他被批评为太会见风转舵，没有原则。
半途而废,固定四字成语；副词+动词结构,事情做到一半就停止,中途放弃,B2,教育、个人成长、家庭对话,中性,源自古代劝学故事,/pan˥ tʰu˧ a˧ feɪ˥/,学习语言最怕半途而废。,他练钢琴练到一半就半途而废了。,很多创业项目不是失败，而是半途而废。
自讨苦吃,动宾结构；反身式表达,自己做出导致自己受苦的事情,自找麻烦,B1,日常对话、家庭、幽默,口语化,民间常用表达,/tsɨ˥ tʰau˨ kʰu˨ tʂʰɨ˥/,明明知道会加班还接这个项目，真是自讨苦吃。,他不听劝告，现在吃亏了也算自讨苦吃。,有时候太逞强反而是自讨苦吃。
小题大做,偏正结构；形容词性成语,把小事情看得太严重,过度反应,B1,家庭、社交、评论,口语、中性,传统汉语成语,/ɕjau˨ tʰi˧ ta˥ tswɔ˥/,只是迟到几分钟，你不用小题大做。,他因为一点小问题就开会讨论，大家觉得有点小题大做。,有些媒体报道有时候会小题大做。
水落石出,主谓结构；比喻性叙述,事情真相最终被揭示,真相大白,C1,新闻、法律、调查,正式、书面,来自古代诗文，比喻水退去后石头显现,/ʂweɪ˨ lwɔ˥ ʂɨ˧ tʂu˥/,经过调查之后，事情终于水落石出。,警方表示案件很快就会水落石出。,随着更多证据出现，真相慢慢水落石出。
顺水推舟,动宾结构；比喻顺势而为,利用现有形势顺势完成事情,顺着情况去做,B2,商业、策略、谈判,中性,源自航行比喻，顺着水流推船,/ʂwən˥ ʂweɪ˨ tʰweɪ˥ tʂoʊ˥/,既然客户已经提出建议，我们不如顺水推舟接受。,他顺水推舟把讨论转向更重要的问题。,有时候领导只是顺水推舟，让团队自己决定。
