Idiom (Kanuri),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kanuri)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kannu ruwa-ro goro,Nominal metaphor phrase (noun + locative construction),A person who remains calm and composed during conflict or pressure,Mutum mai natsuwa a lokacin matsala,B2,"daily speech, leadership, conflict mediation","colloquial, respectful",Water imagery reflects Lake Chad basin culture where calm water symbolizes wisdom,/kanːu ru.wa.ro go.ro/,"Ali kannu ruwa-ro goro, ko da mutane suna gardama.",Malaminmu kannu ruwa-ro goro lokacin rikici a aji.,Shugaban kauye kannu ruwa-ro goro lokacin taro.
Yimi kulu-ro kura,Verb phrase idiom (verb + locative metaphor),To be extremely hungry or desperate,Mutum yana jin yunwa sosai,A2,"daily speech, humor, family",colloquial,Food scarcity historically shaped expressions around hunger in Sahel communities,/ji.mi ku.lu.ro ku.ra/,Ngəna yimi kulu-ro kura bayan tafiya mai tsawo.,Yaro yimi kulu-ro kura bayan wasa.,Dalibai yimi kulu-ro kura bayan darasi.
Kannu kura-ngə lawan,Fixed clause idiom (noun + verb phrase),To observe carefully before acting,Mutum yana lura kafin ya yanke shawara,B1,"politics, leadership, strategy","neutral, reflective",Linked to traditional council deliberations in Kanuri governance,/kanːu ku.ra.ŋə la.wan/,Ali kannu kura-ngə lawan kafin ya yi magana.,Jagora kannu kura-ngə lawan kafin hukunci.,Dan kasuwa kannu kura-ngə lawan kafin ciniki.
Ruwa kadi-ngə kulu,Metaphoric clause idiom,A situation that quickly becomes chaotic,Al’amari ya rikice sosai,B2,"politics, storytelling, humor","dramatic, colloquial",Draws from imagery of spilling water during market activity,/ru.wa ka.di.ŋə ku.lu/,Taron ya zama ruwa kadi-ngə kulu bayan gardama.,Kasuwar ta zama ruwa kadi-ngə kulu lokacin rikici.,Aji ya zama ruwa kadi-ngə kulu lokacin da malam ya fita.
Kannu yime-ro tashi,Verb metaphor phrase,To become suddenly angry,Mutum ya fusata nan take,A2,"daily speech, family",colloquial,Facial imagery common in Kanuri storytelling traditions,/kanːu ji.me.ro ta.ʃi/,Fati kannu yime-ro tashi lokacin da aka bata labari.,Ali kannu yime-ro tashi bayan zargi.,Malami kannu yime-ro tashi lokacin hayaniya.
Kulu kura-ro yimi,Inverted metaphor clause,Working very hard without rest,Mutum yana aiki tukuru,B1,"workplace, agriculture",neutral,Agricultural labor rhythms in Borno region inspired the expression,/ku.lu ku.ra.ro ji.mi/,Manoma kulu kura-ro yimi lokacin damina.,Ali kulu kura-ro yimi domin gina gida.,Dalibi kulu kura-ro yimi kafin jarabawa.
Kura ruwa-ngə lawan,Verb phrase idiom,To delay a decision intentionally,Mutum yana jinkirta shawara,C1,"politics, negotiation","strategic, formal",Associated with negotiation strategies in traditional emirate courts,/ku.ra ru.wa.ŋə la.wan/,Dan siyasa kura ruwa-ngə lawan kafin amsa.,Shugaba kura ruwa-ngə lawan domin tunani.,Alkali kura ruwa-ngə lawan kafin hukunci.
Kannu kulu-ro doro,Metaphorical verb phrase,To become deeply worried,Mutum yana damuwa sosai,B1,"family, storytelling",emotional,Linked to oral poetry describing emotional burden,/kanːu ku.lu.ro do.ro/,Uwa kannu kulu-ro doro lokacin rashin lafiya.,Ali kannu kulu-ro doro bayan labari mara dadi.,Malami kannu kulu-ro doro kan makomar dalibai.
Yimi kura-ngə tashi,Verb clause idiom,To suddenly gain energy or motivation,Mutum ya sami kuzari,A2,"daily speech, humor","light, colloquial",Food-energy relationship common in Sahel humor,/ji.mi ku.ra.ŋə ta.ʃi/,Yaro yimi kura-ngə tashi bayan cin abinci.,Ali yimi kura-ngə tashi bayan hutawa.,Dalibi yimi kura-ngə tashi bayan hutu.
Kannu lawan-ro kura,Fixed clause idiom,To think deeply before speaking,Mutum yana tunani sosai kafin magana,C1,"education, leadership, literature","formal, reflective",Reflects the value of wisdom and restraint in Kanuri scholarly culture,/kanːu la.wan.ro ku.ra/,Malami kannu lawan-ro kura kafin amsa.,Shugaba kannu lawan-ro kura a taro.,Ali kannu lawan-ro kura kafin shawara.
