Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Til yarası bitmez,Fixed nominal clause (subject + possessive noun + negative verb),Harsh words cause lasting emotional harm.,Qattiq söz uzun müddet ranj qıldurur.,B2,"Daily speech, family, moral advice, literature","Proverbial, serious",Widely attested Turkic proverb emphasizing restraint in speech.,til jaɾɑsɯ bitmɛz,"Uning achchiq sözi meni ranjıtdı, çünki til yarası bitmez.","Ata oğlını nasihat qıldı: til yarası bitmez, sözge ehtiyat bol.","Majlisde aytilğan haqāratni unutmaq müşkil, til yarası bitmez."
Köz körgänni könül sezər,Parallel compound clause with sensory verbs,The heart understands what the eyes witness.,İnsan körgenini ichida his qılur.,C1,"Literature, poetry, reflective speech","Poetic, contemplative",Common in classical Chagatai poetic discourse.,køz køɾɡænni kønyl sezæɾ,"Sahra manzarasını körgach, köz körgänni könül sezər dedim.","Uning dardını körüp, köz körgänni könül sezər ekenin bildim.",Tarixiy vayrananı tamāşa qılğanda köz körgänni könül sezər.
Sabr qilğan murādına yetər,Participial clause + dative complement + finite verb,Patience leads to success.,Sabrli adam oxirida maqsadına erişer.,B1,"Daily advice, education, family","Encouraging, didactic",Moral proverb widespread in Central Asian tradition.,sɑbɾ qilʁɑn muɾɑdɯnɑ jetæɾ,Talaba qiynalsa ham sabr qilğan murādına yetər.,Onam derdi: sabr qilğan murādına yetər.,Uzoq kutgandan soñ bildim ki sabr qilğan murādına yetər.
Birlikte quvvat bar,Locative nominal construction,Strength lies in unity.,Hamjihatlik kuch berür.,A2,"Community speech, politics, teamwork","Motivational, communal",Often used in tribal and communal settings.,biɾlikte quvvɑt bɑɾ,Mahalla ahli dedi: birlikte quvvat bar.,"Ishni birga qılaylı, birlikte quvvat bar.",Yurt taraqqiyati uchun birlikte quvvat bar.
Er yigit sözide turur,Nominal phrase + locative predicate verb,A true man keeps his word.,Va'dasini buzmağan adam ishonchli bolur.,B2,"Honor culture, family, traditional discourse","Formal, ethical",Rooted in nomadic honor traditions.,eɾ jiɡit søzide tuɾuɾ,"U va'dasini bajardı, çünki er yigit sözide turur.",Babam aytur edi: er yigit sözide turur.,"Savdogar ishonch qozondi, er yigit sözide turur eken."
Dost qora künde bilinür,Temporal locative clause,A friend is known in difficult times.,Haqiqiy dost qiyinchilikte ko‘rinür.,B1,"Friendship, moral teaching","Reflective, proverbial",Common Turkic proverb emphasizing loyalty.,dost qoɾɑ kyndæ bilinŷɾ,"U menga yordam berdi, dost qora künde bilinür.",Sinov paytıda bildim ki dost qora künde bilinür.,"Qiyin vaziyatda do‘stlik sınalır, dost qora künde bilinür."
Ilm nurdur,Equative nominal sentence,Knowledge is light.,Ilm odamğa yo‘l körsetür.,A1,"Education, religion, literature","Elevated, didactic",Deeply rooted in Islamic scholarly tradition.,ilm nuɾduɾ,Mudarris dedi: ilm nurdur.,"Kitāb oqu, çünki ilm nurdur.",Farzandlarğa ögretildi ki ilm nurdur.
Vaqt oltundın qıymatlıdır,Comparative nominal clause,Time is more valuable than gold.,Vaqt juda qadrli.,B2,"Business, productivity, moral advice","Serious, advisory",Appears in classical didactic literature.,vɑqt oltundɯn qɯjmɑtlɯdɯɾ,"Bekor yurme, vaqt oltundın qıymatlıdır.",Tijaratda vaqt oltundın qıymatlıdır.,Yoshlarğa nasihat: vaqt oltundın qıymatlıdır.
Yaxşı at ölməz,Negative aorist nominal sentence,A good reputation never dies.,Yaxşı nom unutilmez.,C1,"Literature, legacy discourse","Poetic, solemn",Associated with epic and oral traditions.,jɑχʃɯ ɑt ølmæz,"Alimning adı tarixda qaldı, yaxşı at ölməz.","Uning yaxshılığı esda turur, yaxşı at ölməz.","Xayrli ish qıl, yaxşı at ölməz."
Tilge ehtiyat bol,Imperative construction,Be careful with your words.,Sözlärni o‘ylab ayt.,A2,"Daily speech, parental advice","Advisory, informal",Common admonition in family upbringing.,tilɡe ehtijɑt bol,Bahsda tilge ehtiyat bol.,Do‘stlar ara söz aytganda tilge ehtiyat bol.,Majlisde tilge ehtiyat bolmak zarur.
