Idiom (Ndyuka),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ndyuka)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ala pii tifi a ná lafu.,Fixed proverbial negative equative clause: universal quantifier + noun phrase + a ná + predicate noun.,"Appearances can deceive; a smile, show of friendliness, or polite surface may hide another intention.",No ala sama di e lafu gi yu abi bun ati.,B1,daily speech; family advice; politics; conflict mediation; cautionary humor,colloquial-proverbial; cautious; mildly ironic,Okanisi nongo speech tradition; used in veiled criticism and kuutu-style moral instruction.,[a.la piː ti.fi a ná la.fu],"Te a man e pii tifi gi yu, no feti; ala pii tifi a ná lafu.",Na a kuutu mi be membe den taki: ala pii tifi a ná lafu.,"Den pikin e lafu, ma a mma sabi taki ala pii tifi a ná lafu."
Wan boto ná abi tu sitiman.,Fixed negative possessive proverb: numeral subject + noun + ná abi + numeral object compound.,"A task, family, meeting, or organization needs clear leadership; divided command causes disorder.",Wan sani mu abi wan sama di e tyari en.,B2,leadership; workplace; kuutu; politics; river travel; project management,proverbial; advisory; authoritative,River-boat leadership metaphor from Eastern Maroon life along the Marowijne and Tapanahony waterways.,[wan bo.to ná a.bi tu si.ti.man],Na a wooko ya u mu meki wan basi; wan boto ná abi tu sitiman.,"Efi den tu gaaman wani tii a sani, da mi taki: wan boto ná abi tu sitiman.",Na a liba a boto no o waka bun te wan boto abi tu sitiman.
"A wan boto, a ná a fa a bigi.",Topic-comment proverb: copular topic phrase followed by negative evaluative clause with manner marker fa.,"Value is not decided by size, rank, or appearance; usefulness and direction matter more.",No a bigi fu a sani namo e sori en warti.,B2,workplace; education; family comparison; leadership; humility; encouragement,proverbial; reflective; corrective,Boat-image nongo used to redirect attention from outward size to actual performance and role.,[a wan bo.to a ná a fa a bi.gi],"No luku a oso bigi ete; a wan boto, a ná a fa a bigi.","A pikin boto tja u kaba, bika a wan boto, a ná a fa a bigi.","Na wooko, a ná titili di e tyari sani; a wan boto, a ná a fa a bigi."
Luku fa a masini e daai de.,Imperative idiom: verb luku + embedded manner clause with imperfective marker e.,Study how the whole situation is functioning before judging or intervening.,Luku fa a wooko e go bifo i meki piki.,B1,technical work; conflict mediation; business; politics; elder advice,colloquial-proverbial; practical; observant,Motorboat and machine imagery in riverine communities; used as a practical metaphor for systems and leadership.,[lu.ku fa a ma.si.ni e daːi de],"Bifo u koti a moni, luku fa a masini e daai de.",Mi no e piki te den taki switi; mi e luku fa a masini e daai de.,A takiman no kii kuutu; luku fa a masini e daai de.
A wan kodo man e tii en.,Focus construction: copular subject + singular focused noun phrase + imperfective verb phrase.,"One accountable person must steer a matter, even when many people are involved.",Wan sama mu tyari a sani fu meki pasi tan bun.,B2,team coordination; community meetings; family decisions; governance; boat travel,proverbial; firm; organizational,"Steering metaphor from canoes and river transport, extended to social authority and responsibility.",[a wan ko.do man e tiː eŋ],"Den man e taki tuutuu, ma a wan kodo man e tii en.","Na a botopasi, a wan kodo man e tii en, da ala sama mu tan leisi.","Efi u wani kaba a wooko, meki wan sama tyari ede, bika a wan kodo man e tii en."
Mi na napi.,Metaphorical copular noun-predicate clause: first-person subject + na + plant/tuber noun.,I am adaptable and will root or continue only where conditions allow me to thrive.,"Mi kan tan pe doti bun gi mi, ma mi kan gwé te a no bun.",C1,dispute resolution; migration; workplace fit; family pressure; self-positioning,metaphorical; poetic; self-protective,"Agricultural root-crop metaphor; connected to planting, soil, mobility, and belonging in forest-river life.",[mi na na.pi],"No fasi mi wan pe, mi na napi, mi o beli pe doti bun.","Mi na napi; pe den paandi mi ma doti no bun, mi e gwé.",A wookoman taki mi na napi bika mi e feni pasi pe sani kan go.
"Pe den e paandi mi, mi ná e beli de.",Locative subordinate clause followed by negative imperfective main clause; metaphor of planting and rooting.,I do not become committed merely because others place me somewhere; belonging requires suitable conditions.,Mi no e tan pe wan kondi no de fu mi.,C1,arbitration; employment; relocation; family decisions; identity negotiation,metaphorical; assertive; dignified,Napi/planting-ground image used in formal speech to discuss participation without direct confrontation.,[pe deŋ e paːn.di mi mi ná e be.li de],"Mi lobi a kondre, ma pe den e paandi mi, mi ná e beli de.","Te wan basi no gi gwenti, mi taki: pe den e paandi mi, mi ná e beli de.","A uman kaba a wooko de bika pe den e paandi en, en ná e beli de."
Mi a wakaman.,Copular predicate-nominal identity clause with agentive compound wakaman.,"I am a mobile person or free agent; I am not permanently tied to one place, camp, or side.",Mi no de wan pe nomo; mi e waka suku pe mi kan du bun.,A2,travel; migration; work search; informal identity talk; humorous self-description,colloquial; light; independent,"Reflects movement across river villages, coastal towns, French Guiana, Suriname, and diaspora spaces.",[mi a wa.ka.man],"Mi a wakaman, no poti mi na wan taki no abi ede.","Den taki mi fu tan, ma mi a wakaman te mi feni bun pisi doti.","Na wan wakaman mi de; di pasi opo, mi e go."
A án mu kon fu Anansi anga Sensen.,Negative modal-result clause with complementizer fu and paired folktale proper names.,"A serious plan should not become trickery, confusion, or divided intention disguised as cooperation.",U no mu meki koni anga winsi meki a pikin sani broko.,C2,folktale allusion; politics; community leadership; moral warning; sarcasm,literary-proverbial; ironic; cautionary,Alludes to Anansi/Sensen trickster narrative traditions used in Maroon formal speech and moral reasoning.,[a án mu koŋ fu a.nan.si aŋ.ga sen.sen],"U taki u o du leti, so a án mu kon fu Anansi anga Sensen.",A kuutu na fu bun fasi; a án mu kon fu Anansi anga Sensen.,"Te wan man e kisi ede anga koni, mi e taagi en taki a án mu kon fu Anansi anga Sensen."
U e du fu leti.,Habitual/general present clause with imperfective marker e and purpose/manner complement fu leti.,"We act properly, honestly, and in the right way; the work must be done with moral correctness.",U mu du a sani anga leti ati.,A2,family instruction; school; workplace ethics; kuutu; public responsibility,plain-proverbial; ethical; encouraging,"Kuutu moral formula emphasizing right conduct, accountability, and truthful communal action.",[u e du fu le.ti],"Te u piki a lanti, u e du fu leti.",No anga libi-libi taki; u e du fu leti na ini kuutu.,"A pikin taki: mi o gi a moni baka, bika u e du fu leti."
