Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Diboko dimo kadidumbanga makofi.,Negative declarative clause; noun class 5 subject + negative verb + object,One person alone cannot accomplish a collective task.,Mosala munene usengela bantu babidi anyi mingi.,B1,"Community work, leadership, cooperation, politics","Proverbial, formal, advisory",Widely used across Tetela-speaking regions emphasizing communal labor traditions.,di.bɔ.kɔ di.mo ka.di.dum.ba.ŋa ma.kɔ.fi,Mukalenge wakamba ete diboko dimo kadidumbanga makofi pa kutunga tshikolu.,Twamona ete diboko dimo kadidumbanga makofi mu mosala wa zando.,Bana balongoloka pashishe bamanye ete diboko dimo kadidumbanga makofi.
Mashi makokela panshi.,Declarative clause; noun class 6 subject + verb + locative complement,Truth will eventually be revealed.,Bukole bwa solo bupatukanga.,B2,"Conflict resolution, family disputes, justice","Proverbial, reflective",Metaphor from observing spilled water flowing downward in village life.,ma.ʃi ma.kɔ.kɛ.la pan.ʃi,"Wikale wende, mashi makokela panshi.",Bantu bakoma kusweka kadi mashi makokela panshi.,Mu dibundu twakamba ete mashi makokela panshi pa nsangu ino.
Miti mikulu ikwata mpepo mingi.,Declarative clause; plural noun subject + verb + quantified object,Important people attract greater challenges or criticism.,Bantu banene bakwata mikakatano mingi.,C1,"Politics, leadership commentary, journalism","Poetic, metaphorical",Derived from forest imagery common in central Kasai region.,mi.ti mi.ku.lu i.kwa.ta m.pɛ.pɔ mi.ŋgi,"Pa lufumu, miti mikulu ikwata mpepo mingi.","Yandi akoma mukalenge, kadi miti mikulu ikwata mpepo mingi.","Mu politiki, miti mikulu ikwata mpepo mingi lelo."
Mwana wa muntu ketshi mukila wa mbwa.,Negative copular structure; noun phrase + negation + complement,A human being deserves dignity and respect.,Muntu asengela kulama ne lukumu.,B2,"Parenting, moral teaching, human rights discussions","Didactic, moralizing",Used in initiation teachings emphasizing human value.,mwa.na wa mun.tu kɛ.tʃi mu.ki.la wa m.bwa,Mama wakamba ete mwana wa muntu ketshi mukila wa mbwa.,"Balekele mwana anyemane te, mwana wa muntu ketshi mukila wa mbwa.",Mu tshikolu balongesha bana ete mwana wa muntu ketshi mukila wa mbwa.
Lukasa lulenga mukongo.,Declarative clause; noun subject + verb + object,Learning strengthens a person’s future.,Kulonga kupesa bukole bwa bomoyi.,B1,"Education advocacy, school speeches","Encouraging, proverbial",Reflects emphasis on schooling in post-independence Tetela regions.,lu.ka.sa lu.lɛ.ŋa mu.kɔ.ŋgɔ,Tata wakamba ete lukasa lulenga mukongo.,Mu tshikolu balongesha ete lukasa lulenga mukongo.,Bana badi ne tshisambu pa lukasa lulenga mukongo.
Mbula itonya kadi itshia kulala te.,Compound clause with contrastive conjunction,Hard times come but do not last forever.,Mikakatano ipita.,C1,"Motivational speech, family consolation","Poetic, comforting",Based on seasonal rain cycles in the Kasai region.,m.bu.la i.tɔ.nya ka.di i.tʃi.a ku.la.la te,Mama andumbisha ete mbula itonya kadi itshia kulala te.,"Pa mpasi ya bomoyi, mbula itonya kadi itshia kulala te.","Twikala ne luketekelo, mbula itonya kadi itshia kulala te."
Nsusu wa mu tshibaya kalalanga te.,Negative habitual clause,A vigilant person does not relax carelessly.,Muntu wa bukole wakalenga te.,C2,"Security advice, political caution","Metaphorical, warning",Derived from hunting traditions in forest zones.,n.su.su wa mu tʃi.ba.ya ka.la.la.ŋa te,Mukalenge wakamba ete nsusu wa mu tshibaya kalalanga te.,"Mu politiki, nsusu wa mu tshibaya kalalanga te.","Pa mosala wa banki, nsusu wa mu tshibaya kalalanga te."
Mikolo ibidi kayikwata nseke imo.,Negative plural declarative clause,Two situations are never exactly the same.,Makambo mabidi mayitambolani te.,B2,"Advice, philosophical discussion","Reflective, proverbial",Used in traditional conflict mediation.,mi.kɔ.lɔ i.bi.di ka.yi.kwa.ta n.se.kɛ i.mɔ,Tata wakamba ete mikolo ibidi kayikwata nseke imo.,"Mu lufumu, mikolo ibidi kayikwata nseke imo.",Balombola bana ete mikolo ibidi kayikwata nseke imo.
Muntu ne muntu wa bantu.,Copular relational structure,A person exists through community.,Bomoyi bwa muntu butekeme pa bantu bakwabo.,B1,"Community gatherings, cultural teaching","Philosophical, communal",Core Tetela communal worldview expression.,mun.tu ne mun.tu wa ban.tu,Mu dibundu twalonga ete muntu ne muntu wa bantu.,Mukalenge wakumbusha ete muntu ne muntu wa bantu.,"Pa milulu ya mboka, muntu ne muntu wa bantu."
Mwana ukolela pa ntanda.,Declarative clause; subject + verb + locative complement,A child learns through life experience.,Mwana ulongwa ku bomoyi.,A2,"Parenting advice, storytelling","Gentle, instructional",Commonly used in rural upbringing contexts.,mwa.na u.kɔ.lɛ.la pa n.tan.da,Mama wakamba ete mwana ukolela pa ntanda.,"Balekele mwana alonge, mwana ukolela pa ntanda.","Mu bomoyi, mwana ukolela pa ntanda."
