Idiom (Makurap),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Makurap)",First Example Sentence,Second Example Sentence,Third Example Sentence
ngot kana oen,Noun object + serial/transitive verb chain; compact completive clause with the eaten/consumed object foregrounded.,"To use everything up, exhaust a shared supply, or leave nothing available for others.",kana oen; yeman kana,B1,"Daily speech, household food talk, resource planning, humorous complaints, community work.",Colloquial; mildly critical or joking.,Modeled on the Wiriyo narrative motif of ngot being fully eaten; marked for community review before being treated as a common idiom.,/ŋot ka.na o.en/,yeman ngot kana oen.,ama ngot xiaret eya kurux amang ngot kana oen.,õn ngot kana oen ke.
põrom toa pit,Adverbial search/look expression + verb + negative polarity element; elliptical result clause.,To search or try in vain and come back with nothing.,peitõã; toa pit,B2,"Hunting/searching, problem solving, workplace troubleshooting, storytelling, dry humor.","Colloquial; resigned, ironic, or humorous.",Based on an attested Wiriyo narrative line glossed as looking in vain; reflects search and tracking scenes common in narrative discourse.,/põ.ɾom to.a pit/,"põrom toa, pit.",kito põrom toa pit ke.,mokat peitõã etera põrom toa pit.
mokat etera kurux,Discourse adverb + intransitive motion verb + perfective arrival verb; paratactic movement sequence.,"To follow through, keep moving, and finally arrive or complete what was started.",etera kurux,A2,"Arrival, reliability, task completion, encouragement, narrative sequencing.",Neutral to encouraging; narrative-friendly.,Drawn from recurring TuDeT narrative motion sequences where going and arriving structure the action line.,/mo.kat e.te.ɾa ku.ɾuʃ/,mokat etera kurux.,ama etera kurux.,nãkowut mokat etera kurux ke.
putorot xēke ke xēt,Nominal predicate + dubitative particle + evidential/reportative particle + past particle.,"To assume the worst, imagine a bad outcome, or speak from worried uncertainty.",xēke; xēt,C1,"Worry, rumor, storytelling suspense, family concern, ironic commentary.","Serious, anxious, or darkly ironic.","Modeled on a TuDeT Wiriyo line translated as 'he might be dead, he thought'; useful for evidentiality and uncertainty modeling.",/pu.to.ɾot ʃeː.ke ke ʃeːt/,putorot xēke ke xēt.,kito putorot xēke ke xēt.,"xeke xēke ke, putorot xēke ke xēt."
op ten eya õn,Interrogative adverb + transitive verb + future particle + first-person pronoun.,To be uncertain how to proceed; to face a practical dilemma.,op ten; õn eapītera,A2,"Planning, learning, repair work, decision-making, asking for advice.",Neutral; puzzled or reflective.,"Attested as a question in the Wiriyo narrative; strong for training questions, planning, and self-directed reasoning.",/op ten e.ja õn/,op ten eya õn?,nãpẽrenã op ten eya õn?,op ten eya on ke?
xop koa ten nã peka,Demonstrative + discourse particle + manner/action expression + verb complex of wanting/intending.,"To insist on doing something in a particular way, even when other options exist.",xop ten; nã peka,B2,"Family decisions, leadership, politics, craft work, workplace procedures.",Neutral to stubborn; can be ironic.,Based on a TuDeT line glossed as the way someone wanted to do it; useful for modeling intention and stance.,/ʃop ko.a ten nã pe.ka/,xop koa ten nã peka.,xop ten eya on ke.,"ã, en xop koa ten nã peka."
arimot urot arimot urot,Reduplicated nominal exclamation with genitive/relational noun structure.,"A sharp rebuke for someone behaving badly, dangerously, or like a troublemaker.",arimot urot,C1,"Storytelling, mock anger, warnings, moral commentary, sarcastic rebuke.","Forceful, colloquial, potentially insulting; use cautiously.",Attested as an emphatic exclamation in the Wiriyo narrative; reduplication intensifies affect and is useful for sentiment modeling.,/a.ɾi.mot u.ɾot a.ɾi.mot u.ɾot/,arimot urot arimot urot!,moke arimot urot ke.,"ã, arimot urot xop ke!"
nãpẽrenã eapītera pīxe,Temporal/discourse adverb + imperfective thinking verb + auxiliary/postural element.,To pause and think carefully before acting; to weigh a matter in silence.,eapītera; toa,B1,"Advice, planning, mediation, teaching, reflective storytelling.","Reflective, calm, thoughtful.",Based on the TuDeT phrase where a man thinks while standing; suited to cognitive-state and discourse modeling.,/nã.pẽ.ɾe.nã e.a.piː.te.ɾa piː.ʃe/,nãpẽrenã kito eapītera pīxe.,õn nãpẽrenã eapītera pīxe.,en nãpẽrenã eapītera pīxe ke.
korop noa pe,Intransitive disappearance/entry verb + oblique locative noun + postposition.,"To vanish from view, withdraw from a situation, or become unreachable.",etera korop,B1,"Travel, gossip, conflict avoidance, narrative suspense, search reports.",Neutral to mysterious; narrative tone.,"Motivated by the attested mountain-range disappearance scene in the Wiriyo text; ties space, movement, and social absence.",/ko.ɾop no.a pe/,mokat etera korop noa pe.,kito korop noa pe ke.,mokat peitõã etera amang korop kux me.
wotye pukpuga pit,Intransitive posture/action verb + adverbial/perfective action + negative/result particle.,To try repeatedly but get no result; to make effort without visible effect.,pukpuga pit; ngarap pit,B2,"Work frustration, technical failure, humor, storytelling, teaching patience.",Colloquial; resigned or comic.,Based on an attested Wiriyo line translated as sitting and fanning with nothing happening; pairs effort with absence of result.,/wo.tje pu.kpu.ɡa pit/,wotye pukpuga pit.,"kux kixa ngarap, pit.",õn wotye pukpuga pit ke.
