Idiom (Gonja),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Gonja)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bii kɛ baŋa n naa a lɛ.,Fixed comparative clause with noun subject and locative-prepositional complement; proverb-like declarative form.,A young or inexperienced person may still understand what elders overlook.,Bii lɛɛ kɛ n baŋa bɔɔ n kɛ o mi.,B2,Family advice; youth–elder dialogue; community meetings; teaching; respectful disagreement,"Colloquial, wise, mildly corrective","Linked to intergenerational listening in Gonja households and chiefdom discussions, where children may notice practical details while elders debate authority.",/bìː kɛ́ báŋà ń nàː à lɛ́/,"Niiŋwura n ka a yɛ, m bii kɛ baŋa n naa a lɛ.","Kumɔɔbɔ no lee wɔ, ama bii kɛ baŋa n naa a lɛ.","N naŋ kpɛɛ lɛ, bii kɛ baŋa n naa a lɛ, yɛ ka o yɛɛ."
Kakpala n nyɛ kɛ a yɛ bɔɔ.,Metaphorical declarative clause with animal noun subject and complement clause; fixed proverb frame.,A restless or noisy person is usually reacting to something hidden.,"O yɛ bi ka o nɔɔ n bɛ kɛ, bɔɔ n la o niiŋ.",C1,Conflict mediation; gossip; family tension; politics; storytelling,"Ironic, proverbial, diagnostic","Draws on village observation of fowls and small animals: sudden noise often signals danger, hunger, or disturbance nearby.",/kàkpálà ń ɲɛ́ kɛ́ à yɛ́ bɔ́ː/,"Kakpala n nyɛ kɛ a yɛ bɔɔ, ka o nɔɔ zaŋ kɛ fɔ.","Anɔɔ lɛ n sɔ ka, kakpala n nyɛ kɛ a yɛ bɔɔ.","Ka baaŋ sɔ kɛ o bɛ, kakpala n nyɛ kɛ a yɛ bɔɔ."
Jɔŋ n tuu n na kɔɔ.,Fixed metaphorical clause with body-part noun phrase and motion verb; compact declarative idiom.,"Someone has become proud, stubborn, or difficult to advise.","O nyɛ kabɔŋɔ, o bɛɛ fɔ nɛŋ o yɛ.",B2,Workplace; peer criticism; leadership; youth advice; humor,"Colloquial, critical, mildly sarcastic","Uses the neck as a symbol of posture and humility; in many Gonja settings, an upright stiff neck suggests pride before elders.",/d͡ʒɔ́ŋ ń tùː ń nà kɔ́ː/,"Ka o nya sika kɛ, jɔŋ n tuu n na kɔɔ.","M bɛɛ o lɛ, ama jɔŋ n tuu n na kɔɔ.","Jɔŋ n tuu n na kɔɔ, yɛ ka o tɔrɔ bɛɛ fɔ."
Nɔɔ lɛ n di a wura.,Metonymic declarative clause with mouth/word subject and transitive verb; fixed moral idiom.,One’s own words have caused trouble or exposed one’s intentions.,O naŋ yɔɔ nɔɔ ka o yɛ la fɔ.,B1,Advice; court-palace speech; politics; family disputes; cautionary talk,"Proverbial, cautionary, formal-colloquial","Reflects the value placed on careful speech before chiefs, elders, and family heads in Gonja communities.",/nɔ́ː lɛ́ ń dì à wúrà/,"Nɔɔ lɛ n di a wura, nti yɛ ka fɔ nyɛɛ mɔŋ.","Biŋ naŋ kpaŋ aŋwɛ, nɔɔ lɛ n di a wura.","O maŋ yɛ kɛ o bɛ mɔŋ, nɔɔ lɛ n di a wura."
Kpaŋgbaŋ lɛ n bɔ a sɔŋ.,Metaphorical declarative clause with abstract noun subject and verb-object predicate.,Hardship or pressure has revealed the truth about a person or situation.,Kumɔɔ n baa ka bɔɔ bɛɛ fɔ kɛ.,C1,Crisis talk; leadership assessment; community work; farming; moral teaching,"Poetic, serious, reflective","Associated with farming and communal labor, where difficulty shows who is dependable when the work becomes heavy.",/kpáŋgbàŋ lɛ́ ń bɔ́ à sɔ́ŋ/,"Kpaŋgbaŋ lɛ n bɔ a sɔŋ, nti yɛ mi naa nɛŋ n na yɛ.","Saŋ no n be, kpaŋgbaŋ lɛ n bɔ a sɔŋ.",Kpaŋgbaŋ lɛ n bɔ a sɔŋ ka ba nyɛ nɛŋ kɛ ba taa.
N saŋ n yɛ nɛŋ a bɛ kɔɔ.,Temporal-metaphorical clause with time noun subject and completive predicate; proverb-like fixed clause.,Time will reveal what is hidden; patience will clarify the matter.,"Ka yɛ gbi, bɔɔ laŋ bɛɛ fɔ.",B2,Patience advice; dispute resolution; family matters; investigation; planning,"Calm, proverbial, reassuring",Reflects elder-style counsel in Damongo and surrounding communities: not every matter is solved by immediate argument.,/ń sáŋ ń yɛ́ nɛ́ŋ à bɛ́ kɔ́ː/,"Fo maaŋ gbaŋ, n saŋ n yɛ nɛŋ a bɛ kɔɔ.","N saŋ n yɛ nɛŋ a bɛ kɔɔ, yɛ naŋ ti o nɔɔ dɛ.","Ba ka bɔɔ daa, ama n saŋ n yɛ nɛŋ a bɛ kɔɔ."
A chɛwɔ bɛ dɔɔ fɔ kɛ a chɛwɔ.,Reflexive-like fixed clause with repeated noun phrase and existential predicate.,A person’s true character eventually shows itself.,O mɔŋ bɔɔ nɛŋ o nyɛ la yɔɔ fɔ.,C1,Character judgment; marriage advice; leadership; friendship; cautionary storytelling,"Proverbial, evaluative, slightly ironic","Grounded in social reputation: character is known over repeated encounters, not by one public performance.",/à t͡ʃɛ́wɔ́ bɛ́ dɔ́ː fɔ́ kɛ́ à t͡ʃɛ́wɔ́/,"Ka yɛ bɛ nɛŋ o lɛ, a chɛwɔ bɛ dɔɔ fɔ kɛ a chɛwɔ.","A chɛwɔ bɛ dɔɔ fɔ kɛ a chɛwɔ, nti yɛ maaŋ yɛ gaŋ.","O yɔɔ ŋwɛɛ, ama a chɛwɔ bɛ dɔɔ fɔ kɛ a chɛwɔ."
"Sɔŋ nɛŋ bɔɔ dɛ, o baŋa yɛ mɔ.",Balanced conditional-like proverb with truth noun and cognitive verb; two-clause fixed structure.,"When the truth is near, even the cautious person can understand it.","Ka bɔɔ yɛ fɔ, nɛŋ bɛ mi a.",B2,Advice; testimony; courtly speech; teaching; community debate,"Formal, wise, balanced","Evokes Gonja norms of testimony, where truth is expected to become visible through consistent accounts.","/sɔ́ŋ nɛ́ŋ bɔ́ː dɛ́, ò báŋà yɛ́ mɔ́/","Sɔŋ nɛŋ bɔɔ dɛ, o baŋa yɛ mɔ, yɛ maaŋ pɛrɛ nɔɔ.","Ba naŋ kpaŋ nɔɔ pii, sɔŋ nɛŋ bɔɔ dɛ, o baŋa yɛ mɔ.","M maŋ su, sɔŋ nɛŋ bɔɔ dɛ, o baŋa yɛ mɔ."
"Yiri n yɛ lɛ, a nɔɔ maaŋ chɛ.",Metaphorical conditional clause with tree noun subject and negative imperative-like consequence.,Do not speak too early when a situation has not fully developed.,Fo maaŋ yɔɔ nɔɔ kɛ fɔ n saŋ daa.,B1,Counsel; public meetings; farming metaphors; youth correction; decision-making,"Cautionary, colloquial, elder-like",Rooted in agrarian imagery: a tree’s fruit or shade cannot be judged before it has properly grown.,"/jírì ń yɛ́ lɛ́, à nɔ́ː máːŋ t͡ʃɛ́/","Yiri n yɛ lɛ, a nɔɔ maaŋ chɛ, fo ti yɛ kɛ yɛ nyɛ.","N ka o maŋ kɔ, yiri n yɛ lɛ, a nɔɔ maaŋ chɛ.","Ka kpɛma bɛɛ kɛ, yiri n yɛ lɛ, a nɔɔ maaŋ chɛ."
Kɔrɔ lɛ n pɛ a niiŋ.,Metaphorical declarative clause with animal noun subject and locative/body-part complement.,A hidden problem has reached someone directly; danger or responsibility is now personal.,Bɔɔ dɛɛ lɛ baa o zɔ.,C2,Warning; conflict escalation; politics; family responsibility; dramatic storytelling,"Dramatic, serious, sometimes sarcastic","References bushland experience and oral storytelling, where animals symbolize sudden consequences entering human space.",/kɔ́rɔ́ lɛ́ ń pɛ́ à nìːŋ/,"Kɔrɔ lɛ n pɛ a niiŋ, nti o yɛ maŋ laŋ.","Ba maŋ wɛrɛ ka, ama kɔrɔ lɛ n pɛ a niiŋ.","Ka bɔɔ n kpa o jɔŋ, kɔrɔ lɛ n pɛ a niiŋ."
