Idiom (Kokborok),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Kokborok)",First Example Sentence,Second Example Sentence,Third Example Sentence
Bwkha mwjangni bwswk,Fixed nominal phrase with metaphorical noun compound,Someone who pretends to be brave while actually fearing consequences,A person hiding fear behind confidence,B2,"Humor, village debates, family discussions","Colloquial, ironic",Used in hill communities to mock boastful hunters who avoided danger,/bwkʰa mwd͡ʒaŋni bwswk/,"Ang bwkha mwjangni bwswk ni khumwi, batha rwchapha phaiya.","Bubagra bwlai khwlaiya, bwkha mwjangni bwswk khorokha.",Sikolni swrwngthai bwkha mwjangni bwswk bwtharwi.
Twima bwrwi phisa,Verb phrase with metaphorical motion structure,Acting carelessly without thinking about consequences,Behaving recklessly,B1,"Daily speech, parenting, education",Colloquial,Derived from imagery of muddy river crossings during monsoon seasons,/twi.ma bwrwi pʰisa/,"Nwng twima bwrwi phisa khwlaiya, bwthai rwchapha.",Bacha twima bwrwi phisa ni skwlai khumthai.,Rwchap ni thangwi twima bwrwi phisa bwlai.
Khumbarni khwlai rwchap,Descriptive clause with possessive structure,A hidden problem suddenly becoming obvious,A secret issue becoming visible,C1,"Politics, social criticism, journalism","Formal, sarcastic",Associated with traditional village councils exposing disputes publicly,/kʰumbarni kʰwlai rwt͡ʃap/,Sorkarni rwlai khorokha khumbarni khwlai rwchap phai.,Bwchapha mwthaiya khumbarni khwlai rwchapni bwrwi.,Thansa ni bwthang khumbarni khwlai rwchap bwlai.
Mwthai khuluk bwthai,Fixed idiomatic clause with reduplication,Trying to fix something but making it worse,Making a problem bigger while solving it,B2,"Workplace, family conflict, comedy","Humorous, colloquial",Popular in oral storytelling traditions among elders,/mw.tʰai kʰuluk bwtʰai/,Nini kam mwthai khuluk bwthai bwlai.,Rwchapha swrwngya mwthai khuluk bwthai phaisa.,Bacha bwlai mwthai khuluk bwthai ni haswi.
Soknai mwkhum phai,Verb phrase with emotional metaphor,Feeling ashamed after public embarrassment,Becoming deeply embarrassed,A2,"School, family life, friendships","Neutral, emotional",Rooted in communal performance culture where mistakes were publicly visible,/soknai mwkʰum pʰai/,Ang soknai mwkhum phai skwlai.,Nwngni rwthai khorokha soknai mwkhum phai.,Bwkha rwchapha soknai mwkhum phaiya.
Hachuk bwlai khorok,Metaphorical descriptive phrase,Someone causing confusion everywhere they go,A troublemaker creating disorder,B1,"Humor, neighborhood gossip, politics","Colloquial, mocking",Inspired by shifting bamboo fences in older settlements,/hat͡ʃuk bwlai kʰorok/,Ong hachuk bwlai khorok ni bwswk.,Para khwlaiya hachuk bwlai khorok phaisa.,Sikolni bacha hachuk bwlai khorok khorwi.
Thangmani twi kham,Fixed metaphorical noun phrase,A situation that looks calm but hides danger,Hidden danger beneath peace,C2,"Literature, political speech, reflective dialogue","Poetic, literary",Linked to stories about deceptive calm rivers in Tripura,/tʰaŋmani twi kʰam/,Rajnitini rwlai thangmani twi kham bwlai.,Bwkha khwlaiya thangmani twi kham ni rwchap.,Mwsa ni bwtharwi thangmani twi kham khorok.
Bwrwi rwchapni khwlai,Possessive metaphorical construction,Repeating old mistakes despite warnings,Ignoring lessons from the past,B2,"Education, family guidance, workplace training","Advisory, neutral",Common among elders advising younger generations,/bwrwi rwt͡ʃapni kʰwlai/,Nwng bwrwi rwchapni khwlai phaisa.,Bacha bwlai bwrwi rwchapni khwlai rwchapha.,Kamni rwthai bwrwi rwchapni khwlai khorwi.
Khwlai phithok mwjang,Fixed descriptive phrase,Speaking sweetly to manipulate others,Using flattering words for selfish goals,C1,"Politics, workplace, interpersonal relations","Sarcastic, ironic",Frequently used in political commentary in Kokborok media,/kʰwlai pʰitʰok mwd͡ʒaŋ/,Ong khwlai phithok mwjang ni bwlai.,Rajnitini rwchap khwlai phithok mwjang phaisa.,Bubagra khorokha khwlai phithok mwjang rwthai.
Bwthai rwchapni bwkha,Metaphorical possessive noun phrase,A person who learns wisdom through hardship,Someone shaped by difficult experiences,B2,"Storytelling, education, inspirational speech","Reflective, literary",Connected with traditional oral narratives about resilience,/bwtʰai rwt͡ʃapni bwkʰa/,Ang bwthai rwchapni bwkha bwlai.,Bubagra bwthai rwchapni bwkha ni rwthai.,Swrwngthai bwthai rwchapni bwkha khorokha.
