Idiom (Tlatepuzco Chinantec),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tlatepuzco Chinantec)",First Example Sentence,Second Example Sentence,Third Example Sentence
rón² jmi³ Ɂnøi³,Fixed verb–noun–locative image clause; stative/intransitive predicate used metaphorically.,To stay calm and steady when trouble moves around you.,Ɂai¹ dsanɁ¹²; no asustarse.,B1,daily speech; family advice; farming; conflict calming,"colloquial, reassuring, poetic",Evokes people remaining composed beside streams and irrigation paths during heavy rain in the Sierra.,/rṍ jmī ʔnøī/,"Ɂliug² rón² jmi³ Ɂnøi³, tsø²+kuenɁ¹² no problema.",María rón² jmi³ Ɂnøi³ cuando mi³-hian¹² la clínica.,"No junta, Pedro rón² jmi³ Ɂnøi³ y todos escucharon."
Ɂlǿg² dsaɁ³ hian¹²,Fixed transitive-like verb phrase with body-part noun and verbal complement.,"To speak carefully, with measured words that do not offend.",hablar con cuidado y respeto.,B2,elders; assemblies; workplace; apologies,"polite, formal-colloquial",Associated with communal meetings where respectful speech before elders carries social weight.,/ʔløǵ dsàʔ hiã̀/,El agente Ɂlǿg² dsaɁ³ hian¹² antes de pedir cooperación.,"Niño, Ɂlǿg² dsaɁ³ hian¹² cuando contestes a tu abuela.","En la escuela, Lupita Ɂlǿg² dsaɁ³ hian¹² con la maestra."
mi³-hen² kuøɁ¹² la lumbre,Perfective/past-marked verb phrase with concrete object and borrowed noun phrase.,"To begin something too late, after the useful moment has passed.",actuar demasiado tarde.,B2,humor; criticism; planning; household work,"ironic, mildly critical",Draws on hearth timing: adding wood after the fire has weakened wastes effort.,/mī hẽ̀ kuøʔ là lumbre/,Tomás mi³-hen² kuøɁ¹² la lumbre cuando ya todos se fueron.,"Si firmas mañana, mi³-hen² kuøɁ¹² la lumbre.","No esperes, porque el comité mi³-hen² kuøɁ¹² la lumbre el año pasado."
teiɁ¹² yuɁ³ no camino,Verb phrase with natural-object metaphor and locative complement.,To leave a clear sign or clue for others to follow.,dejar una pista clara.,B1,travel; instructions; storytelling; search and rescue,"neutral, practical",Reflects mountain paths where visible marks help relatives find the right trail.,/teīʔ yùʔ no kamino/,Diego teiɁ¹² yuɁ³ no camino para que llegáramos bien.,La partera teiɁ¹² yuɁ³ no camino con sus palabras.,"En el cuento, el muchacho teiɁ¹² yuɁ³ no camino antes de cruzar el monte."
ɁmoɁ² ndsa³ en el morral,Nominal predicate idiom with hidden-object metaphor and locative phrase.,"To keep a worry, secret, or resentment inside without saying it.",guardar un secreto o preocupación.,B2,family; gossip; counseling; emotional speech,"colloquial, introspective","References the morral as a personal container carried in work, travel, and market life.",/ʔmòʔ ndsā en el moral/,Rosa trae ɁmoɁ² ndsa³ en el morral desde la reunión.,No cargues ɁmoɁ² ndsa³ en el morral; habla con tu hermano.,"El joven sonrió, pero todos vieron ɁmoɁ² ndsa³ en el morral."
siugɁ² ndø³ la milpa,Verb phrase with agricultural object; metaphorical perfective or habitual reading.,To repair a problem at its root rather than only hiding symptoms.,resolver la causa principal.,B2,work; agriculture; administration; family disputes,"practical, advisory","Milpa imagery frames care, weeding, and repair as patient community knowledge.",/siuʔ ndø̄ là milpa/,El comité siugɁ² ndø³ la milpa cuando organizó el agua.,"Para que no vuelva el pleito, siugɁ² ndø³ la milpa.",Mi tío dice que una disculpa verdadera siugɁ² ndø³ la milpa.
hleg² Ɂia¹² bajo la nube,Intransitive motion/stative phrase with atmospheric locative complement.,To hesitate because the situation is unclear or risky.,dudar por falta de claridad.,B1,weather talk; decision-making; travel; advice,"poetic, cautious",Mountain weather and low clouds often shape travel timing and everyday decisions.,/hleɡ́ ʔiã̀ baxo la nube/,Ana hleg² Ɂia¹² bajo la nube antes de aceptar el cargo.,"Cuando no hay papeles claros, todos hleg² Ɂia¹² bajo la nube.",No hleg² Ɂia¹² bajo la nube; pregunta primero.
tug¹² dsaɁ³ como campana,Comparative idiom with verb plus body/speech noun and simile.,To announce something loudly so everyone knows.,decirlo públicamente.,A2,market; announcements; joking; community news,"colloquial, humorous",Community announcements and church bells provide a local sound image for public knowledge.,/tuɡ dsaʔ komo kampana/,Miguel tug¹² dsaɁ³ como campana que habrá faena.,No cuentes eso si no quieres que Elena tug¹² dsaɁ³ como campana.,El niño tug¹² dsaɁ³ como campana la noticia del viaje.
u²+lian¹ corazón de piedra,Possessive/stative idiom combining Chinantec predicate with Spanish noun phrase.,To act stubbornly or without compassion.,ser terco o poco compasivo.,B2,criticism; family conflict; storytelling; politics,"critical, metaphorical","Stone imagery is widespread in highland speech for hardness, endurance, and stubbornness.",/u lian korason de piedra/,El comprador u²+lian¹ corazón de piedra y no quiso escuchar.,No seas u²+lian¹ corazón de piedra con tu hermana.,"En la historia, el patrón u²+lian¹ corazón de piedra hasta que llegó la lluvia."
ngē¹³ luz en la boca,Nominal predicate idiom with abstract-quality metaphor and body-location phrase.,"To have persuasive, truthful, or clarifying speech.",hablar con claridad y convencer.,C1,public speaking; teaching; mediation; ceremony,"elevated, admiring, poetic","Connects light with guidance in oral teaching, mediation, and ceremonial speech.",/ŋē luz en la boka/,La abuela ngē¹³ luz en la boca cuando contó el origen del pueblo.,El maestro ngē¹³ luz en la boca y los niños entendieron.,"Para calmar el pleito, se necesita alguien con ngē¹³ luz en la boca."
