Idiom (Noon),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Noon)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Ɗú ɗekoh, xel hayɗoh.",Fixed imperative proverb: negative/quieting imperative followed by an independent declarative clause.,Silence and patience allow good judgment to arrive; do not speak too quickly in tense moments.,Be calm before deciding.,B1,family mediation; village discussion; conflict de-escalation; teaching children,"proverbial, advisory, calm",Associated with elder speech in Thiès-area household and courtyard settings where listening before judgment is valued.,/ɗu ɗekoh xel hajɗoh/,"Ndaaɓaa hoti, a an: «Ɗú ɗekoh, xel hayɗoh.»","Ca ndaje ga, magaa haaloh: «Ɗú ɗekoh, xel hayɗoh.»","A waxtaanu baaga, ɓa dëgël: «Ɗú ɗekoh, xel hayɗoh.»"
"Ndox dooɓaa, mbind du yëf.",Metaphorical equative clause contrasting water and writing; gnomic declarative.,Words or promises without action do not produce lasting results.,Action matters more than speech.,B2,workplace; education; politics; community organizing,"critical, proverbial, slightly ironic","Built on agrarian imagery: water sustains fields, but marks on paper alone cannot feed people.",/ndox doːɓaː mbind du jəf/,"O patron haal na lool, waaye ndox dooɓaa, mbind du yëf.","Ndaaɓi jang, ndox dooɓaa, mbind du yëf.","Ɓa feyɗoh plan gaa, ndox dooɓaa, mbind du yëf."
"Kër am ƴaak, oon am ɓaat.",Balanced nominal clause with parallel possessive predicates.,"Every household has hidden pressures, and every person carries a burden.",Everyone has difficulties.,A2,daily speech; sympathy; family; counseling,"colloquial, compassionate","Reflects courtyard-family life in Serer-Noon communities, where private hardship is recognized without public shame.",/kər am ƴaːk oːn am ɓaːt/,"Bul ñaawlu ko; kër am ƴaak, oon am ɓaat.","Mi rangaa ne, kër am ƴaak, oon am ɓaat.","Ndaaɓaa roŋoh: kër am ƴaak, oon am ɓaat."
"Caangin suusaa, Noon du réer.",Identity proverb: topicalized ethnolinguistic noun phrase plus negated existential/declarative clause.,A person grounded in their language and community does not lose their identity.,Language protects identity.,B2,language preservation; education; cultural events; activism,"poetic, proud, formal",References the Cangin linguistic family and Serer-Noon cultural identity around Thiès and surrounding villages.,/caːŋgin suːsaː noːn du reːr/,"Jàngal xale yi: Caangin suusaa, Noon du réer.","Ca festival gaa, ɓa woy: Caangin suusaa, Noon du réer.","Bu nu fàtte làkk wi, caangin suusaa, Noon du réer."
"Kooñ gu ɗif, loxo gu set.",Nominal parallel idiom: body-part metaphor with adjectival predicates.,A person may be poor or worn down yet remain honest and dignified.,Poverty does not equal dishonesty.,C1,moral teaching; literature; social commentary; praise,"poetic, dignified, ethical","Draws on hand imagery common in manual labor and market exchange, where clean hands symbolize moral integrity.",/koːɲ gu ɗif loxo gu set/,"A liggéey ci suuf, kooñ gu ɗif, loxo gu set.","Ñu doyul alal, waaye kooñ gu ɗif, loxo gu set.","Magaa sant ko: kooñ gu ɗif, loxo gu set."
"Ɓaat ga ɗaakaa, gëj ga dég.",Personification clause: a concealed voice paired with a listening/receiving community.,Even a quiet complaint or hidden truth eventually becomes known.,The truth will eventually be heard.,C1,politics; family disputes; whistleblowing; storytelling,"serious, cautionary, literary",Evokes oral society and communal listening: hidden speech rarely remains hidden forever.,/ɓaːt ga ɗaːkaː gəj ga deg/,"Mu neexul wax, waaye ɓaat ga ɗaakaa, gëj ga dég.","Ci kër ga, ɓaat ga ɗaakaa, gëj ga dég.","Njiit li wara xam: ɓaat ga ɗaakaa, gëj ga dég."
"Mburu bu dagan, xale du jooy.",Conditional/causal proverb using food imagery and negated result clause.,"When basic needs are met, distress decreases; care prevents conflict.",Provide what is needed and peace follows.,B1,parenting; household management; social welfare; hospitality,"warm, practical, communal",Bread/food imagery connects with hospitality and child care in Senegalese domestic life.,/mburu bu dagan xale du joːj/,"Jox leen lekk ji; mburu bu dagan, xale du jooy.","Ci daara, mburu bu dagan, xale du jooy.","Ndey jaa ree: mburu bu dagan, xale du jooy."
"Yoon wi ñaaƴ, waaye tank yi xam.",Concessive clause: difficult path contrasted with experienced feet.,Experienced people can manage hardship because they know the road.,Experience helps people overcome difficulty.,B2,travel; apprenticeship; mentoring; migration,"encouraging, wise, metaphorical","Uses path-and-feet imagery from walking between neighborhoods, fields, markets, and villages around Thiès.",/joːn wi ɲaːƴ waaje taŋk ji xam/,"Bul ragal; yoon wi ñaaƴ, waaye tank yi xam.","Sëriñ bi indi nu, yoon wi ñaaƴ, waaye tank yi xam.","A dajal liggéeykat yi: yoon wi ñaaƴ, waaye tank yi xam."
Saaga du togg ci ndab bu saf.,Negative metaphorical clause: insulting speech compared to cooking in a tasty pot.,Harsh words cannot create a good relationship or productive outcome.,Insults do not solve problems.,B2,conflict; workplace feedback; family argument; public debate,"ironic, corrective, colloquial","Based on cooking metaphors: good food requires balance, just as good speech requires restraint.",/saːga du togg ci ndab bu saf/,Bul ko xas; saaga du togg ci ndab bu saf.,"Ca biro ba, ɓa fàttali ko: saaga du togg ci ndab bu saf.","Wax ko ak teey, ndax saaga du togg ci ndab bu saf."
"Ƴaal ga ŋgërëm, ndaje ga wér.",Causal communal proverb: praise/gratitude noun phrase followed by healthy-meeting clause.,Respect and gratitude keep community relations healthy.,Thankfulness strengthens cooperation.,A2,community meetings; ceremonies; workplace teamwork; family life,"polite, communal, appreciative","Rooted in greeting, thanks, and public acknowledgment practices at gatherings and rites of passage.",/ƴaːl ga ŋgərəm ndadʒe ga weːr/,"Nu sant ɓeen ñépp; ƴaal ga ŋgërëm, ndaje ga wér.","Magaa tàmbali ak ƴaal ga ŋgërëm, ndaje ga wér.","Ci ngente ga, ɓa wax: ƴaal ga ŋgërëm, ndaje ga wér."
