Idiom (Magahi),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Magahi)",First Example Sentence,Second Example Sentence,Third Example Sentence
नाक कट जाना,अकर्मक संयुक्त क्रिया; संज्ञा ‘नाक’ + क्रिया-समूह ‘कट जाना’; सम्मान-हानि बतावे वाला स्थिर रूप।,"किसी परिवार, समूह, या व्यक्ति के मान-सम्मान पर चोट पहुँचना।",बेइज्जती हो जाना या प्रतिष्ठा घट जाना।,B1,"परिवार, गाँव-समाज, राजनीति, सामाजिक आलोचना","बोलचाल; गंभीर, आलोचनात्मक",मगध क्षेत्र में ‘नाक’ इज्जत और सामाजिक पहचान के प्रतीक रूप में बहुत पुरान लोक-प्रयोग से जुड़ल हई।,[naːk kəʈ d͡ʒaːnaː],सभा में झूठ पकड़ा गेल त पूरा दल के नाक कट गेल।,बराती के सामने झगड़ा कइला से घरवाला के नाक कट जाइत हई।,"गाँव के स्कूल में घोटाला खुलल, त प्रधानाध्यापक के नाक कट गेल।"
आँख में धूर झोंकना,सकर्मक क्रियापद-समूह; शरीर-अंग संज्ञा + परसर्गीय पद ‘में’ + वस्तु ‘धूर’ + क्रिया ‘झोंकना’।,किसी के साथ चालाकी से धोखा करना या सच्चाई छिपा देना।,धोखा देना या भ्रमित करना।,B2,"व्यापार, चुनाव, पारिवारिक विवाद, चेतावनी","बोलचाल; आरोपात्मक, व्यंग्यात्मक","धूल-भरा ग्रामीण रास्ता और खेतिहर जीवन के अनुभव से उपजल बिंब, जहाँ आँख में धूर पड़ना सचमुच देखने में बाधा बने हई।",[ãːkʰ meː d̪ʱuːr d͡ʒʱõːknaː],दुकानदार कम तौल के ग्राहक के आँख में धूर झोंक देलक।,कागज पर मीठ बात लिख के कंपनी किसान के आँख में धूर झोंक रहल हई।,बिना हिसाब देखले ओकर बात मानब त ऊ तोहर आँख में धूर झोंक देतई।
दूध के जरे छाछ फूँक-फूँक के पीए,लोकोक्तिपरक वाक्य; कर्म-कारक ‘दूध के’ + भूतकर्म ‘जरे’ + पुनरावृत्त क्रिया-विशेषण ‘फूँक-फूँक’ + क्रिया ‘पीए’।,एक बेर चोट खाएल आदमी आगे बहुत सावधानी बरतता हई।,बुरा अनुभव के बाद व्यक्ति अधिक सतर्क हो जाता है।,B2,"सलाह, अनुभव-कथा, परिवार, खेती-बाड़ी, व्यापार","लोक-ज्ञान; समझावन, सहानुभूतिपूर्ण","दूध-दही आधारित ग्रामीण भोजन-संस्कृति से जुड़ल पुरान कहावत, जे जोखिम-स्मृति के सहज चित्र बनावऽ हई।",[duːd̪ʱ keː d͡ʒəreː t͡ʃʰaːt͡ʃʰ pʰũːk pʰũːk keː piːeː],"पिछला साल ठगाइल रहल, से अब ऊ दूध के जरे छाछ फूँक-फूँक के पीए हई।","एक बेर गलत बीज ले लेलका, त किसान अब दूध के जरे छाछ फूँक-फूँक के पीए।",पुरान साझेदारी में घाटा खा के दुकानदार दूध के जरे छाछ फूँक-फूँक के पीए लगल।
हाथ पर हाथ धर के बैठल रहना,क्रिया-समूह; संज्ञा ‘हाथ’ के पुनरुक्ति + परसर्ग ‘पर’ + कृदंत ‘धर के’ + अवस्थात्मक क्रिया ‘बैठल रहना’।,काम करे के जरूरत होखो तबो निष्क्रिय रहना।,बिना प्रयास किए बैठे रहना।,A2,"कार्यस्थल, घर, स्कूल, संकट-प्रबंधन","बोलचाल; फटकार, व्यावहारिक",गाँव के सामूहिक श्रम-परंपरा में काम से कतरावे वाला के ऊपर कहे जाए वाला प्रत्यक्ष शारीरिक बिंब।,[haːt̪ʰ pər haːt̪ʰ d̪ʱər keː bɛʈʰəl rəhnaː],"तालाब टूट रहल हई, अउर तू हाथ पर हाथ धर के बैठल ह।","फसल सूख रहल रहे, त पंचायत हाथ पर हाथ धर के बैठल न रह सकऽ हई।",परीक्षा नजदीक हई; हाथ पर हाथ धर के बैठल रहब त पछतइब।
कान में तेल डाल के सोना,अवस्थात्मक क्रिया-समूह; शरीर-अंग संज्ञा + परसर्गीय पद + क्रिया-समूह ‘तेल डाल के सोना’।,जरूरी बात या खतरा सुनके भी अनदेखा करना।,चेतावनी की उपेक्षा करना।,B1,"प्रशासन, परिवार, शिकायत, जन-समस्या","बोलचाल; आलोचनात्मक, तंजपूर्ण",कान में तेल डालना लोक-चिकित्सा और आराम से जुड़ल छवि हई; मुहावरा में ई जान-बूझकर न सुनऽ के अर्थ ले ले हई।,[kaːn meː t̪eːl ɖaːl keː soːnaː],"सड़क पर गड्ढा बढ़ रहल हई, मुदा अफसर कान में तेल डाल के सो रहल हथ।","माय बार-बार समझावऽ हई, आउ बेटा कान में तेल डाल के सोवल हई।",बाढ़ के सूचना मिलला परो गाँव के कुछ लोग कान में तेल डाल के सुतल रहल।
अपन पाँव पर कुल्हाड़ी मारना,सकर्मक क्रिया-समूह; आत्मवाचक विशेषण ‘अपन’ + अंग-संज्ञा + परसर्ग ‘पर’ + उपकरण-संज्ञा + क्रिया ‘मारना’।,अपना ही नुकसान वाला काम खुद कर देना।,अपने हित के विरुद्ध निर्णय लेना।,B1,"सलाह, कारोबार, पढ़ाई, राजनीति, रिश्तेदारी",बोलचाल; चेतावनीपूर्ण,"लकड़ी काटे और खेत-काम में कुल्हाड़ी के प्रयोग से पैदा ग्रामीण रूपक, जहाँ असावधानी सीधा चोट बन जाला।",[əpən pãːw pər kulʱaːɽiː maːrnaː],बिना पढ़ले नौकरी छोड़ब त अपन पाँव पर कुल्हाड़ी मारब।,ग्राहक से रूखा बोल के दुकानदार अपन पाँव पर कुल्हाड़ी मार लेलक।,साझा खेत के पानी रोकना अपन पाँव पर कुल्हाड़ी मारला जइसन हई।
ऊँट के मुँह में जीरा,नाममूलक उपमान-वाक्यांश; बड़े उपभोक्ता ‘ऊँट’ + संबंध-चिह्न ‘के’ + स्थान ‘मुँह में’ + अल्प वस्तु ‘जीरा’।,जरूरत के तुलना में बहुत कम मात्रा या सहायता मिलना।,आवश्यकता से बहुत कम संसाधन मिलना।,B1,"राहत, वेतन, भोजन, सरकारी योजना, संसाधन-वितरण","बोलचाल; व्यंग्यात्मक, शिकायतपूर्ण","बड़े जानवर और छोटे मसाला के विरोधाभास से बनल लोक-बिंब, जे अभाव के अतिशयोक्ति से बतावऽ हई।",[ũːʈ keː mũh meː d͡ʒiːraː],दस परिवार खातिर पाँच किलो चावल ऊँट के मुँह में जीरा हई।,महँगाई में एतना बोनस ऊँट के मुँह में जीरा साबित भेल।,"पूरा टोला के दवाई चाही, आ डब्बा एकेटा भेजल गेल; ई त ऊँट के मुँह में जीरा हई।"
एक तीर से दू गो निशाना लगाना,क्रियात्मक उपमान; संख्या ‘एक’ + उपकरण-संज्ञा ‘तीर’ + अपादान ‘से’ + मात्रा-सूचक ‘दू गो’ + कर्म ‘निशाना’ + क्रिया ‘लगाना’।,एक काम से दो लाभ या दो लक्ष्य हासिल करना।,एक प्रयास से दो परिणाम प्राप्त करना।,B2,"योजना, व्यापार, पढ़ाई, राजनीति, दैनिक निर्णय","बोलचाल; प्रशंसात्मक, रणनीतिक","तीरंदाजी और शिकार-संबंधी पुरान रूपक, जे कुशलता और दूरदर्शिता के संकेत दे हई।",[eːk t̪iːr seː d̪uː goː niʃaːnaː ləgaːnaː],"बाजार जाए में किताबो ले अइब, एक तीर से दू गो निशाना लग जायत।",मेले में दुकान लगाके ऊ कमाइयो करलक आ प्रचारो; एक तीर से दू गो निशाना लगौलक।,ऑनलाइन बैठक रखला से समयो बचल आ पटना जाए के खरचो; एक तीर से दू गो निशाना लागल।
घर के भेदी लंका ढाहे,लोकोक्तिपरक स्थिर वाक्य; संबंध-पद ‘घर के’ + कर्ता ‘भेदी’ + कर्म ‘लंका’ + क्रिया ‘ढाहे’।,भीतर का व्यक्ति रहस्य खोलकर बड़ा नुकसान करा सकता है।,आंतरिक व्यक्ति द्वारा सूचना लीक होने से हानि होती है।,C1,"राजनीति, परिवार, संगठन, व्यापार, रणनीति","लोक-नीति; चेतावनी, गंभीर","रामायण-परंपरा में विभीषण-प्रसंग से जुड़ल कहावत, मगध के कथा-गायन और लोकचर्चा में खूब सुनल जाला।",[ɡʱər keː bʱeːd̪iː ləŋkaː ɖʱaːheː],"योजना बाहर कैसे पहुँचल, घर के भेदी लंका ढाहे वाला बात लग रहल हई।",दल के बैठक में कहल बात अखबार में छप गेल; सचमुच घर के भेदी लंका ढाहे।,"कारखाना के राज प्रतिस्पर्धी तक पहुँच गेल, त मालिक कहलखिन कि घर के भेदी लंका ढाहे।"
"न नौ मन तेल होयत, न राधा नचत",द्विपदीय निषेधात्मक लोकोक्ति; समांतर नकार ‘न...न...’ + परिमाण-पद + भविष्य/संभावना क्रिया ‘होयत/नचत’।,जान-बूझकर असंभव शर्त रखकर काम टाल देना।,अव्यावहारिक शर्त के कारण काम न होना।,C2,"व्यंग्य, राजनीति, दफ्तर, सौदेबाजी, साहित्यिक टिप्पणी","लोकोक्तिपरक; व्यंग्यात्मक, चुटीला","लोकनृत्य, तेल-दीप और उत्सव-संस्कृति से जुड़ल अतिशयोक्तिपूर्ण शर्त; मगही-बिहारी बोलचाल में काम टालू रवैया पर तंज।",[nə nɔː mən t̪eːl hoːjət̪ nə raːd̪ʱaː nət͡ʃət̪],"अफसर एतना कागज माँग रहल हथ कि न नौ मन तेल होयत, न राधा नचत।","तू पहिले शहर भर के सहमति लावे कहऽ ह, ई त न नौ मन तेल होयत, न राधा नचत।","समिति अइसन नियम बना देलक कि न नौ मन तेल होयत, न राधा नचत।"
