Idiom (Braj Bhasha),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
आसमान सिर पर उठाय लियो,क्रियात्मक मुहावरा; परसर्गीय वाक्यांश + संयुक्त क्रिया (उठाय लियो),अत्यधिक शोर या हंगामा करना,बहुत अधिक हंगामा करना,B1,"दैनिक वार्तालाप, परिवार, हास्य","बोलचाल, अतिशयोक्तिपूर्ण",ग्रामीण ब्रज समाज में सामूहिक शोर-शराबे की छवि से उत्पन्न,aːsmaːn sɪr pər ʊʈʰaːj lɪjoː,बच्चन ने खेलत-खेलत आसमान सिर पर उठाय लियो।,छोटे से झगड़े पर तू आसमान सिर पर उठाय लियो है।,गाँव में खबर फैलत ही सबने आसमान सिर पर उठाय लियो।
नाक कटाय दैना,संज्ञा + सकर्मक क्रिया संरचना,अपमानित करना या मानहानि करना,इज्जत खराब करना,B2,"परिवार, समाज, नैतिक चर्चा","गंभीर, सामाजिक",भारतीय उपमहाद्वीप में सम्मान-आधारित सामाजिक संरचना से संबंधित,naːk kəʈaːj dɛnaː,उसकी हरकत ने पूरे खानदान की नाक कटाय दै दी।,"ऐसो काम मत कर, घर की नाक कटाय दैगो।",झूठ बोल कै तू अपनी नाक कटाय दै रहो है।
दूध का जला छाछ फूँक-फूँक कर पीवै,उपवाक्यात्मक लोकोक्ति; कारण-परिणाम संरचना,पूर्व अनुभव से सीखकर अत्यधिक सावधान रहना,पहले के अनुभव से सतर्क रहना,C1,"नीति, सलाह, लोककथा","लोकोक्ति, शिक्षाप्रद",ग्रामीण दुग्ध-आधारित जीवनशैली से संबंधित,duːdʱ kaː dʒəlaː tʃʰaːtʃ pʰuːŋk pʰuːŋk kər piːʋɛː,"एक बार घाटो उठायो, अब दूध का जला छाछ फूँक-फूँक कर पीवै।",व्यापार में धोखा खाय कै वह दूध का जला छाछ फूँक-फूँक कर पीवै।,अब मैं भी दूध का जला छाछ फूँक-फूँक कर पीवै हौं।
आँखन में धूर झोंकना,संज्ञा + परसर्ग + क्रियात्मक संरचना,धोखा देना या छल करना,धोखा देना,B2,"राजनीति, दैनिक वार्तालाप, व्यंग्य","व्यंग्यात्मक, बोलचाल",ग्रामीण परिवेश में धूल-धक्कड़ की प्रतीकात्मकता से उत्पन्न,aːŋkʰən meː dʱuːr dʒʱoːŋknaː,उसने जनता की आँखन में धूर झोंक दी।,तू मोरी आँखन में धूर झोंक रहो है।,सौदागर ने गाँव वालें की आँखन में धूर झोंकी।
हाथ पर हाथ धरि बैठना,क्रियात्मक मुहावरा; पुनरुक्ति + धातु + बैठना,निष्क्रिय रहना या कोई कार्य न करना,कुछ न करना,A2,"दैनिक जीवन, परामर्श, परिवार","सामान्य, प्रेरणात्मक",ग्रामीण श्रम संस्कृति में सक्रियता के महत्व से जुड़ा,haːtʰ pər haːtʰ dʱərɪ bɛʈʰnaː,तू हाथ पर हाथ धरि बैठो काहे है?,मुसीबत में हाथ पर हाथ धरि बैठना ठीक नाहिं।,वह संकट में भी हाथ पर हाथ धरि बैठो रहो।
कान में तेल डारि सो रहना,संज्ञा + परसर्गीय वाक्यांश + संयुक्त क्रिया,पूरी तरह अनदेखी करना,ध्यान न देना,B1,"दैनिक वार्तालाप, व्यंग्य","हास्यात्मक, आलोचनात्मक",ग्रामीण घरेलू उपचार और विश्राम की छवि से जुड़ा,kaːn meː teːl ɖaːrɪ soː rəhnaː,"मैं पुकारत रहो, वह कान में तेल डारि सो रहो।",तू सलाह सुन कै कान में तेल डारि सो रहत है।,सरकार कान में तेल डारि सो रही है।
चार चाँद लगाय दैना,संख्या + संज्ञा + सकर्मक क्रिया संरचना,किसी चीज़ की शोभा बढ़ा देना,सुंदरता बढ़ाना,B2,"साहित्य, प्रशंसा, उत्सव","प्रशंसात्मक, काव्यात्मक",चाँद को सौंदर्य का प्रतीक मानने की परंपरा से संबंधित,tʃaːr tʃaːnd ləgaːj dɛnaː,तेरी मुस्कान ने समारोह में चार चाँद लगाय दै दिए।,फूलन ने बगिया में चार चाँद लगाय दै दिए।,उसकी कविता ने कार्यक्रम में चार चाँद लगाय दै दिए।
राई का पहाड़ बनाय दैना,संज्ञा + परसर्ग + संज्ञा + सकर्मक क्रिया,छोटी बात को बढ़ा-चढ़ा कर कहना,बात को बढ़ा-चढ़ा कर कहना,B1,"दैनिक जीवन, तर्क-वितर्क",आलोचनात्मक,कृषि समाज में राई (छोटा दाना) की तुलना पहाड़ से करने की अतिशयोक्ति,raːɪ kaː pəhaːɽ bənaːj dɛnaː,तू हर बात में राई का पहाड़ बनाय दै है।,छोटी सी भूल पर राई का पहाड़ मत बनायो।,उसने समाचार को राई का पहाड़ बनाय दियो।
सिर मुँडाय के ओले पड़ना,क्रियात्मक लोकोक्ति; उपवाक्यात्मक संरचना,मुसीबत के बाद तुरंत दूसरी मुसीबत आ जाना,एक के बाद एक संकट आना,C1,"लोककथा, हास्य, ग्रामीण चर्चा","लोकोक्ति, व्यंग्यात्मक",ग्रामीण जीवन में असमय वर्षा या ओलों की मार से जुड़ा अनुभव,sɪr mʊɳɖaːj keː oːleː pəɽnaː,"नौकरी गई और ऊपर से कर्ज, सिर मुँडाय के ओले पड़ गए।","बीमारी के बाद व्यापार भी ठप, सिर मुँडाय के ओले पड़ गए।",एक संकट टल्यो नाहिं कि सिर मुँडाय के ओले पड़ गए।
मुँह की खायो,क्रियात्मक मुहावरा; भूतकालिक रूप,पराजित होना या अपमानित होकर लौटना,हार जाना,B1,"खेल, बहस, राजनीति","अनौपचारिक, व्यंग्यात्मक",मल्लयुद्ध और लोकप्रतियोगिताओं की परंपरा से जुड़ा,mʊ̃ː kɪ kʰaːjoː,बहस में वह मुँह की खायो।,झूठ पकड़े जात ही वह मुँह की खायो।,चुनाव में विरोधी दल मुँह की खायो।
