Idiom,Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Romansh Vallader)",First Example Sentence,Second Example Sentence,Third Example Sentence
Tirar l'aua sün seis muglin,Locuziùn verbala cun verb transitiv e complement reflexiv implicit,Agir be in favur da seis interess persunals,Pensar be a l'agen avantag,B2,"Politica, lavur, discussiuns socialas","Colloquial, critic",Expressiun alpina ligada a muglins d'aua engiadinais e la distribiziun da forza idraulica,/tiˈrar lˈawa syn sejs muˈʎin/,Il cusglier cumünal tira adüna l'aua sün seis muglin cur chi's discuorra dal büdschet.,Els han refüsà il proget perquai cha minchün tiraiva l'aua sün seis muglin.,"Scha tü lessast güdar il cumün, nu dessast tü be tirar l'aua sün teis muglin."
Avair il nas in tuot,Construcziun verbala cun verb auxiliar e locuziun preposiziunala,As masdar dapertuot e vulair savair tuot,Esser memma curios,A2,"Famiglia, vschinauncha, umor quotidian","Colloquial, ironic",Idiom popular in vals rumantschas per persunas chi's masdan in affars esters,/aˈvair il naz in twot/,Mia sour ha adüna il nas in tuot e sa tuot avant ils oters.,Il vegl chantunier avaiva il nas in tuot chi capitaiva i'l cumün.,Nu metter teis nas in tuot schi nu t'ha ingün dumandà.
Far d'üna müra ün chantun,Frasa idiomatica cun comparaziun metaforica,Exagerar ün pitschen problem,Far ün problem massa grond,B1,"Discussiuns, relaziuns, medias",Colloquial,Deriva da l'architectura tradiziunala chantunala e da la simbolica da chantun e chantunada,/far dyna ˈmyra yn tʃanˈtun/,El fa adüna d'üna müra ün chantun scha alch nu va sco previs.,La gasetta ha fat d'üna müra ün chantun pervi d'ün pitschen sbagl administrativ.,Nu fetscha d'üna müra ün chantun e discuorra calmamaing cun tia collega.
Ir cul chau tras il mür,Construcziun verbala figurativa cun preposiziun locativa,Essar testard e vulair cuntinuar malgrà obstachels,Persistar sainza cumpromiss,B2,"Politica, sport, famiglia","Colloquial, critic",Immaginaziun alpina da persunas chi prouvan da rumper barriers fisicas,/ir kul tʃaw tras il myr/,Il giuven va cul chau tras il mür e nu taidla ingün cussagl.,Ella es ida cul chau tras il mür per realisar seis affar.,"Scha nus giain cul chau tras il mür, pudaina perder buns partenaris."
Tschertar la vacha naira illa stalla stüra,Locuziun verbala cun infinitiv e sintagma local,Perder temp cun tschertar quai chi nun es quasi chattabel,Far üna retschercha inutila,C1,"Academia, investigaziun, umor","Poetic, ironic",Inspirà da stablas engiadinaisas sainza glüm electica in temps passats,/tʃerˈtar la ˈvatʃa ˈnajra ila ˈstala ˈstyra/,Tü tscherchast la vacha naira illa stalla stüra scha prouvas da satisfar a tuots.,Ils istorikers han dit cha quai füss sco tschertar la vacha naira illa stalla stüra.,Eu nu vögl plü tschertar la vacha naira illa stalla stüra cun quistas teorias absurdas.
Avair ün crap sün il cour,Construcziun metaforica cun object nominal,Sentir gronda tristezza o preocupaziun,Esser fich triste o inquiet,B1,"Relaziuns, litteratura, discurs persunals","Poetic, emoziunal",La simbolica dal crap sco pais emoziunal es derasada in tuot l'arc alpin,/aˈvair yn krap syn il ku̯ər/,Daspö la dispitta ha ella ün crap sün il cour.,Eu n'haiva ün crap sün il cour cur cha meis figl es parti a l'exteriur.,"Scha tü nu discuorras da teis problems, restarà il crap sün teis cour."
Tegner la lingua davous ils daints,Frasa verbala cun infinitiv e complement local,Nu dir quai chi's pensa per evitar problems,Restar quiet,B2,"Lavur, diplomazia, famiglia","Formal, prudent",Associà cun normas socialas da discreziun in pitschnas cumünanzas alpinas,/teˈɲer la liŋgwa daˈvous ils dajnts/,Durant la radunanza ha'l stuvü tegner la lingua davous ils daints.,Ella nu sa tegner la lingua davous ils daints cur ch'ella vezza ün'ingiustia.,Savais tü tegner la lingua davous ils daints fin cha nus vaivna plü infuormaziuns?
Dar vinavant sco ün chantun sainza glüna,Comparaziun idiomatica cun adverb da maniera,As mover o agir sainza orientaziun,Esser disorientà,C1,"Litteratura, critica sociala, umor","Literary, sarcastic",Referenza a nots alpinas stüras sainza glüm da glüna,/dar vinaˈvant sko yn tʃanˈtun ˈsajntsa ˈglyna/,Il nouv manager dà vinavant sco ün chantun sainza glüna.,"Davo la müdada politica, blers vaivan dat vinavant sco ün chantun sainza glüna.",Nu da vinavant sco ün chantun sainza glüna e legia bain las instrucziuns.
Metter charin sün la plaja,Frasa verbala metaforica cun complement preposiziunal,Far ün gest superficial per zuppar ün problem,Far be ün pitschen solliev temporar,C2,"Medicina, politica, critica culturala","Formal, critic",L'expressiun deriva da metter grass o charin sün plajas illa medischina populara,/meˈter tʃaˈrin syn la ˈplaʒa/,La refuorma metta be charin sün la plaja sainza schoglier il problem.,Els han pruvà da metter charin sün la plaja cun promischiuns vidas.,"Scha nus cuntinuain uschea, mettaina charin sün la plaja empè da sanar il sistem."
Esser sco ün chantun al vent,Comparaziun cun verb copulativ,Esser instabel o influenzabel,Müdar opiniun facilmaing,B1,"Politica, adolescenza, relaziuns","Colloquial, descriptiv",Immaginaziun da chantunas e fanellas expostas al vent da muntogna,/ˈeser sko yn tʃanˈtun al vent/,El es sco ün chantun al vent e müda opiniun mincha di.,Ils investiders d'eiraivan sco ün chantun al vent dürant la crisa.,Nu sta esser sco ün chantun al vent schi vain critica.
