Idiom (Cayuga),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,Phonetic Transcription (IPA),First Example Sentence,Second Example Sentence,Third Example Sentence
Onǫhsaˀ ganyęh hadihsó:thaˀ,Nominal phrase with embedded animate verb; metaphorical locative framing,To act without responsibility or awareness of consequences,He is being careless.,B2,"Daily speech, family correction, humor","Colloquial, mildly ironic",Traditional emphasis on longhouse responsibility and communal accountability,onũhsɑʔ ganjɛ̃h hadihsóːtʰaʔ,Gęh onǫhsaˀ ganyęh hadihsó:thaˀ neˀ hę:göh.,Ęh neˀ onǫhsaˀ ganyęh hadihsó:thaˀhęˀ.,"Sgę:nöˀ, onǫhsaˀ ganyęh hadihsó:thaˀ."
Honǫweˀ deˀgáhsdęˀ,Verb phrase with prepronominal negative prefix and animate subject,To refuse stubbornly despite advice,She refuses to listen.,C1,"Politics, governance, debate","Serious, critical",Reflects council deliberation traditions and value of consensus,honõweʔ deʔgáhsdɛ̃ʔ,Honǫweˀ deˀgáhsdęˀ neˀ hadihsó:thaˀ.,Ęh neˀ honǫweˀ deˀgáhsdęˀhęˀ.,Gęh honǫweˀ deˀgáhsdęˀ sgę:nöˀ.
Ganyęh agyęˀdahgwáˀ onęh,Active animate verb phrase with object incorporation,To move forward with courage despite uncertainty,He proceeds bravely.,B1,"Motivation, storytelling, youth guidance","Encouraging, poetic",Used in oral narratives emphasizing resilience,ganjɛ̃h agjɛ̃ʔdahgwáʔ onɛ̃h,Ganyęh agyęˀdahgwáˀ onęh neˀ hę:göh.,Ęh neˀ ganyęh agyęˀdahgwáˀ onęh.,Sgę:nöˀ ganyęh agyęˀdahgwáˀ onęh.
Hadigǫhdaˀ neˀ onęh sgę:nöˀ,Declarative clause with evaluative particle,To speak optimistically without realism,He is unrealistically positive.,B2,"Humor, informal discussion",Light sarcasm,Reflects communal teasing traditions,hadigõhdaʔ neʔ onɛ̃h sgɛ̃nøʔ,Hadigǫhdaˀ neˀ onęh sgę:nöˀ neˀ hę:göh.,Ęh neˀ hadigǫhdaˀ neˀ onęh sgę:nöˀ.,Gęh hadigǫhdaˀ neˀ onęh sgę:nöˀ.
Niwagǫ́hdaˀ honǫweˀ,Intransitive animate verb with adverbial modifier,To persist patiently over time,She continues steadily.,A2,"Workplace, home, encouragement","Neutral, supportive",Echoes agricultural seasonal persistence values,niwagṍhdaʔ honõweʔ,Niwagǫ́hdaˀ honǫweˀ neˀ hadihsó:thaˀ.,Ęh neˀ niwagǫ́hdaˀ honǫweˀhęˀ.,Sgę:nöˀ niwagǫ́hdaˀ honǫweˀ.
Onęh hadwę:gǫ́hdaˀ ganyęh,Future tense animate verb phrase with thematic focus,To anticipate success confidently,He expects good results.,B1,"Community planning, youth mentorship","Optimistic, forward-looking",Linked to communal harvest expectations,onɛ̃h hadwɛ̃gṍhdaʔ ganjɛ̃h,Onęh hadwę:gǫ́hdaˀ ganyęh neˀ hę:göh.,Ęh neˀ onęh hadwę:gǫ́hdaˀ ganyęh.,Sgę:nöˀ onęh hadwę:gǫ́hdaˀ ganyęh.
Ganyęh honǫweˀ deˀgáhsdęˀ,Complex clause with negated embedded verb,To doubt someone’s sincerity,He questions her honesty.,C1,"Legal, family disputes","Serious, skeptical",Reflects importance of truth in wampum agreements,ganjɛ̃h honõweʔ deʔgáhsdɛ̃ʔ,Ganyęh honǫweˀ deˀgáhsdęˀ neˀ hadihsó:thaˀ.,Ęh neˀ ganyęh honǫweˀ deˀgáhsdęˀ.,Sgę:nöˀ ganyęh honǫweˀ deˀgáhsdęˀ.
Hadihsó:thaˀ ganyęh niwagǫ́hdaˀ,Declarative clause with agentive focus,To lead quietly but effectively,She leads through action.,B2,"Leadership, governance","Respectful, formal",Honors clan mothers’ traditional leadership style,hadihsóːtʰaʔ ganjɛ̃h niwagṍhdaʔ,Hadihsó:thaˀ ganyęh niwagǫ́hdaˀ neˀ honǫweˀ.,Ęh neˀ hadihsó:thaˀ ganyęh niwagǫ́hdaˀ.,Sgę:nöˀ hadihsó:thaˀ ganyęh niwagǫ́hdaˀ.
Onǫhsaˀ honǫweˀ sgę:nöˀ,Nominal clause with positive evaluative particle,To value home and kin above wealth,Family matters most.,A2,"Family, ceremony","Affectionate, cultural",Rooted in longhouse-centered worldview,onũhsɑʔ honõweʔ sgɛ̃nøʔ,Onǫhsaˀ honǫweˀ sgę:nöˀ neˀ hę:göh.,Ęh neˀ onǫhsaˀ honǫweˀ sgę:nöˀ.,Sgę:nöˀ onǫhsaˀ honǫweˀ sgę:nöˀ.
Hadigǫhdaˀ ganyęh deˀgáhsdęˀ,Animate verb phrase with negative embedded action,To criticize without offering help,He complains but does nothing.,C2,"Political commentary, sarcasm","Ironic, critical",Reflects rhetorical traditions in council speech,hadigõhdaʔ ganjɛ̃h deʔgáhsdɛ̃ʔ,Hadigǫhdaˀ ganyęh deˀgáhsdęˀ neˀ hę:göh.,Ęh neˀ hadigǫhdaˀ ganyęh deˀgáhsdęˀ.,Sgę:nöˀ hadigǫhdaˀ ganyęh deˀgáhsdęˀ.
