Idiom (Ruthenian),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Ruthenian)",First Example Sentence,Second Example Sentence,Third Example Sentence
"Не все золото, што ся блищить.",Заперечна номінальна клауза з відносним підрядним реченням; сталий прислівниковий вислів.,Не слід оцінювати людину чи річ лише за привабливим зовнішнім виглядом.,Зовнішність може бути оманлива.,B1,щоденна мова; порада; родина; торгівля; моральне повчання,нейтральний; повчальний; традиційний,"Поширений слов’янський паремійний тип, пов’язаний із ремісничими й торговими уявленнями про коштовність та видимий блиск.",/nɛ fsɛ ˈzɔlɔtɔ ʂtɔ sʲa ˈblɪʂtɪtʲ/,"Купець красно говорив, але не все золото, што ся блищить.","Не біжи за новою службою лише через платню: не все золото, што ся блищить.","Сукня дорога, та робота крива, бо не все золото, што ся блищить."
"Ліпше птах у руці, ніж сокіл у небі.",Порівняльна прислівникова конструкція з еліпсисом дієслова-зв’язки; двочленна антитеза.,"Надійна мала користь краща за велику, але непевну можливість.","Краще мати певний результат, ніж ризикувати заради непевного.",B1,порада; господарство; робота; навчання; переговори,розмовний; мудрий; обережний,"Мисливський образ із традиційної сільської культури, де птах у руці означає здобуту й перевірену користь.",/ˈlʲipʂɛ ptax u ruˈt͡si nʲiʒ ˈsɔkil u ˈnɛbʲi/,"Прийми певну оплату нині, бо ліпше птах у руці, ніж сокіл у небі.","Він лишив старий дім, та мати казала, що ліпше птах у руці, ніж сокіл у небі.","Для малого майстра ліпше птах у руці, ніж сокіл у небі, особливо взимі."
Вода камінь точить.,Проста двоскладна клауза SVO; теперішній час недоконаного виду; афористичний вислів.,Постійна праця або наполегливість поступово долає навіть важкі перешкоди.,Наполегливість дає результат з часом.,A2,навчання; ремесло; спорт; довготривала праця; мотивація,нейтральний; заохочувальний; народно-мудрий,"Давній природний образ води й каменю, зрозумілий у річковому та млинарському середовищі руських земель.",/wɔˈda ˈkamʲinʲ ˈtɔt͡ʂɪtʲ/,"Пиши щодня по сторінці, бо вода камінь точить.","Учень поволі читав старі тексти, але вода камінь точить.",Не гнівайся на повільний поступ: вода камінь точить.
Язик до Києва доведе.,Проста клауза з персоніфікованим підметом; доконаний майбутній час; топонімічний прислівниковий вислів.,"Хто питає і говорить з людьми, той знайде шлях або розв’яже справу.",Запитання допомагають знайти потрібну інформацію.,A2,подорож; навчання; місто; побутові справи; порада,розмовний; доброзичливий; практичний,"Київ виступає як символ великого руського центру, до якого можна дійти завдяки розпитуванню дорогою.",/jɐˈzɪk dɔ ˈkɪjɛwɐ dɔwɛˈdɛ/,"Не знаєш, де архів? Питай сторожа, язик до Києва доведе.","Мандрівник без карти не злякався, бо язик до Києва доведе.","На ярмарку кожен шлях знайдеш, коли пам’ятаєш, що язик до Києва доведе."
"Не буди лиха, доки тихо.",Заперечний імператив із підрядною часовою клаузою; сталий застережний вислів.,"Не втручайся в небезпечну справу, якщо вона тимчасово не створює проблем.",Не провокуй проблему без потреби.,B2,родина; політика; конфлікти; робочі суперечки; обережна порада,розмовний; застережний; трохи іронічний,Образ «лиха» як майже живої сили походить із народної демонологічної уяви та практичної селянської обережності.,/nɛ bʊˈdɪ ˈlɪxɐ ˈdɔkɪ ˈtɪxɔ/,"Не згадуй перед паном старої скарги, не буди лиха, доки тихо.","Сусіди вже помирилися, тож не буди лиха, доки тихо.","У раді всі мовчали, і писар шепнув: не буди лиха, доки тихо."
Без труду нема плоду.,Безособова генітивна конструкція з прийменником; римований двочленний афоризм.,"Добрий результат неможливий без зусилля, дисципліни й часу.","Щоб досягти результату, треба працювати.",A2,школа; ремесло; господарство; спорт; моральне виховання,нейтральний; дидактичний; традиційний,Аграрний образ плоду як винагороди за працю відбиває рільничу культуру й християнську етику праці.,/bɛz ˈtrudu nɛˈma ˈplɔdu/,Майстер показав мозолі й сказав учневі: без труду нема плоду.,"Коли хочеш читати грамоти легко, пам’ятай: без труду нема плоду.","Сад не родить сам собою, бо без труду нема плоду."
"Де два ся б’ють, третій користає.",Складнопідрядна конструкція з локативно-умовною клаузою; рефлексивне дієслово у множині.,"Коли дві сторони сваряться, інша сторона може скористатися їхнім конфліктом.",Конфлікт між двома людьми може принести вигоду комусь іншому.,B2,політика; торгівля; суд; родинні суперечки; сарказм,розмовний; іронічний; політично-дотепний,"Паремія відома в багатьох слов’янських традиціях і добре пасує до історичного досвіду міських рад, шляхетських спорів та межових конфліктів.",/dɛ dwa sʲa bʲjutʲ ˈtrɛtʲij kɔrɪˈstajɛ/,"Поки брати ділили поле, сусід узяв оренду, бо де два ся б’ють, третій користає.","У купецькій спілці це знали добре: де два ся б’ють, третій користає.","Не сваріться перед урядником, бо де два ся б’ють, третій користає."
Мовчання золото.,Еліптична номінальна конструкція без дієслова-зв’язки; короткий афористичний вислів.,"Іноді краще промовчати, ніж сказати зайве або небезпечне.",У цій ситуації краще не говорити.,A2,суд; дипломатія; сім’я; робота; обережність,нейтральний; стриманий; мудрий,Пов’язаний із широкою європейською традицією протиставлення мовлення й тиші; золото символізує високу вартість стриманості.,/mɔwˈt͡ʂanʲːa ˈzɔlɔtɔ/,"Перед суддею він зважив кожне слово, бо мовчання золото.","Коли брат сердитий, мовчання золото, а жарт може стати іскрою.",Посол усміхнувся й нічого не додав: мовчання золото.
Чужими руками жар вигрібати.,Інфінітивна дієслівна фраза з інструментальним додатком; метафорична конструкція дії.,Використовувати інших людей для виконання небезпечної або неприємної справи.,Перекладати ризиковану роботу на інших.,C1,політика; начальство; інтриги; робота; різка критика,колоквіальний; критичний; саркастичний,"Побутовий образ печі й жару передає небезпеку, яку хтось уникає, підставляючи чужі руки.",/t͡ʂuˈʒɪmɪ rʊˈkamɪ ʒar wɪˈɦrʲibatɪ/,Староста не хотів сваритися з громадою й почав чужими руками жар вигрібати.,"Не дай себе послати першим, бо він любить чужими руками жар вигрібати.","У канцелярії всі бачили, хто чужими руками жар вигрібає."
На злодію шапка горить.,Локативно-предикативна клауза з теперішнім часом; образна номінальна метафора.,"Винна людина сама видає себе тривогою, поведінкою або надмірними виправданнями.","Винний часто поводиться так, що його легко запідозрити.",B2,плітки; суд; родина; гумор; викриття брехні,розмовний; іронічний; викривальний,Фольклорний образ публічного викриття злодія; «палаюча шапка» робить приховану провину видимою для громади.,/na zlɔˈdʲiju ˈʂapkɐ ɦɔˈrɪtʲ/,"Він перший почав виправдовуватися, і всі подумали: на злодію шапка горить.","Коли пропала книга, Семен зблід, бо на злодію шапка горить.","Не треба було кричати на всіх, тепер видно, що на злодію шапка горить."
