Idiom (Tenetehára),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Tenetehára)",First Example Sentence,Second Example Sentence,Third Example Sentence
Ipɨ'a wiko tata romo,"Equative verbal clause with possessed noun ipɨ'a 'heart', intransitive/copular wiko, and postpositional predicate romo; fixed metaphorical clause.","Used of someone whose inner state is intense: angry, brave, restless, or passionately determined.",Aʔe ipɨ'a haku; aʔe uzapo maʔe pɨatã rehe.,B2,"Family advice, conflict talk, leadership, storytelling, warning about impulsive action.","Colloquial, vivid, slightly dramatic.","Builds on the widespread Amazonian image of fire as heat, danger, energy, and transformation in domestic and forest life.",/i.pɨˈʔa wiˈko taˈta ɾoˈmo/,"Ne ipɨ'a wiko tata romo, erezeʔeg katu nehe.","Tuwihaw ipɨ'a wiko tata romo, aʔe rupi awa ukwaw ikatu.","Maʔe uzeapo mehe, ipɨ'a wiko tata romo aʔe."
Uzekok ɨwɨok rehe,Reflexive intransitive verb uzekok with oblique postpositional phrase ɨwɨok rehe; clause used figuratively as a fixed expression.,"To rely on fragile support, depend too much on someone or something that may fail.",Aʔe ojerure katu amo rehe; iapo haw nuzekatu pixik.,B2,"Advice, workplace planning, family responsibilities, cautionary speech.","Colloquial, cautionary, mildly ironic.","Draws from house and village imagery: leaning on a wall evokes support, but also the risk of weak construction.",/u.zeˈkok ɨ.wɨˈok ɾeˈhe/,"Aʔe uzekok ɨwɨok rehe, upaw mehe uzemumikatu pixik.","Nerezekok ɨwɨok rehe nehe, ezapo ne rembiapo pɨatã.","Zane uzekok ɨwɨok rehe rupi, maʔe nuzekatu kwaw."
Oho haikwerupi,Intransitive motion verb oho plus relational postpositional form haikwerupi 'along/after the track'; idiomatic motion construction.,"To follow someone's example, tradition, trail, or social precedent.",Aʔe uzapo amo awa iapo haw rupi.,B1,"Elder speech, teaching, apprenticeship, family history, cultural continuity.","Neutral to respectful, traditional.","References trails, hunting paths, and ancestral routes, where following tracks is both practical skill and social metaphor.",/oˈho hai.kweˈɾu.pi/,"Mitã oho tuw ihaikwerupi, maʔe ikatu uzapo.","Zane ramuĩ oho haikwerupi wa, zane no zaho katu.","Uhem mehe, aʔe oho haikwerupi, nuzawy kwaw."
Maʔeʔɨw iʔa ʔarkatu mehe,"Temporal clause built from compound noun maʔeʔɨw 'fruit tree', intransitive verb iʔa 'bear fruit', and temporal phrase ʔarkatu mehe 'at the proper time'.",Good results arrive in their proper season; one should be patient and not force growth.,Maʔe ikatu uhem karuwahy rupi; eha'arõ katu.,B2,"Parenting, farming, education, long-term projects, consoling someone.","Proverbial, poetic, wise.","Grounded in forest and garden knowledge, where fruiting seasons teach timing, restraint, and ecological attention.",/ma.ʔeˈʔɨw iˈʔa ʔaɾ.kaˈtu meˈhe/,Eha'arõ katu; maʔeʔɨw iʔa ʔarkatu mehe.,"Hemimbo'e nukwaw paw rẽ, maʔeʔɨw iʔa ʔarkatu mehe.",Kuzà he'i imemɨr pe: maʔeʔɨw iʔa ʔarkatu mehe.
Ipira uker ʔɨ pupe,Noun-subject clause with intransitive verb uker 'sleep' and locative postpositional phrase ʔɨ pupe 'in water'; metaphorical existential-location image.,"Someone is comfortable, safe, or fully at home in the place where they belong.",Aʔe upɨta katu iapo haw pe; aʔe ukwaw katu aʔe maʔe.,B1,"Praise, work competence, fishing stories, describing belonging or expertise.","Warm, colloquial, approving.",Uses riverine imagery familiar to Tenetehára life: fish in water represents natural fit and ease.,/i.piˈɾa uˈkeɾ ʔɨ puˈpe/,"Aʔe ʔɨ pe upɨta mehe, ipira uker ʔɨ pupe.","Hemimbo'e karaiw zeʔeg rehe nukwaw, zaner zeʔeg rehe ipira uker ʔɨ pupe.","Pira pɨhɨkpa oho mehe, awa aʔe ipira uker ʔɨ pupe."
Kaʔa uzemim iʔehe,Personified noun kaʔa 'forest' as subject with reflexive/intransitive verb uzemim 'hide itself' and relational postpositional phrase iʔehe; poetic fixed clause.,"A matter is hidden, not yet understood, or protected from careless people.",Maʔe nuzexak kwaw rẽ; teko nuzekatu paw rẽ.,C1,"Storytelling, ritualized caution, politics, secrecy, literary description.","Poetic, indirect, sometimes mysterious.","Reflects respect for the forest as a living space of knowledge, concealment, danger, and protection.",/kaˈʔa u.zeˈmim i.ʔeˈhe/,"Nerekwaw paw rẽ, kaʔa uzemim iʔehe.","Tuwihaw uzeʔeg pixik, kaʔa uzemim iʔehe aʔe rehe.","Maʔe uzeapo pɨhaw mehe, kaʔa uzemim iʔehe."
Zane zeʔeg wiko ʔɨ romo,"Equative clause with inclusive possessive noun phrase zane zeʔeg 'our language/speech', copular wiko, and predicate postpositional phrase ʔɨ romo 'as water'.","Speech should flow, calm, connect, and sustain people rather than wound them.","Zane uzeʔeg katu, zane pɨ'a imomor katu.",C1,"Community meetings, teaching, mediation, speeches, cultural reflection.","Respectful, poetic, conciliatory.","Connects language with water as a life-giving path of relation, memory, and social peace.",/zaˈne zeˈʔeg wiˈko ʔɨ ɾoˈmo/,"Zane zeʔeg wiko ʔɨ romo, aʔe rupi zane pɨ'a ikatu.","Muzeʔegatu haw pe, zane zeʔeg wiko ʔɨ romo nehe.","Awa uzeʔeg pɨatã mehe, imai he'i: zane zeʔeg wiko ʔɨ romo."
Akuxi uzemim ikwar pupe,Animal-subject clause with reflexive/intransitive verb uzemim and locative postpositional phrase ikwar pupe 'inside its hole'; narrative idiom.,"Someone withdraws, avoids confrontation, or hides from responsibility.",Aʔe nuzexak ukar kwaw; aʔe upɨta mombyry teko rehe.,B1,"Humor, criticism, family disputes, workplace accountability, teasing.","Colloquial, humorous, mildly critical.",Uses the agouti and its burrow as a familiar forest image for quick retreat and self-protection.,/a.kuˈʃi u.zeˈmim iˈkwaɾ puˈpe/,"Aʔe nuzepɨaka kwaw, akuxi uzemim ikwar pupe.","Erezeʔeg rẽ, nereho akuxi uzemim ikwar pupe ramõ.","Maʔe pɨatã uhem mehe, amo awa akuxi uzemim ikwar pupe."
Tuwihaw uzeʔeg pɨtum romo,Agentive noun tuwihaw 'leader/chief' plus intransitive speech verb uzeʔeg and comparative/equative postpositional predicate pɨtum romo 'like night/darkness'.,"A person in authority speaks unclearly, evasively, or in a way that hides the truth.",Tuwihaw nuzemume'u katu kwaw; iʔeha nuzexak katu kwaw.,C1,"Politics, community debate, satire, public accountability, formal criticism.","Ironic, critical, socially sharp.","Contrasts expected public clarity with darkness, a metaphor for obscured paths and hidden intentions.",/tu.wiˈhaw u.zeˈʔeg pɨˈtum ɾoˈmo/,"Tuwihaw uzeʔeg pɨtum romo, awa nukwaw maʔe paw.","Muzeʔegatu haw pe, tuwihaw uzeʔeg pɨtum romo rupi zane nupɨʔa katu kwaw.","Aʔe he'i heta maʔe, nuzemume'u kwaw; tuwihaw uzeʔeg pɨtum romo."
Kwarahy uwexak maʔe paw,Personified natural-subject clause: kwarahy 'sun' plus transitive verb uwexak 'sees' and object maʔe paw 'all things'; proverb-like fixed clause.,Truth eventually becomes visible; hidden actions cannot remain concealed forever.,Teko uhem zexak haw pe; maʔe uzemim rẽ uzexak nehe.,B2,"Warnings, justice, gossip, moral teaching, storytelling conclusions.","Proverbial, solemn, moralizing.","Invokes the sun as witness over daily life, paths, gardens, rivers, and communal action.",/kwa.ɾaˈhɨ u.weˈʃak ma.ʔe ˈpaw/,"Neremim maʔe rẽ, kwarahy uwexak maʔe paw.","Awa uzeapo ikatu eʔɨ mehe, kwarahy uwexak maʔe paw.","Pɨhaw ipuku rẽ, kwarahy uwexak maʔe paw kurɨ."
