Idiom (Malay Chetty Creole),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Malay Chetty Creole)",First Example Sentence,Second Example Sentence,Third Example Sentence
Macam katak bawah tempurung,Fixed simile-like prepositional/noun phrase headed by macam; idiom normally functions as predicate or comparison after jadi/serupa/macam; no tense marking.,"Used for someone whose worldview is narrow because they lack exposure, travel, or experience beyond their immediate surroundings.",Dia kurang pengalaman dan belum banyak melihat dunia.,B1,Daily speech; family advice; education; youth guidance; humorous teasing.,"Colloquial, gently critical, humorous.",Shared Malay-world proverb adapted into Chetti Malay speech; the coconut-shell image resonates with Melaka household life and older oral teaching styles.,/mat͡ʃam kataʔ bawa təmpuruŋ/,Lu jangan jadi macam katak bawah tempurung; pi dengar cerita orang lain juga.,"Budak itu pandai, tapi kalau dia tak keluar dari kampung, dia macam katak bawah tempurung.",Mami bilang gua macam katak bawah tempurung sebab gua takut kerja di bandar.
Air cincang tak putus,Fixed declarative clause with metaphorical subject air and negated result tak putus; functions as a sentential proverb about kinship.,"Family bonds remain even after quarrels, anger, or temporary separation.",Hubungan keluarga tetap kuat walaupun ada pertengkaran.,B2,Family disputes; reconciliation; festival gatherings; elder counsel; community mediation.,"Colloquial to proverbial, warm, conciliatory.",Malay kinship proverb used in Peranakan settings; suitable for Chetti contexts where extended family and ancestor gatherings reinforce belonging.,/ai t͡ʃint͡ʃaŋ taʔ putus/,"Adik sama abang gaduh kuat, tapi air cincang tak putus, nyari mereka makan sama-sama.",Lu jangan simpan marah lama pada sepupu; air cincang tak putus.,"Waktu Bhogi Parchu, mami ingatkan semua orang bahawa air cincang tak putus."
Ulat dalam batu pun hidup,Fixed proverb-like clause with concessive particle pun; animate subject ulat plus locative phrase dalam batu marks survival under constraint.,"Even in hardship, a person can survive by adapting and working patiently.",Orang yang susah masih boleh mencari jalan untuk hidup.,C1,Resilience; small business; hardship; migration; moral advice; elder storytelling.,"Proverbial, encouraging, reflective.","Shared Malay proverb particularly apt for minority-language and trading-community histories, where adaptation and endurance are valued.",/ulat dalam batu pun idup/,"Kedai kecil itu susah masa hujan, tapi ulat dalam batu pun hidup.","Gua tak ada banyak duit, namun gua usaha; ulat dalam batu pun hidup.","Mami selalu bilang, ulat dalam batu pun hidup kalau kita tak malas."
Panjang tangan,Adjectival idiom formed from adjective panjang plus body-part noun tangan; functions as a predicate or post-nominal descriptor.,"Describes someone who steals, takes things without permission, or cannot be trusted with property.",Dia suka mengambil barang orang tanpa izin.,A2,Warnings; marketplace talk; household discipline; gossip; security notices.,"Colloquial, accusatory, cautionary; can be insulting.","Common Malay bodily metaphor retained in Malay-based creole speech; useful for everyday warnings around shops, homes, and communal events.",/pand͡ʒaŋ taŋan/,"Jaga mangkok tembaga itu, orang panjang tangan sudah masuk pasar.",Mereka tak panggil dia tolong jual kuih sebab dia panjang tangan.,Bibik marah budak yang panjang tangan ambil duit tabung kuil.
Makan garam dulu,Verb phrase idiom with makan plus object garam and temporal adverb dulu; usually takes sudah to mark accumulated experience.,Someone is older or more experienced and therefore has practical wisdom.,Dia lebih berpengalaman daripada orang muda.,B1,Respect for elders; workplace mentoring; family advice; apprenticeship; market trade.,"Colloquial, respectful, advisory.","Malay metaphor of salt as life experience; aligns with Chetti elder authority in family, temple, food, and trade domains.",/makan garam dulu/,Dengar cakap thaltha; dia sudah makan garam dulu dalam kerja kebun.,"Gua baru mula berniaga, mami sudah makan garam dulu di pasar Melaka.","Lu orang jangan ketawa pada nasihat mama, dia makan garam dulu."
Mulut manis hati lain,Parallel body-part construction: noun phrase mulut manis contrasted with hati lain; compressed clause without overt copula.,Someone speaks kindly or flatteringly but hides a different intention or dishonest feeling.,Dia bercakap baik tetapi tidak ikhlas.,C1,Sarcasm; social caution; workplace politics; family gossip; negotiation.,"Colloquial, ironic, suspicious.","Malay moral expression shaped by oral advice culture; in creole use, hati may surface phonetically without /h/ while retaining standard spelling.",/mulut manis ati lain/,"Dia mulut manis hati lain; depan mami puji, belakang dia bilang buruk.","Lu jangan cepat percaya pelanggan itu, mulut manis hati lain.","Dalam mesyuarat, dia mulut manis hati lain sampai semua orang keliru."
Ayam tambatan,Noun phrase metaphor with head ayam and modifier tambatan; functions as a predicate nominal for a trusted main performer or relied-upon person.,The dependable key person whom everyone relies on for success.,Dia orang utama yang paling dipercayai untuk tugas itu.,B2,Community events; temple work; sports; business teams; family responsibilities.,"Colloquial to semi-formal, admiring.","Rural Malay metaphor absorbed into local speech; relevant to kampung organization, temple service, and community event leadership.",/ajam tambatan/,"Untuk urus maalai kuil, bibik itu ayam tambatan kita.",Pasukan kampung menang sebab anak mami jadi ayam tambatan.,"Bila ada majlis ubayam, semua orang cari mama kerana dia ayam tambatan."
Bagai aur dengan tebing,Fixed simile with bagai plus coordinated noun phrase aur dengan tebing; used as a predicate of mutual dependence.,Two people or groups support each other so closely that each depends on the other.,Mereka saling membantu dan memerlukan satu sama lain.,C1,Neighbour relations; intercommunity cooperation; workplace teamwork; cultural preservation.,"Proverbial, cooperative, respectful.","Malay ecological proverb; especially meaningful in Melaka Peranakan contexts where Chetti, Baba, Malay, and other communities share neighbourhood histories.",/bagai au dəŋan təbiŋ/,Keluarga Chetti sama jiran Baba hidup bagai aur dengan tebing di lorong itu.,"Gua masak kari, lu siapkan nasi; kita bagai aur dengan tebing.","Dalam kerja bersih kuil, lu orang kena bagai aur dengan tebing."
Sirih pulang ke gangang,"Fixed proverb-like noun phrase plus directional verb pulang; idiom functions as a predicate for return, fit, or restoration to origin.","A person or thing returns to its rightful place, roots, family, or original community.",Dia kembali ke tempat asal atau keadaan yang sesuai.,C2,Heritage return; diaspora; language revitalization; literature; ceremonial speech.,"Literary, nostalgic, poetic.","Malay sirih/betel imagery links to Peranakan ceremonial culture; in Chetti contexts it can frame return to Kampung Chetti, ancestral practice, or heritage language.",/siri pulaŋ kə gaŋgaŋ/,"Lepas lama di Singapura, dia balik Kampung Chetti macam sirih pulang ke gangang.","Bila gua dengar pantun thaltha, hati gua rasa sirih pulang ke gangang.","Anak muda itu belajar bahasa rumah, macam sirih pulang ke gangang."
Kepala batu,Adjectival compound metaphor formed from body-part noun kepala plus material noun batu; functions as predicate adjective.,"Someone is stubborn, hard to advise, or unwilling to change their mind.",Dia degil dan tidak mahu menerima nasihat.,A2,Family scolding; friendship teasing; workplace frustration; everyday criticism.,"Colloquial, mildly harsh, direct.",Common Malay body-and-object metaphor; natural in informal Chetti Malay speech where direct kinship advice is often softened by humour.,/kəpala batu/,Lu kepala batu; mami sudah bilang jangan pi sana waktu hujan.,"Adik kepala batu, tetap mahu buka kedai walaupun badan penat.","Kalau semua kepala batu, kerja ubayam tak jalan elok."
