Idiom (Luhya),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Luhya)",First Example Sentence,Second Example Sentence,Third Example Sentence
Omulosi shalilwa tawe,Fixed declarative proverb with negation,A wise or observant person avoids danger through foresight,Omundu omanyile akhwecha amakosa,B2,"Daily speech, family guidance, moral teaching","Proverbial, reflective",Traditional Bukusu and Maragoli wisdom emphasizing prudence,/omulosi ʃalilwa tawe/,Papa yaboola mbu omulosi shalilwa tawe olwa yatinyanga embula.,Omukhasi oyo ni omulosi shalilwa tawe khulwa okhumanya amakhuwa bwangu.,Abandu bakhwechesibwa mbu omulosi shalilwa tawe buli lunaku.
Okhuria eshilenje,Infinitive verb phrase,To suffer humiliation or embarrassment publicly,Okhunyoola eshoni,B1,"Humor, politics, peer conversations","Colloquial, ironic",Derived from communal eating practices where rejection carried shame,/okʰuria eʃilenje/,Omukanda kwasooma nabi nikhuria eshilenje imbeli wabandu.,Yaria eshilenje olwa yasubula likoli liosi.,Abasomi bakhalia eshilenje nibalema okhugarula eshivuzo.
Okhukhwa nende omurwe,Reflexive verb construction,To act arrogantly or proudly,Okhubaa nende amakoha,A2,"Family disputes, social criticism","Colloquial, sarcastic",Linked to elders criticizing boastful youth,/okʰukʰwa nende omurwe/,Shiokhukhwa nende omurwe imbeli wabakofu.,Omusomi oyo akhukhwa nende omurwe khulwa obumanyi bwe.,Abandu shibamwendanga tawe khulwa okhukhwa nende omurwe.
Okhusika omukoye,Verb-object idiomatic phrase,To create conflict or provoke tension,Okhuleeta inyombi,B2,"Politics, workplace, social rivalry","Ironic, critical",Historically tied to disputes during communal gatherings,/okʰusika omukoje/,Omwami oyo yasika omukoye khumukutano.,Abachesi bakhusika emikoye buli mwaka.,Shileka okhusika omukoye khubasomi.
Amatsi shikagalukha khushina,Negative proverbial clause,Some actions cannot be reversed once completed,Ebikorwa ebindi shibigarukha tawe,C1,"Legal matters, moral lessons, literature","Formal, proverbial",Common across several Luhya dialects in dispute mediation,/amatsi ʃikagalukʰa kʰuʃina/,Bamuboola mbu amatsi shikagalukha khushina olwa yakhola amakosa.,Omukofu yaramanya mbu amatsi shikagalukha khushina.,"Khulubaka lwabandu, amatsi shikagalukha khushina ni likhuwa likhongo."
Okhuba nende tsimbako,Possessive idiomatic phrase,To be stubborn or difficult to advise,Okhuyanga okhuwulila,B1,"Parenting, education, conflict resolution","Colloquial, humorous",Based on imagery of thorns resisting touch,/okʰuba nende tsimɓako/,Omwana oyo alina tsimbako muno.,Abakozi bamwe bakhuba nende tsimbako nibaboolwa.,Yaboola mbu omukhana alina tsimbako shinga inyina.
Okhufwa namenyu,Verb phrase with metaphorical complement,To die in extreme poverty or neglect,Okhufwa mubutakha,C2,"Literature, oral storytelling, historical narratives","Poetic, tragic",Used in oral narratives about famine and hardship,/okʰufwa namenju/,Omukhongo oyo yafwa namenyu olwa yasibwa nende abandu.,Abandu bamwe bafwa namenyu khulwa obutakha.,Likhuwa lya okhufwa namenyu likhuria omwoyo.
Okhurya obutongoi,Infinitive phrase with abstract noun,To enjoy luxury or excessive comfort,Okhubaa mubulayi bungi,A2,"Youth culture, humor, lifestyle discussions","Humorous, colloquial",Originates from admiration of wealthy homesteads,/okʰurja obutoŋgoi/,Abasiani bakhurya obutongoi mumakhuwa ga lelo.,Yakhoya okhurya obutongoi Nairobi.,Omwibi yalowa mbu abandi bakhurya obutongoi.
Litala limanyibwa khulwa okhulwaana,Passive proverbial construction,A person proves themselves through actions,Omundu amanyibwa khubikole,B2,"Leadership, motivation, education","Formal, motivational",Rooted in warrior traditions among Luhya clans,/litala limaɲibwa kʰulwa okʰulwaːna/,Omwitsa yaboolwa mbu litala limanyibwa khulwa okhulwaana.,Abachesi baloondwa khulwa mbu litala limanyibwa khulwa okhulwaana.,Khushule bakhechesanga abana mbu litala limanyibwa khulwa okhulwaana.
Okhukhupa likhoni,Verb-object colloquial expression,To deceive or manipulate someone cleverly,Okhukhoonya omundu,C1,"Business, sarcasm, street conversations","Sarcastic, colloquial",Urban Luhya slang influenced by market bargaining culture,/okʰukʰupa likʰoni/,Omusuubusi yakhupa likhoni abasiani.,Shiwitsa okhukhupa abandi likhoni tawe.,Abandu bamwe bakhamanya okhukhupa likhoni muno.
