Idiom (Dogri),Syntactic Structure & Grammatical Form,Figurative Meaning,Non-Idiomatic Equivalent,CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Dogri)",First Example Sentence,Second Example Sentence,Third Example Sentence
ऊँट दे मुंह च जीरा,"Postpositional noun phrase (NP + genitive + NP + locative particle 'च'), fixed nominal idiomatic construction",Very small amount compared to what is actually needed; gross insufficiency,बहुत थोड़ी मात्रा जो जरूरत पूरी नहीं करदी,B1,"Daily speech, family discussions, economics, humor","Colloquial, ironic",Pastoral desert imagery reflecting agrarian and trading interactions with arid regions,uːɳʈ de mũːh tʃ dʒiːɾaː,"एह तनख्वाह तां ऊँट दे मुंह च जीरा ऐ, घर दा खर्चा केहड़ा चलेगा?",इतनी मदद तां ऊँट दे मुंह च जीरा साबित होई।,सरकार दी राहत ऊँट दे मुंह च जीरा निकली।
दूध दा जला छाछ भी फूंक फूंक के पींदा ऐ,Relative participial phrase + habitual verb clause; proverbial complex sentence,A person who has suffered once becomes overly cautious afterward,"जो पहले नुकसान झेल चुका हो, ओह बहुत सावधान रहंदा ऐ",B2,"Family advice, workplace, financial caution","Proverbial, advisory",Rooted in dairy-based agrarian life of Dogra households,duːdʱ da dʒəlaː tʃʰaːtʃʰ bʱiː pʰũːk pʰũːk ke piːndaː ɛː,नुकसान दे बाद ओह तां दूध दा जला छाछ भी फूंक फूंक के पींदा ऐ।,"मैं निवेश सोच समझ के करां, दूध दा जला छाछ भी फूंक फूंक के पींदा ऐ।","ओह रिश्ता स्वीकारन तों पहले हिचकिचाया, आखिर दूध दा जला छाछ भी फूंक फूंक के पींदा ऐ।"
घर दा भेदी लंका ढाए,Subject + genitive + agentive noun + transitive verb; elliptical proverb,An insider can cause the greatest damage,अपना ही आदमी नुकसान कर सकदा ऐ,C1,"Politics, workplace, family conflict","Proverbial, serious",Derived from Ramayana narrative of internal betrayal,ɡʱəɾ da bʱeːdiː ləŋkaː ɖʱaːeː,"कंपनी दी जानकारी लीक होई, घर दा भेदी लंका ढाए।","परिवार च झगड़ा अंदरों शुरू होया, घर दा भेदी लंका ढाए।",राजनीति च घर दा भेदी लंका ढाए वाली हालत बनी।
नाच न जाणे आंगन टेढ़ा,Negative infinitive clause + nominal clause; contrastive proverbial structure,Blaming circumstances for one's own incompetence,अपनी कमी छुपाण वास्ते बहाना बनाना,B2,"Humor, criticism, education","Colloquial, sarcastic",Folk performance traditions of village courtyards,naːtʃ nə dʒaːɳeː aːŋɡən ʈeːɽʱaː,"परीक्षा च फेल हो के कहंदा ऐ पेपर मुश्किल सी, नाच न जाणे आंगन टेढ़ा।","काम खराब कर के सिस्टम नूं दोष दित्ता, नाच न जाणे आंगन टेढ़ा।","ओह हर वार बहाना लभदा ऐ, नाच न जाणे आंगन टेढ़ा।"
अंधे च काना राजा,Locative phrase + nominal predicate; verbless proverbial clause,"In a group of incapable people, even a slightly capable person stands out",कमजोर समूह च थोड़ा योग्य व्यक्ति प्रमुख बन जान्दा ऐ,B1,"Education, workplace, humor","Colloquial, ironic",Medieval folk wisdom referencing physical metaphor for limited ability,əndʱe tʃ kaːnaː ɾaːdʒaː,"साड्डी टीम च ओह थोड़ा तजुर्बेकार ऐ, अंधे च काना राजा।","गांव च पढ़े-लिखे कम ने, अंधे च काना राजा बन गया।",ओह मामूली हुनर नाल ही अंधे च काना राजा साबित होया।
थोथा चना बाजे घना,Nominal phrase + habitual verb; rhythmic proverbial form,Empty vessels make more noise; less knowledgeable people boast more,"जिसदे कोल ज्ञान घट्ट होवे, ओह ज्यादा शोर मचांदा ऐ",B2,"Debate, politics, satire","Sarcastic, humorous",Agricultural grain imagery from rural Dogra life,tʰoːtʰaː tʃənaː baːdʒeː ɡʱənaː,"ओह बिना जाने बहस करदा ऐ, थोथा चना बाजे घना।","मीटिंग च बहुत बोलेया पर तथ्य घट्ट, थोथा चना बाजे घना।",सोशल मीडिया च थोथा चना बाजे घना अक्सर दिखदा ऐ।
हाथ कंगन नूं आरसी क्या,Direct object phrase + interrogative rhetorical clause,Proof is obvious and does not need further evidence,स्पष्ट चीज़ वास्ते सबूत दी जरूरत नहीं,C1,"Legal argument, debate, formal speech","Proverbial, assertive",Traditional jewelry culture in Dogra weddings,haːtʰ kəŋɡən nuːn aːɾsiː kjaː,"नतीजे सामने ने, हाथ कंगन नूं आरसी क्या।","सबूत साफ ने, हाथ कंगन नूं आरसी क्या।","उहदी मेहनत दिखाई दे रही ऐ, हाथ कंगन नूं आरसी क्या।"
जिथे चाह ओथै राह,Correlative clause structure (relative adverb pair),"Where there is will, there is a way",इच्छा मजबूत होवे तां समाधान मिल जान्दा ऐ,A2,"Motivation, education, family advice","Inspirational, neutral",Widely shared Indo-Aryan motivational proverb adapted in Dogri speech,dʒɪtʰeː tʃaːh otʰeː ɾaːh,"तू मेहनत कर, जिथे चाह ओथै राह।",मुश्किलां दे बावजूद जिथे चाह ओथै राह साबित होया।,ओह गरीब सी पर जिथे चाह ओथै राह दिखा दित्ता।
एक तीर नाल दो शिकार,Instrumental phrase + numeral object construction,Achieving two goals with one action,इक काम नाल दो फायदे हासिल करना,B1,"Business strategy, daily planning","Neutral, practical",Hunting imagery rooted in historical hill warrior traditions,eːk tiːɾ naːl doː ʃɪkaːɾ,"ओह दौरे च मीटिंग वी कर लई, एक तीर नाल दो शिकार।","पढ़ाई दे नाल नौकरी वी मिल गई, एक तीर नाल दो शिकार हो गया।","असां सफर च रिश्तेदारां नूं वी मिल आए, एक तीर नाल दो शिकार।"
जिहड़ा बोवेगा ओही काटेगा,Future relative clause + emphatic pronoun construction,One reaps what one sows,जैसा कर्म करोगे वैसा फल मिलेगा,B2,"Moral teaching, literature, family guidance","Moralistic, serious",Agrarian proverb tied to farming cycles in Duggar region,dʒɪɦɾaː boːʋeːɡaː oːɦiː kaːʈeːɡaː,"बच्च्यां नूं समझा देओ, जिहड़ा बोवेगा ओही काटेगा।","ओहने बुरे कर्म कीते, जिहड़ा बोवेगा ओही काटेगा।","मेहनत कर, जिहड़ा बोवेगा ओही काटेगा याद रख।"
