Idiom (Choctaw),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Choctaw)",First Example Sentence,Second Example Sentence,Third Example Sentence
Shilup ish pisa hosh.,Fixed declarative clause with second-person subject and stative verb construction.,You are being overly suspicious or imagining threats that are not there.,You are worrying unnecessarily.,B1,"Daily speech, humor, light sarcasm","Colloquial, humorous",Rooted in traditional woodland life where seeing a snake implied vigilance; metaphorically extended to paranoia.,ʃiˈlup ʔiʃ piˈsa hoʃ,"Hash shilup ish pisa hosh, lawa nittak okla tok.","Chi shilup ish pisa hosh ma, ikbi pisa la chike.","Shilup ish pisa hosh kiyo, lawa achukma iksa."
Nittak moma hosh anoli.,Declarative clause with locative noun phrase and intensifying particle.,To exaggerate beyond reason; to make something bigger than it is.,You are exaggerating.,B2,"Family, politics, storytelling","Colloquial, ironic",Agricultural metaphor referencing land measurement and expansion.,nitˈtak ˈmoma hoʃ anoˈli,"Chi nittak moma hosh anoli, lawa isht aiimpa tok.","Nittak moma hosh anoli ma, pisa lawa tok.",Hattak nittak moma hosh anoli la chike.
Issi takkon hosh pisa.,Nominal predicate structure with metaphorical object substitution.,To be blind to the obvious truth.,You are ignoring what is obvious.,B2,"Workplace, debate, education",Neutral to critical,Traditional metaphor comparing poor judgment to impaired sight.,ˈissi takˈkon hoʃ piˈsa,"Chi issi takkon hosh pisa ma, lawa pisa tok.","Issi takkon hosh pisa kiyo, anumpa achukma chi.",Ilap issi takkon hosh pisa tok.
Shilombish holisso aiimpa.,Compound noun phrase with descriptive modifier functioning idiomatically.,To reveal secrets carelessly.,You are sharing confidential information.,C1,"Politics, workplace, leadership","Formal, critical",Holisso (writing) historically sacred; misuse implied betrayal of trust.,ʃiˈlombiʃ hoˈlisːo aˈiːmpa,"Chi shilombish holisso aiimpa ma, miko hohchifo tok.",Shilombish holisso aiimpa kiyo.,Hattak shilombish holisso aiimpa tuk.
Hashi lawa ia.,Short verbless exclamatory construction.,Something has gone completely wrong.,This situation is bad.,A2,"Daily speech, humor, frustration","Colloquial, expressive",Common emotional interjection in southeastern dialect communities.,ˈhaʃi ˈlawa ˈia,"Hashi lawa ia, ofi illi pisa tok.","Hashi lawa ia ma, nan tvshka ikbi tuk.","Sa anumpa tuk, hashi lawa ia."
Nan tvshka iksa hosh anoli.,Declarative clause with instrumental noun and metaphorical extension.,To speak recklessly without preparation.,You are speaking without thinking.,B2,"Debate, politics, education",Neutral-critical,Nan tvshka (work tools) metaphorically applied to speech craft.,nan ˈtvʃka ˈiksa hoʃ anoˈli,Chi nan tvshka iksa hosh anoli ma.,Nan tvshka iksa hosh anoli kiyo.,Ilap nan tvshka iksa hosh anoli tuk.
Ofi hosh pisa.,Predicate metaphor with animal substitution.,To act slyly or deceptively.,You are being dishonest.,B1,"Humor, mild accusation","Colloquial, ironic",Ofi (dog) behavior used metaphorically for cunning conduct.,ˈofi hoʃ piˈsa,Chi ofi hosh pisa ma.,Ofi hosh pisa kiyo.,Hattak ofi hosh pisa tuk.
Issi achukma hosh pisa.,Nominal metaphorical construction with adjective intensifier.,To see clearly and understand wisely.,You understand very well.,B1,"Education, encouragement","Positive, affirming",Vision associated with wisdom in traditional teachings.,ˈissi atʃukˈma hoʃ piˈsa,Chi issi achukma hosh pisa ma.,"Issi achukma hosh pisa, yakoke.",Ilap issi achukma hosh pisa li.
Chukfi lawa pisa.,Metaphorical nominal predicate.,To be overwhelmed or confused.,You are confused.,A2,"Daily speech, school, humor",Colloquial,Chukfi (rabbit) symbolizes nervous scattering energy.,ˈtʃukfi ˈlawa piˈsa,Chi chukfi lawa pisa ma.,Chukfi lawa pisa kiyo.,Sa chukfi lawa pisa tuk.
Holisso moma hosh anoli.,Declarative clause with abstract noun intensifier.,To speak with great wisdom or authority.,You are speaking very wisely.,C2,"Ceremony, leadership, literature","Formal, poetic",Holisso (writing/knowledge) tied to leadership discourse traditions.,hoˈlisːo ˈmoma hoʃ anoˈli,Miko holisso moma hosh anoli tok.,Chi holisso moma hosh anoli ma.,Hattak holisso moma hosh anoli li.
