Idiom (Klingon),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Klingon)",First Example Sentence,Second Example Sentence,Third Example Sentence
Heghlu’meH QaQ jajvam,Subordinate clause with infinitive verb + temporal clause,This is a good day to die (to act with courage and readiness),I am ready to face danger or sacrifice today.,B2,"military, literature, battle speech","literary, poetic",Traditional Klingon warrior motto before battle,ˈhɛɣ.luʔ.mɛχ qɑʔ qɑd͡ʒ.vɑm,Heghlu’meH QaQ jajvam—SuvwI'pu' ghopDu' let!,"qaStaHvIS may', Heghlu’meH QaQ jajvam vIQub.","HoD wIb QongQo', jatlh, 'Heghlu’meH QaQ jajvam.'"
batlh bIHeghjaj,Imperative clause with adverbial modifier,May you die with honor (a respectful farewell),I wish you an honorable outcome.,B1,"military, formal, spiritual","formal, solemn",Funerary wish from the warrior tradition,bɑt͡ɬ bɪ.ˈhɛɣ.d͡ʒɑd͡ʒ,"batlh bIHeghjaj, jupwI’ quv.",jaghwI’vaD vIjatlh: 'batlh bIHeghjaj.',"vavwI' Heghpa', muja': 'batlh bIHeghjaj.'"
bIjatlh ‘e’ yImev,Command with emphatic pronoun and verb prefix,Shut up (stop talking),Be quiet.,A2,"daily speech, humor, family, argument","colloquial, rude",Common interjection in casual arguments or discipline,bɪ.ˈd͡ʒɑt.ɬʰ ʔɛ ʔɪ.ˈmɛv,"bIjatlh ‘e’ yImev, yIQong neH.",Qugh vIHarbe’—bIjatlh ‘e’ yImev!,QoylaHbe’ vay’; bIjatlh ‘e’ yImev neH.
yoHbogh matlhbogh je SuvwI’ vuvlu’,Relative clause with conjunction and passive verb,A brave and loyal warrior is respected,People respect warriors who are brave and loyal.,C1,"literature, honor, leadership","formal, noble",Quoted in Klingon epics and military training,joχ.boχ mɑt.ɬʰ.boχ d͡ʒɛ suv.wɪʔ vuv.ɬuʔ,yoHbogh matlhbogh je SuvwI’ vuvlu’ 'e' Sov Hoch.,vavwI’ vuvlu’—yoHbogh matlhbogh je SuvwI’ ghaH.,yoHbogh matlhbogh je SuvwI’ vuvlu’ 'e' wIqel.
SuvwI’vaD batlh potlh law’ yIn potlh puS,Comparative clause with dative subject and noun emphasis,"For a warrior, honor is more important than life",A warrior values honor more than life itself.,C2,"military, philosophical, poetic","poetic, formal",Taught in Klingon warrior academies and oaths,suv.wɪʔ.vɑd bɑt͡ɬ pʰo.t͡ɬʰ lɑʋ jɪn pʰo.t͡ɬʰ puʃ,SuvwI’vaD batlh potlh law’ yIn potlh puS—vaj SuvwI’ Hegh!,"jIyIn 'ach batlh vIghajbe'chugh, SuvwI' jIHbe'.","loDnI'wI’ Heghmo’, batlh vuvlu’—SuvwI’vaD batlh potlh law’ yIn potlh puS."
"jagh DajeymeH, jagh DaloDnIS",Causal clause with infinitive verb and object focus,"To defeat your enemy, you must understand them",Understanding an enemy is necessary to defeat them.,B2,"strategy, leadership, military, politics","formal, analytical",Attributed to Kahless' teachings on battle wisdom,d͡ʒɑɣ dɑ.d͡ʒɛj.mɛχ d͡ʒɑɣ dɑ.ɬod.nɪs,"SuvwI’vaD potlh: jagh DajeymeH, jagh DaloDnIS.",jaghDaj ghojlaHbe’bogh SuvwI’ Qapla’ ghajbe’.,"Qu'wa'Daq wIQapmeH, jagh DaloDnIS net jalchugh."
"bISeHbe'chugh, bIQaHbe'",Conditional with negative reflexive and causative,"If you can’t control yourself, you can’t help others",Self-control is necessary to assist others effectively.,B1,"family, education, leadership, advice","didactic, advisory",Klingon proverbs passed through command training,bɪ.ʃɛx.bɛʔ.t͡ʃuɣ bɪ.qɑx.bɛʔ,"HoSghaj SuvwI’ ‘ach bISeHbe’chugh, bIQaHbe’.","loDnI’wI’ vItu’—bISeHbe’chugh, bIQaHbe’.","QelvaD QIjlu’: bISeHbe’chugh, bIQaHbe’ net Sov."
reH tlhInganpu' SuvwI'pu' je ghotpu' vuv,Temporal clause with coordinated plural nouns and object,A Klingon always respects warriors and people alike,Klingons respect warriors and civilians.,A2,"ethics, culture, daily life","standard, moralistic",Ethical cornerstone of Klingon social code,rɛχ t͡ɬʰɪn.ɣɑn.pʰuʔ suv.wɪʔ.pʰuʔ d͡ʒɛ ɣot.pʰuʔ vuv,reH tlhInganpu' SuvwI'pu' je ghotpu' vuv net tu’.,vavwI'vaD vItlhob: reH tlhInganpu’ ghotpu’ je yIvuv.,tlhIngan yajlaHbogh reH SuvwI’pu’ je ghotpu’ vuv.
qIbDaq SuvwI’pu’ chIch muv,Locative clause with purposive construction,A warrior joins the galaxy deliberately (acts with purpose),Klingons act with intention and commitment.,C1,"formal, literature, battle oath","poetic, formal",Common in oath recitations before military campaigns,qɪb.dɑq suv.wɪʔ.pʰuʔ t͡ʃɪ.t͡ʃə muv,qIbDaq SuvwI’pu’ chIch muv; Qapla’ bejtaH.,vavwI’ jatlhpu’: 'qIbDaq SuvwI’pu’ chIch muv.',qaSchoH mu’qaD veS—qIbDaq SuvwI’pu’ chIch muv.
"bISuDrupchugh, yIQongQo'",Conditional clause with imperative negation,"If you’re ready to act, don’t sleep",Act when the time comes; do not delay.,B2,"motivation, combat, workplace","direct, motivational",Klingon training camps and battle readiness slogans,bɪ.sud.rup.t͡ʃuɣ jɪ.qoŋ.qoʔ,"bISuDrupchugh, yIQongQo'—QapmeH poHvam yIlo'.","bIQongQo', SuvwI’! bISuDrupchugh HIghoS!",wIQongQo’ net Sov; SuvmeH SuDrupbej SuvwI’.
