Idiom (Oneida),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level (A1–C2),Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Oneida)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kanikonhrí:yo,Lexicalized stative nominal expression; literally a 'good mind' construction used predicatively or as a guiding value.,"A person is thinking clearly, respectfully, and with balanced judgment.",Wa’nikuhli:yó: ne: yakonikonhri:yó:.,B1,"ceremony, conflict resolution, teaching, leadership, family advice","respectful, cultural, reflective",Associated with Haudenosaunee emphasis on speaking and acting with a good mind before decisions and community discussion.,/kanikõhɾíːjo/ (approx.),Kanikonhrí:yo ne: kʌ tho tewakwathahní:non.,Yah thok ni:yót; kanikonhrí:yo ne’ satatekhwá:ni.,Kanikonhrí:yo tsi’ tehatihsní:ne ne: lonatshihwayʌ́:ta.
Yah tewa’nikuhli:yó:,Negated stative predicate with yah...te- negative frame; idiomatic emotional-state expression.,"Someone feels troubled, unhappy, or not at peace inside.",Wa’nikuhli:yó: tsi’ yah tewatatshʌ́:ni.,A2,"daily speech, counseling, family, health, emotional support","colloquial, sincere, empathetic",Commonly aligns emotional well-being with the 'mind/heart' domain rather than a separate abstract noun.,/jah tewaʔnikuhliːjóː/ (approx.),"Yah tewa’nikuhli:yó: ne’ kati, okhale’ yehotihsní:ne.","Tóka’ ni:yót yah tewa’nikuhli:yó:, tho niyotlihwá:ke.",Yah tewa’nikuhli:yó: tsi’ teyethinonhwerá:tons ne’ akhwá:tsire.
Skén:nen,"Fixed nominal/interjectional expression; can stand alone as a greeting, wish, or social value.","Peace, calm relations, and absence of conflict are desired or restored.",Tewakwayʌ́:ta tsi’ yah tewatatshʌ́:ni.,A1,"greetings, public speech, ceremony, conflict mediation, closing remarks","respectful, ceremonial, warm","A core Haudenosaunee diplomatic and social value, often invoked in greetings and community gatherings.",/skéːnẽn/ (approx.),Skén:nen kʌh niyohslakéhse’ tsi’ yʌthatihsní:ne.,Skén:nen ne’ onʌ kweku tsi’ yethihwí:saks.,Tho niyohwentsyá:ke skén:nen yakwatshihwayʌ́:ta.
Tsi niyukwaliho:tʌ,Relative-clause nominalization; tsi marks 'how/where/that' and the phrase names a shared way of life.,"The inherited way people behave, learn, remember, and belong together.",Niyakwathwistʌ́ha ne’ yakwayʌ́:ta nok yakwatká:thos.,B2,"culture, education, governance, literature, community planning","formal, cultural, reflective","Refers to community ways and responsibilities, especially when teaching language and cultural continuance.",/tsi nijukwalihoːtʌ/ (approx.),Tsi niyukwaliho:tʌ ne’ yutstenhá:wi tsi’ yakwayʌ́:ta.,Tsi niyukwaliho:tʌ nok ukwehuwehnéha tho niyotlihwá:ke.,Yʌtwatahsawʌ́:tha tsi niyukwaliho:tʌ ne’ onʌ akwé:ku.
Tsi niyukwehuwehnéha,Relative-clause identity expression; nominalized language/cultural identity phrase.,"The Oneida way of speaking, being, and carrying identity.",Ukwehuwehnéha yutká:te nok yakwateweyʌ́:tu.,B1,"language learning, identity, classroom, family, public introductions","respectful, educational, identity-affirming",Connects language to peoplehood and identity; Oneida Nation resources describe language preservation as culturally central.,/tsi nijukwehuweʰnéha/ (approx.),Tsi niyukwehuwehnéha ne’ yʌtwatshihwayʌ́:ta.,Kʌ tho i:kéhse’ tsi’ niyukwehuwehnéha?,Tsi niyukwehuwehnéha akweku yʌthatinuhwaktá:ni.
Onyota’a:ka,Ethnonymic fixed expression; noun phrase with historical metaphor 'People of the Standing Stone'.,"Oneida identity as a people grounded in a remembered place, story, and collective endurance.",Ukwehuwé:ne ne’ Oneida yakonhwentsyá:ke.,A2,"identity, history, school, introductions, cultural narration","formal, proud, historical",The name is associated with the Standing Stone tradition and Oneida collective identity.,/onjoːtaʔaːka/ (approx.),Onyota’a:ka ne’ tsi’ tyotʌhsawʌ́:tha ne’ onʌstase’.,Onyota’a:ka yakothwihsá:ta ne’ tsi’ yutstenhá:wi.,Tho niyohwentsyá:ke Onyota’a:ka yethihwá:se.
Akwé:ku tsi ni:yót,Quantifier plus relative phrase; broad fixed expression meaning 'everything as it is/all of it'.,"The whole situation must be understood, not only one small part.",Akwé:ku ne’ tsyakwe’nikuhwá:ke yutká:te.,B2,"teaching, storytelling, careful explanation, problem solving","reflective, explanatory, patient","Useful in oral teaching contexts where a story, history, or decision is understood through the whole context.",/akwéːku tsi niːjót/ (approx.),"Akwé:ku tsi ni:yót ne’ satká:tho, yah thok ni:yót.",Yah tewakatoratsheraké:ne akwé:ku tsi ni:yót.,"Tsi’ teyakwahní:non, akwé:ku tsi ni:yót yʌtwatahsawʌ́:tha."
Tewatatekhwá:ni,Reciprocal verb form; encodes mutual action and social obligation in one predicate.,People help one another rather than acting alone.,Yakwatekhwá:ni akwé:ku ne’ yakoyʌ́:ta.,B1,"workplace, family, community service, classroom, health support","warm, cooperative, practical","Reflects reciprocal responsibilities in family and community life, a frequent theme in language-learning contexts.",/tewatatekhwáːni/ (approx.),Tewatatekhwá:ni ne’ akhwá:tsire tsi’ yohahi:yo.,Tho niyotlihwá:ke tsi’ tewatatekhwá:ni ne’ lonatshihwayʌ́:ta.,Yʌtewatatekhwá:ni tsi’ yʌtwatahsawʌ́:tha ne’ owʌná:ta.
Teyethinonhwerá:tons,Reciprocal/reflexive social verb; formulaic greeting action involving mutual respect.,People acknowledge each other respectfully and renew social connection.,Yethihsní:ne nok yethinonhwé:ton skʌnʌ́:ko.,A2,"greetings, introductions, visits, public events, ceremonies","polite, communal, respectful",Greeting formulas carry social respect and are prominent in Oneida learning materials and community language use.,/tejethinonhweɾáːtons/ (approx.),Teyethinonhwerá:tons tsi’ luthá:ton ne’ onʌ kwa.,Teyethinonhwerá:tons nok tho niyotshihwá:ke ne’ akhwá:tsire.,Skʌnʌ́:ko teyethinonhwerá:tons tsi’ yehotiyé:na.
Yah tehotilihwasní:ke,Negated verbal predicate with yah...te-; idiomatic expression about a matter not being settled or clear.,"A problem, story, or responsibility has not yet been resolved.",Yah ne’ lihwá:ke yakwatahní:non.,C1,"governance, workplace, mediation, legal discussion, planning","serious, analytical, formal","Maps practical affairs onto the Oneida root for matters/business, useful for administrative and community contexts.",/jah tehotilihwasníːke/ (approx.),Yah tehotilihwasní:ke tsi’ yethihwá:se ne’ kahwatsire.,Kanonhwerá:ton ne’ okhale’ yah tehotilihwasní:ke ne’ lihwá:ke.,"Tsi’ yehotiyé:na, yah tehotilihwasní:ke ne’ akweku."
