Idiom (Itelmen),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Itelmen)",First Example Sentence,Second Example Sentence,Third Example Sentence
Qeti qawsaŋen melŋin.,Fixed metaphorical clause with nominal predicate.,Someone is acting unpredictably or emotionally unstable.,The person behaves inconsistently.,B1,"Daily speech, family discussions, humor","Colloquial, ironic",Linked to traditional storytelling about changing northern weather moods.,/qe.ti qaʊ.sa.ŋen mel.ŋin/,"Qeti qawsaŋen melŋin, nenila amčen qama.",Tәtum qeti qawsaŋen melŋin elqut.,Melŋin qeti qawsaŋen qewal.
Nenila tәlqinen qasxen.,Predicate idiom with adjectival semantic extension.,Someone who speaks wisely after making mistakes.,The person learned from experience.,B2,"Advice, literature, elder speech","Reflective, poetic",Associated with oral teachings of elders in western Kamchatka villages.,/ne.ni.la təl.qi.nen qa.sxen/,"Nenila tәlqinen qasxen, qeti wesnan amta.",Qasxen nenila tәlqinen melŋin.,Tәtum qamačen nenila tәlqinen qasxen.
Wesnan qeti čem amta.,Elliptical evaluative phrase with pragmatic emphasis.,Used when someone barely escapes trouble.,The person avoided danger narrowly.,B1,"Hunting stories, humor, conversation","Dramatic, colloquial","Common in narratives about fishing, rivers, and winter travel.",/wes.nan qe.ti t͡ʃem am.ta/,"Wesnan qeti čem amta, qamačen qewal.",Melŋin wesnan qeti čem amta.,Nenila qeti wesnan čem amta.
Qama qeti tәlqinen elqut.,Fixed clause with imperative-like discourse function.,Tells someone not to overreact emotionally.,Remain calm and think clearly.,A2,"Family speech, conflict mediation","Gentle, advisory",Often used by older relatives during communal disagreements.,/qa.ma qe.ti təl.qi.nen el.qut/,"Qama qeti tәlqinen elqut, amčen wesnan.",Nenila qama qeti tәlqinen elqut.,Tәtum melŋin qama qeti tәlqinen elqut.
Melŋin qeti qawsaŋen.,Nominal metaphor with omitted copula.,Someone who causes confusion wherever they go.,The person creates disorder.,C1,"Politics, satire, sarcasm","Sarcastic, humorous",Modern adaptation used in village political commentary.,/mel.ŋin qe.ti qaʊ.sa.ŋen/,"Melŋin qeti qawsaŋen, qasxen qewal.",Qeti melŋin qawsaŋen amta.,Nenila melŋin qeti qawsaŋen čem.
Qasxen tәtum amčen.,Compressed descriptive idiom with existential semantics.,Refers to hidden sadness behind outward calmness.,The person quietly suffers emotionally.,C1,"Literature, intimate conversations","Poetic, emotional",Inspired by imagery of quiet volcanic landscapes in Kamchatka.,/qa.sxen tə.tum am.t͡ʃen/,"Qasxen tәtum amčen, qeti qama.",Nenila qasxen tәtum amčen melŋin.,Wesnan qasxen tәtum amčen elqut.
Qeti wesnan qewal.,Predicate phrase with habitual aspectual interpretation.,Describes someone always arriving too late.,The person is consistently late.,A2,"Daily life, workplace, school","Humorous, mildly critical",Widely used in modern informal village speech.,/qe.ti wes.nan qe.wal/,"Qeti wesnan qewal, amčen nenila.",Tәtum qeti wesnan qewal qama.,Melŋin qeti wesnan qewal čem.
Amčen qeti qamačen.,Repetitive emphatic structure with pragmatic irony.,Used for someone pretending innocence.,The person acts innocent deceptively.,B2,"Sarcasm, humor, disputes","Ironic, colloquial",Common in playful criticism among relatives and friends.,/am.t͡ʃen qe.ti qa.ma.t͡ʃen/,"Amčen qeti qamačen, wesnan qewal.",Nenila amčen qeti qamačen melŋin.,Qeti amčen qamačen qasxen.
Qewal tәlqinen melŋin.,Fixed poetic clause with metaphorical semantic extension.,Someone hides intelligence behind silence.,The person is smarter than they appear.,C2,"Poetry, storytelling, elder discourse","Literary, poetic",Connected to traditional respect for quiet observation among hunters.,/qe.wal təl.qi.nen mel.ŋin/,"Qewal tәlqinen melŋin, qamačen qeti.",Nenila qewal tәlqinen melŋin amta.,Tәtum qewal tәlqinen melŋin qasxen.
Qeti čem qawsaŋen.,Short evaluative idiom with emotional intensification.,Used when events become uncontrollably chaotic.,Everything has become disorderly.,B1,"Community events, arguments, humor","Expressive, dramatic",Reflects oral narrative traditions emphasizing communal tension.,/qe.ti t͡ʃem qaʊ.sa.ŋen/,"Qeti čem qawsaŋen, nenila qama.",Melŋin qeti čem qawsaŋen elqut.,Tәtum qeti čem qawsaŋen qewal.
