Idiom (Mongo),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),"Non-Idiomatic Equivalent (Plain, Neutral Rephrasing)",CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Mongo)",First Example Sentence,Second Example Sentence,Third Example Sentence
Kokanga motema na maboko,Verbal idiomatic clause with infinitive verb + object,To endure hardship with courage and emotional control,Koyika mpiko na pasi,B2,"daily speech, family advice, storytelling","colloquial, encouraging",Reflects Mongo cultural value of resilience during communal hardship,/ko.ka.ŋga mo.te.ma na ma.bo.ko/,"Tango mbula ebebisi bilanga, tata alobaki ete tokanga motema na maboko.","Soki ozwi pasi na mosala, kangá motema na maboko mpe landa liboso.",Bato ya mboka bayekolaka kokanga motema na maboko tango ya mikakatano.
Komona mokili na miso ya mbula,Infinitive verb phrase with metaphorical complement,To see life with wisdom gained through experience,Kozala na bwanya ya bomoi,C1,"literature, elder speech, reflection","poetic, reflective",Elders often associated rainfall with time passing and life cycles,/ko.mo.na mo.ki.li na mi.so ja mbu.la/,Nkoko na biso amonaka mokili na miso ya mbula.,"Sima ya mibembo mingi, abandi komona mokili na miso ya mbula.",Mobali oyo alobaka malembe mpo amonaka mokili na miso ya mbula.
Kolia mokili na matoyi,Infinitive verb phrase with metaphorical object,To listen carefully to everything around you,Koyoka makambo nyonso na likebi,B1,"daily speech, teaching children",colloquial,Reflects oral culture where attentive listening preserves knowledge,/ko.li.a mo.ki.li na ma.to.ji/,Mwana asengeli kolia mokili na matoyi tango bakulutu bazali koloba.,Azalaki kolia mokili na matoyi na likita ya mboka.,"Soki olingi koyeba makambo, lia mokili na matoyi."
Kotonga ndako na maloba,Infinitive verb phrase metaphorical construction,To make unrealistic promises or empty talk,Koloba mingi kozanga kosala,B2,"politics, debates, humor",ironic,Critique of leaders who promise development but act little,/ko.to.ŋga nda.ko na ma.lo.ba/,Moto wana atongaka ndako na maloba kasi asalaka te.,Bato balembi koyoka bato oyo batongaka ndako na maloba.,"Na likita, alingaki kotonga ndako na maloba mpo na kozwa maboko."
Kobwaka molili na moi,Infinitive verb phrase with paradoxical metaphor,To hide the truth or distort obvious facts,Kobomba solo,C1,"politics, argument, journalism","critical, rhetorical",Metaphor contrasting darkness and sunlight used in oral debates,/ko.bwa.ka mo.li.li na mo.i/,Oluki kobwaka molili na moi mpo bato bayeba solo te.,"Na lisolo, akokaki te kobwaka molili na moi.",Bokonzi esengeli te kobwaka molili na moi na makambo ya mboka.
Kokoma mbuma liboso ya eleko,Infinitive verb phrase agricultural metaphor,To mature too early or act beyond one's age,Kokola noki,B1,"family, child development",neutral,Agricultural imagery from forest farming cycles,/ko.ko.ma mbu.ma li.bo.so ja e.le.ko/,Mwana oyo akomi mbuma liboso ya eleko.,Bato balobaka ete azali kokoma mbuma liboso ya eleko.,Tosengeli kotambwisa bana mpo bakoma mbuma na eleko malamu.
Kotala nzela ya nkoyi,Infinitive verb phrase directional metaphor,To wait anxiously for something uncertain,Kozela na mitungisi,B2,"daily speech, storytelling",colloquial,Hunter imagery referencing watching animal trails,/ko.ta.la nze.la ja ŋko.ji/,Nazali kotala nzela ya nkoyi mpo na koyoka sango.,Mboka mobimba etalaki nzela ya nkoyi mpo na eyano.,Azalaki kotala nzela ya nkoyi butu mobimba.
Kobeta libanga ya mayele,Infinitive verb phrase metaphorical action,To devise a clever solution,Kosala mayele,B2,"problem solving, education",positive,Traditional metaphor linking stones with tools and ingenuity,/ko.be.ta li.ba.ŋga ja ma.je.le/,Tosengeli kobeta libanga ya mayele mpo na kobongisa likambo.,Mobali wana ayebi kobeta libanga ya mayele.,"Na mosala, babetaki libanga ya mayele mpo na kosilisa likambo."
Kokwea na motema ya bato,Infinitive verb phrase emotional metaphor,To gain people's affection or approval,Kosepelisa bato,B1,"politics, community relations",neutral,Metaphor relating heart with social acceptance,/ko.kwe.a na mo.te.ma ja ba.to/,Mobali wana akwei na motema ya bato ya mboka.,"Na lisolo na ye, akweaki na motema ya bato.",Mokambi oyo azali kokwea na motema ya bato.
Kosomba malembe na mayele,Infinitive verb phrase adverbial idiom,To act patiently and strategically,Kosala malembe mpe kokanisa malamu,B2,"business, negotiations",pragmatic,Reflects negotiation culture in traditional trade exchanges,/ko.som.ba ma.lem.be na ma.je.le/,"Na masanga ya mombongo, tosomba malembe na mayele.",Azali kosomba malembe na mayele mpo na kozwa elonga.,Nkoko alakisaki biso kosomba malembe na mayele.
