Idiom (Cham),Syntactic Structure & Grammatical Form,Figurative Meaning (Contextualized Definition),Non-Idiomatic Equivalent (Plain Rephrasing),CEFR Level,Usage Contexts,Register and Tone,Cultural Origin or Historical Reference,"Phonetic Transcription (IPA, Cham)",First Example Sentence,Second Example Sentence,Third Example Sentence
Are inima cât muntsulu,Fixed comparative clause (verb + noun + comparative particle 'cât' + definite noun),Describes someone extremely generous or courageous beyond ordinary measure.,Hi foarte generos sau foarte curajos.,B1,"Daily speech, praise, family, community narratives","Colloquial, admiring",Mountain imagery reflects Cham highland pastoral culture valuing bravery and generosity.,/ˈare ˈinima kɨt munˈtsulu/,"Tatăl meu are inima cât muntsulu, că ajută pe toți fără sî ceară nimic.","Când satul era în nevoie, el arătă că are inima cât muntsulu.",Nu oricine are inima cât muntsulu în vremuri grele.
Nu face din musculi armăsar,Negative imperative clause with object complement,Do not exaggerate a small issue into something major.,Nu exagera problema.,A2,"Family, humor, workplace","Colloquial, corrective",Pastoral metaphor contrasting a tiny fly with a powerful horse.,/nu ˈfatʃe din musˈkuli armaˈsar/,Nu face din musculi armăsar pentru o greșeală mică.,Îi spusă sî nu facă din musculi armăsar la ședință.,De fiecare dată face din musculi armăsar și creează panică.
I sî aprinse sângele,Reflexive passive construction (clitic + verb),To become suddenly angry or enraged.,Sî enervă foarte tare.,B2,"Conflict, politics, family disputes","Colloquial, emotional",Traditional Balkan concept linking blood with temperament.,/i sɨ aˈprinse ˈsɨndʒele/,"Când auzi minciuna, i sî aprinse sângele pe loc.","Nu vorbi așa, că i sî aprinde sângele ușor.",La nedreptate i sî aprinde sângele ca focul.
Calcă pe ouă,Verb phrase with prepositional object,To act very cautiously in a delicate situation.,Se comportă cu mare grijă.,B1,"Workplace, diplomacy, family tension","Neutral, descriptive",Rural imagery of protecting fragile eggs in household farming life.,/ˈkalkə pe ˈowə/,În fața șefului calcă pe ouă ca sî nu greșească.,"După ceartă, toți calcă pe ouă în casă.",Diplomatul calcă pe ouă în negocieri.
Îi cade fața,Verb phrase with dative clitic pronoun,To feel sudden shame or embarrassment.,Se rușinează tare.,B1,"Social embarrassment, humor",Colloquial,Facial imagery linked to honor culture in Cham communities.,/ɨj ˈkade ˈfat͡sa/,"Când uită numele profesorului, îi cade fața.",Îi căzu fața în fața tuturor.,Nu vreau sî-mi cadă fața la întâlnire.
Are gură di miere,Fixed possessive clause with metaphorical noun phrase,Someone who speaks sweetly and persuasively.,Vorbește foarte frumos și convingător.,A2,"Courtship, politics, negotiation","Colloquial, admiring or ironic",Honey symbolism in Balkan folklore as sweetness and persuasion.,/ˈare ˈgurə di ˈmjere/,El are gură di miere și câștigă clienți ușor.,"Nu-l crede, are gură di miere dar nu ține promisiuni.",Cu gură di miere își împacă prietenii.
Întoarce foaia,Transitive verb phrase with direct object,To change attitude or strategy suddenly.,Schimbă comportamentul sau planul.,B2,"Politics, workplace strategy, relationships","Neutral, sometimes ironic",Literary metaphor from written manuscripts and education traditions.,/ɨnto̯arˈtʃe ˈfo̯aja/,"După alegeri, întoarse foaia și vorbi altfel.","Când văzu avantajul, întoarse foaia imediat.",Nu-mi place când cineva întoarce foaia fără explicații.
Bagă mâna în foc,Verb phrase with direct object and prepositional complement,To guarantee something with absolute certainty.,Hi complet sigur.,B1,"Trust, loyalty, family","Colloquial, emphatic",Trial-by-fire symbolism in Balkan honor traditions.,/ˈbaɡə ˈmɨna ɨn fok/,Bag mâna în foc că el spune adevărul.,Nu bag mâna în foc pentru nimeni.,Ea bagă mâna în foc pentru fratele ei.
Are capu-n nori,Fixed descriptive clause with locative preposition,To be absent-minded or dreamy.,Nu hi atent la realitate.,A2,"School, daily speech","Colloquial, mildly humorous",Sky imagery common in pastoral storytelling.,/ˈare ˈkapu n ˈnori/,Studentul are capu-n nori și uită temele.,"Când visează, are capu-n nori toată ziua.","Nu pot vorbi cu el, are capu-n nori."
Îi joacă ochii,Verb phrase with dative clitic pronoun,"To show visible excitement, desire, or cunning intention.",Se vede că hi foarte interesat sau șiret.,C1,"Humor, gossip, marketplace bargaining","Colloquial, ironic",Expressive facial observation common in Balkan oral storytelling.,/ɨj ˈʒo̯akə ˈokji/,"Când văzu aurul, îi joacă ochii de bucurie.",Îi joacă ochii când negociază prețul.,"La vestea bună, îi joacă ochii ca la copil."
